,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,Unicycler,Bacillus_subtilis,3,768362,46.551169569376
1,Unicycler,Bacillus_subtilis,5,552032,49.63813003105541
2,Unicycler,Bacillus_subtilis,11,429119,37.81319395392985
3,Unicycler,Bacillus_subtilis,18,324887,46.66634293858082
4,Unicycler,Bacillus_subtilis,19,314939,60.0
5,Unicycler,Bacillus_subtilis,22,294323,60.0
6,Unicycler,Bacillus_subtilis,25,263165,51.191981335096806
7,Unicycler,Bacillus_subtilis,27,257112,44.10122346623882
8,Unicycler,Bacillus_subtilis,29,252529,43.60918573798006
9,Unicycler,Bacillus_subtilis,70,137204,60.0
10,Unicycler,Bacillus_subtilis,76,122357,60.0
11,Unicycler,Bacillus_subtilis,140,59633,60.0
12,Unicycler,Bacillus_subtilis,149,55134,60.0
13,Unicycler,Bacillus_subtilis,180,38260,60.0
14,Unicycler,Bacillus_subtilis,183,37699,60.0
15,Unicycler,Bacillus_subtilis,200,29584,41.700268981510995
16,Unicycler,Bacillus_subtilis,223,23137,60.0
17,Unicycler,Bacillus_subtilis,252,15448,60.0
18,Unicycler,Enterococcus_faecalis,1,882404,51.00569428109303
19,Unicycler,Enterococcus_faecalis,23,293025,60.0
20,Unicycler,Enterococcus_faecalis,32,234974,60.0
21,Unicycler,Enterococcus_faecalis,44,185948,60.0
22,Unicycler,Enterococcus_faecalis,48,179588,60.0
23,Unicycler,Enterococcus_faecalis,52,171239,46.31542691653629
24,Unicycler,Enterococcus_faecalis,53,166069,60.0
25,Unicycler,Enterococcus_faecalis,90,105499,60.0
26,Unicycler,Enterococcus_faecalis,109,86068,42.35871706854839
27,Unicycler,Enterococcus_faecalis,110,85645,60.0
28,Unicycler,Enterococcus_faecalis,111,82588,60.0
29,Unicycler,Enterococcus_faecalis,161,46519,60.0
30,Unicycler,Enterococcus_faecalis,170,43447,60.0
31,Unicycler,Enterococcus_faecalis,173,40672,60.0
32,Unicycler,Enterococcus_faecalis,199,30519,60.0
33,Unicycler,Enterococcus_faecalis,201,29107,60.0
34,Unicycler,Enterococcus_faecalis,218,25136,44.00296167696192
35,Unicycler,Enterococcus_faecalis,221,23651,60.0
36,Unicycler,Enterococcus_faecalis,228,21260,60.0
37,Unicycler,Enterococcus_faecalis,236,19321,60.0
38,Unicycler,Enterococcus_faecalis,266,11849,60.0
39,Unicycler,Enterococcus_faecalis,284,8200,60.0
40,Unicycler,Enterococcus_faecalis,370,2186,60.0
41,Unicycler,Enterococcus_faecalis,376,2056,60.0
42,Unicycler,Enterococcus_faecalis,397,1514,60.0
43,Unicycler,Enterococcus_faecalis,407,1369,60.0
44,Unicycler,Enterococcus_faecalis,421,1182,60.0
45,Unicycler,Enterococcus_faecalis,426,1128,60.0
46,Unicycler,Escherichia_coli_plasmid,150,54995,35.09874285004666
47,Unicycler,Escherichia_coli_plasmid,154,52932,60.0
48,Unicycler,Escherichia_coli,16,328535,60.0
49,Unicycler,Escherichia_coli,17,327043,52.1357486230287
50,Unicycler,Escherichia_coli,45,183376,60.0
51,Unicycler,Escherichia_coli,47,181261,60.0
52,Unicycler,Escherichia_coli,61,148232,60.0
53,Unicycler,Escherichia_coli,62,144676,60.0
54,Unicycler,Escherichia_coli,63,144415,60.0
55,Unicycler,Escherichia_coli,68,138685,51.42029490853994
56,Unicycler,Escherichia_coli,75,125649,50.991590365343185
57,Unicycler,Escherichia_coli,78,119249,50.76454745814849
58,Unicycler,Escherichia_coli,81,118531,60.0
59,Unicycler,Escherichia_coli,82,117133,60.0
60,Unicycler,Escherichia_coli,85,109359,60.0
61,Unicycler,Escherichia_coli,88,106194,60.0
62,Unicycler,Escherichia_coli,97,98665,60.0
63,Unicycler,Escherichia_coli,98,96845,60.0
64,Unicycler,Escherichia_coli,100,95388,35.99282501319675
65,Unicycler,Escherichia_coli,102,93316,60.0
66,Unicycler,Escherichia_coli,106,88031,60.0
67,Unicycler,Escherichia_coli,117,74140,60.0
68,Unicycler,Escherichia_coli,121,70767,60.0
69,Unicycler,Escherichia_coli,122,70427,37.68557942966576
70,Unicycler,Escherichia_coli,123,70299,32.787474231779555
71,Unicycler,Escherichia_coli,124,69421,35.62737264380106
72,Unicycler,Escherichia_coli,129,67016,60.0
73,Unicycler,Escherichia_coli,130,66301,42.19460087471869
74,Unicycler,Escherichia_coli,132,65589,48.16831009500649
75,Unicycler,Escherichia_coli,135,63387,43.248789431122006
76,Unicycler,Escherichia_coli,137,62329,60.0
77,Unicycler,Escherichia_coli,138,59878,60.0
78,Unicycler,Escherichia_coli,141,59376,60.0
79,Unicycler,Escherichia_coli,142,58598,60.0
80,Unicycler,Escherichia_coli,145,57366,60.0
81,Unicycler,Escherichia_coli,148,56108,47.49024788317528
82,Unicycler,Escherichia_coli,153,53001,38.211940767669766
83,Unicycler,Escherichia_coli,162,46102,60.0
84,Unicycler,Escherichia_coli,164,45677,35.805163262867154
85,Unicycler,Escherichia_coli,165,44993,38.749937012174875
86,Unicycler,Escherichia_coli,168,44430,60.0
87,Unicycler,Escherichia_coli,171,42511,41.51380066417438
88,Unicycler,Escherichia_coli,179,39301,32.72184306251132
89,Unicycler,Escherichia_coli,184,37525,35.32928015757084
90,Unicycler,Escherichia_coli,190,35239,60.0
91,Unicycler,Escherichia_coli,198,31744,60.0
92,Unicycler,Escherichia_coli,203,28883,44.60642300247784
93,Unicycler,Escherichia_coli,214,26592,60.0
94,Unicycler,Escherichia_coli,215,26488,60.0
95,Unicycler,Escherichia_coli,224,22774,32.782580702663054
96,Unicycler,Escherichia_coli,226,21798,36.394466439103155
97,Unicycler,Escherichia_coli,227,21670,60.0
98,Unicycler,Escherichia_coli,234,20218,60.0
99,Unicycler,Escherichia_coli,237,18907,60.0
100,Unicycler,Escherichia_coli,239,18609,42.69723035884225
101,Unicycler,Escherichia_coli,240,17858,60.0
102,Unicycler,Escherichia_coli,241,17626,60.0
103,Unicycler,Escherichia_coli,243,16951,60.0
104,Unicycler,Escherichia_coli,244,16897,60.0
105,Unicycler,Escherichia_coli,245,16682,60.0
106,Unicycler,Escherichia_coli,251,15960,60.0
107,Unicycler,Escherichia_coli,258,14268,36.772418459466614
108,Unicycler,Escherichia_coli,260,13224,30.074194882565624
109,Unicycler,Escherichia_coli,264,12738,60.0
110,Unicycler,Escherichia_coli,270,10937,60.0
111,Unicycler,Escherichia_coli,273,9668,39.853366417356796
112,Unicycler,Escherichia_coli,274,9633,29.837615602861824
113,Unicycler,Escherichia_coli,287,7865,60.0
114,Unicycler,Escherichia_coli,288,7794,60.0
115,Unicycler,Escherichia_coli,291,7126,23.343318781371085
116,Unicycler,Escherichia_coli,294,6613,38.20398522703959
117,Unicycler,Escherichia_coli,300,5871,60.0
118,Unicycler,Escherichia_coli,301,5782,60.0
119,Unicycler,Escherichia_coli,304,5501,37.40441644949802
120,Unicycler,Escherichia_coli,313,4759,60.0
121,Unicycler,Escherichia_coli,319,4412,60.0
122,Unicycler,Escherichia_coli,331,3729,60.0
123,Unicycler,Escherichia_coli,344,3063,60.0
124,Unicycler,Escherichia_coli,355,2582,60.0
125,Unicycler,Escherichia_coli,357,2561,28.063495871404683
126,Unicycler,Escherichia_coli,359,2472,60.0
127,Unicycler,Escherichia_coli,364,2310,60.0
128,Unicycler,Escherichia_coli,367,2246,60.0
129,Unicycler,Escherichia_coli,378,2027,24.037637617010613
130,Unicycler,Escherichia_coli,379,1955,26.8908677040393
131,Unicycler,Escherichia_coli,381,1812,60.0
132,Unicycler,Escherichia_coli,388,1676,20.20154031638334
