Assembler,L90,LSA,NA50,NG50,Ns,basepairs,breadth_of_coverage,contigs,identity,lowest_identity,misassembled contigs,misassembly events,multiplicity,parsimony,validity
ABySS,41.0,0.0652095985321201,42368.0,42368.0,0.0,1873053.0,0.9830580796112806,72.0,0.9999189307336699,0.9977435897435898,0.0,0.0,1.017892713126644,1.017892713126644,1.0
BCALM2,208.0,0.03464433776143068,11209.0,10234.0,0.0,1748625.0,0.9177529597188523,236.0,1.0,1.0,0.0,0.0,1.0007045535778112,1.0007045535778112,1.0
GATBMiniaPipeline,54.0,0.06396624632019705,40366.0,40071.0,0.0,1792365.0,0.9407095767511506,89.0,1.0,1.0,0.0,0.0,1.0008787272681625,1.0008787272681625,1.0
IDBA-UD,58.0,0.06396519663491894,40364.0,37467.0,0.0,1788320.0,0.9385865882761701,89.0,0.9999666918328374,0.9970355731225297,0.0,0.0,1.000560302406728,1.000560302406728,1.0
MEGAHIT,40.0,0.06400928341659962,45302.0,45302.0,0.0,1808544.0,0.9492010058084335,82.0,0.9978367632433208,0.9291389031266017,2.0,4.0,0.9997450762669875,1.000540766495037,0.9991163412216044
MetaHipMer2,55.0,0.06396414694964082,40362.0,40067.0,0.0,1787594.0,0.9382055525202156,87.0,1.0,1.0,0.0,0.0,1.0004581577248526,1.0004581577248526,1.0
metaSPAdes,48.0,0.06391901048268203,46069.0,40650.0,0.0,1795731.0,0.9424761970742123,80.0,0.9998329237719664,0.9909245604083948,0.0,0.0,1.0004493991583372,1.0004493991583372,1.0
MINIA,206.0,0.03464433776143068,11209.0,10836.0,0.0,1754083.0,0.9206175508428186,237.0,1.0,1.0,0.0,0.0,1.0003546012360875,1.0003546012360875,1.0
SKESA,64.0,0.06386022810710779,37086.0,33086.0,0.0,1774634.0,0.9314035919180532,94.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
SPAdes,47.0,0.06392006016796015,46123.0,45008.0,0.0,1792717.0,0.9408943213600982,78.0,0.999915296544554,0.9964881474978051,0.0,0.0,1.000465215647534,1.000467446897642,0.9999977697923955
Unicycler,51.0,0.06386285232030306,44315.0,40168.0,0.0,1774805.0,0.9314933400093317,80.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
VelvetOptimiser,198.0,0.035284120938439634,11784.0,11122.0,0.0,1751517.0,0.9192708046310015,227.0,1.0,1.0,0.0,0.0,1.000601193137149,1.000601193137149,1.0
