,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,LNN,Unicycler,Bacillus_subtilis,4045677.0,38257,38453
1,LNN,Unicycler,Bacillus_subtilis,4045677.0,78463,78573
2,LNN,Unicycler,Bacillus_subtilis,4045677.0,194263,234571
3,LNN,Unicycler,Bacillus_subtilis,4045677.0,270966,549255
4,LNN,Unicycler,Bacillus_subtilis,4045677.0,591946,592044
5,LNN,Unicycler,Bacillus_subtilis,4045677.0,693124,1060839
6,LNN,Unicycler,Bacillus_subtilis,4045677.0,1072438,1072532
7,LNN,Unicycler,Bacillus_subtilis,4045677.0,1211761,1211877
8,LNN,Unicycler,Bacillus_subtilis,4045677.0,1273648,1273741
9,LNN,Unicycler,Bacillus_subtilis,4045677.0,1355184,1360026
10,LNN,Unicycler,Bacillus_subtilis,4045677.0,1588701,2046393
11,LNN,Unicycler,Bacillus_subtilis,4045677.0,2289079,2289183
12,LNN,Unicycler,Bacillus_subtilis,4045677.0,2512922,2513016
13,LNN,Unicycler,Bacillus_subtilis,4045677.0,2606796,2606895
14,LNN,Unicycler,Bacillus_subtilis,4045677.0,2659874,2659984
15,LNN,Unicycler,Bacillus_subtilis,4045677.0,2736910,2814510
16,LNN,Unicycler,Bacillus_subtilis,4045677.0,2869213,3163072
17,LNN,Unicycler,Bacillus_subtilis,4045677.0,3173835,3174510
18,LNN,Unicycler,Bacillus_subtilis,4045677.0,3387321,3387493
19,LNN,Unicycler,Bacillus_subtilis,4045677.0,3404389,3892680
20,LNN,Unicycler,Bacillus_subtilis,4045677.0,3898203,3898302
21,LNN,Unicycler,Bacillus_subtilis,4045677.0,4002270,4002369
22,LNN,Unicycler,Listeria_monocytogenes,2992342.0,351048,352415
23,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1082796,1083115
24,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1086709,1088108
25,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1228468,1229859
26,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1366399,1366854
27,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1369158,1377511
28,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1610198,1615655
29,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2158451,2164536
30,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2495416,2496008
31,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2498259,2499032
32,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2500262,2502581
33,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2757011,2762164
34,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2861691,2868212
35,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,36648,37576
36,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,332056,333255
37,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,421127,426881
38,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,446423,447584
39,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,495243,501428
40,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,577719,578323
41,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,754367,755836
42,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,945810,946674
43,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1161933,1162101
44,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1163124,1164623
45,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1167250,1168826
46,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1893650,1895148
47,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1896159,1896327
48,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2233822,2233862
49,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2429649,2430936
50,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2687407,2688011
51,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2718469,2720329
52,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2724238,2727961
53,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2732502,2735549
54,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2737483,2737626
55,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2758618,2759439
56,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2828930,2829368
57,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2835405,2836949
58,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2840156,2841540
59,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2842573,2842687
60,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2849139,2849925
61,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2851686,2854870
62,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3028730,3029912
63,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3136674,3138476
64,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3342938,3343867
65,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3423810,3424335
66,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3425789,3429168
67,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3553266,3554037
68,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3978791,3979475
69,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4829457,4830694
70,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4892272,4898026
71,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4936049,4936610
72,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4940148,4940892
73,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4942058,4943018
74,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5201371,5202235
75,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5207548,5208531
76,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5395719,5398787
77,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5454162,5458937
78,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5484449,5484477
79,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5490019,5490203
80,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5609150,5610084
81,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6079323,6080560
82,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6170563,6171049
83,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6277235,6282806
84,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6331835,6332656
85,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6543474,6546157
