,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ENN,IDBA-UD,contig-100_0,468605,Listeria_monocytogenes,0
1,1,ENN,IDBA-UD,contig-100_1,386272,Enterococcus_faecalis,0
2,2,ENN,IDBA-UD,contig-100_2,351144,Listeria_monocytogenes,0
3,3,ENN,IDBA-UD,contig-100_3,338061,Pseudomonas_aeruginosa,0
4,4,ENN,IDBA-UD,contig-100_4,315134,Bacillus_subtilis,0
5,5,ENN,IDBA-UD,contig-100_5,299978,Listeria_monocytogenes,0
6,6,ENN,IDBA-UD,contig-100_6,297919,Bacillus_subtilis,0
7,7,ENN,IDBA-UD,contig-100_7,285682,Listeria_monocytogenes,0
8,8,ENN,IDBA-UD,contig-100_8,269472,Bacillus_subtilis,0
9,9,ENN,IDBA-UD,contig-100_9,263264,Bacillus_subtilis,0
10,10,ENN,IDBA-UD,contig-100_10,257266,Bacillus_subtilis,0
11,11,ENN,IDBA-UD,contig-100_11,254629,Listeria_monocytogenes,0
12,12,ENN,IDBA-UD,contig-100_12,252653,Bacillus_subtilis,0
13,13,ENN,IDBA-UD,contig-100_13,249172,Bacillus_subtilis,0
14,14,ENN,IDBA-UD,contig-100_14,236726,Pseudomonas_aeruginosa,0
15,15,ENN,IDBA-UD,contig-100_15,211169,Bacillus_subtilis,0
16,16,ENN,IDBA-UD,contig-100_16,205350,Pseudomonas_aeruginosa,0
17,17,ENN,IDBA-UD,contig-100_17,202223,Pseudomonas_aeruginosa,0
18,18,ENN,IDBA-UD,contig-100_18,200800,Bacillus_subtilis,0
19,19,ENN,IDBA-UD,contig-100_19,193626,Enterococcus_faecalis,0
20,20,ENN,IDBA-UD,contig-100_20,190510,Enterococcus_faecalis,0
21,21,ENN,IDBA-UD,contig-100_20,190510,Enterococcus_faecalis,0
22,22,ENN,IDBA-UD,contig-100_21,189173,Pseudomonas_aeruginosa,0
23,23,ENN,IDBA-UD,contig-100_22,184434,Enterococcus_faecalis,0
24,24,ENN,IDBA-UD,contig-100_23,181893,Staphylococcus_aureus,0
25,25,ENN,IDBA-UD,contig-100_24,179374,Enterococcus_faecalis,0
26,26,ENN,IDBA-UD,contig-100_25,175852,Staphylococcus_aureus,0
27,27,ENN,IDBA-UD,contig-100_26,173835,Pseudomonas_aeruginosa,0
28,28,ENN,IDBA-UD,contig-100_27,173196,Pseudomonas_aeruginosa,0
29,29,ENN,IDBA-UD,contig-100_28,165553,Bacillus_subtilis,0
30,30,ENN,IDBA-UD,contig-100_29,160800,Salmonella_enterica,0
31,31,ENN,IDBA-UD,contig-100_30,159706,Listeria_monocytogenes,0
32,32,ENN,IDBA-UD,contig-100_31,156317,Bacillus_subtilis,0
33,33,ENN,IDBA-UD,contig-100_32,151163,Staphylococcus_aureus,0
34,34,ENN,IDBA-UD,contig-100_33,149917,Pseudomonas_aeruginosa,0
35,35,ENN,IDBA-UD,contig-100_34,141856,Listeria_monocytogenes,0
36,36,ENN,IDBA-UD,contig-100_35,139779,Pseudomonas_aeruginosa,0
37,37,ENN,IDBA-UD,contig-100_36,137261,Bacillus_subtilis,0
38,38,ENN,IDBA-UD,contig-100_37,137002,Listeria_monocytogenes,0
39,39,ENN,IDBA-UD,contig-100_38,134916,Pseudomonas_aeruginosa,0
40,40,ENN,IDBA-UD,contig-100_39,134694,Pseudomonas_aeruginosa,0
41,41,ENN,IDBA-UD,contig-100_40,132062,Bacillus_subtilis,0
42,42,ENN,IDBA-UD,contig-100_41,129759,Pseudomonas_aeruginosa,0
43,43,ENN,IDBA-UD,contig-100_42,129565,Pseudomonas_aeruginosa,0
44,44,ENN,IDBA-UD,contig-100_43,127716,Pseudomonas_aeruginosa,0
45,45,ENN,IDBA-UD,contig-100_44,124655,Staphylococcus_aureus,0
46,46,ENN,IDBA-UD,contig-100_45,124222,Listeria_monocytogenes,0
47,47,ENN,IDBA-UD,contig-100_46,123498,Bacillus_subtilis,0
48,48,ENN,IDBA-UD,contig-100_47,122791,Pseudomonas_aeruginosa,0
49,49,ENN,IDBA-UD,contig-100_48,122499,Bacillus_subtilis,0
50,50,ENN,IDBA-UD,contig-100_49,121875,Lactobacillus_fermentum,0
51,51,ENN,IDBA-UD,contig-100_50,118957,Pseudomonas_aeruginosa,0
52,52,ENN,IDBA-UD,contig-100_51,118897,Enterococcus_faecalis,0
53,53,ENN,IDBA-UD,contig-100_52,115641,Enterococcus_faecalis,0
54,54,ENN,IDBA-UD,contig-100_53,114319,Lactobacillus_fermentum,0
55,55,ENN,IDBA-UD,contig-100_54,112536,Enterococcus_faecalis,0
56,56,ENN,IDBA-UD,contig-100_55,112429,Enterococcus_faecalis,0
57,57,ENN,IDBA-UD,contig-100_56,111750,Listeria_monocytogenes,0
58,58,ENN,IDBA-UD,contig-100_57,107698,Staphylococcus_aureus,0
59,59,ENN,IDBA-UD,contig-100_58,106861,Pseudomonas_aeruginosa,0
60,60,ENN,IDBA-UD,contig-100_59,105728,Staphylococcus_aureus,0
61,61,ENN,IDBA-UD,contig-100_60,100004,Staphylococcus_aureus,0
