Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9825663294425135,17
Enterococcus_faecalis,0.9865579153944343,20
Escherichia_coli_plasmid,0.9811102929813558,2
Escherichia_coli,0.9736974638616336,66
Lactobacillus_fermentum,0.9342330185852027,73
Listeria_monocytogenes,0.9741780852589711,14
Pseudomonas_aeruginosa,0.9888144421722738,50
Salmonella_enterica,0.9773620273014568,54
Staphylococcus_aureus,0.9826528810716572,18
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.3905780153691948,1
