,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Bacillus_subtilis,4807,11395,60
1,BCALM2,Bacillus_subtilis,5002,4233,60
2,BCALM2,Bacillus_subtilis,5367,11552,60
3,BCALM2,Bacillus_subtilis,5443,25257,60
4,BCALM2,Bacillus_subtilis,5825,1694,60
5,BCALM2,Bacillus_subtilis,6264,1655,60
6,BCALM2,Bacillus_subtilis,6271,24109,60
7,BCALM2,Bacillus_subtilis,6295,64934,60
8,BCALM2,Bacillus_subtilis,6300,15638,60
9,BCALM2,Bacillus_subtilis,6346,71660,60
10,BCALM2,Bacillus_subtilis,6358,37222,60
11,BCALM2,Bacillus_subtilis,6459,22960,60
12,BCALM2,Bacillus_subtilis,6463,30985,60
13,BCALM2,Bacillus_subtilis,6567,103892,60
14,BCALM2,Bacillus_subtilis,6829,4316,60
15,BCALM2,Bacillus_subtilis,6924,56211,60
16,BCALM2,Bacillus_subtilis,6996,78694,60
17,BCALM2,Bacillus_subtilis,7231,127934,60
18,BCALM2,Bacillus_subtilis,7241,9364,60
19,BCALM2,Bacillus_subtilis,7585,2019,60
20,BCALM2,Bacillus_subtilis,7959,5449,60
21,BCALM2,Bacillus_subtilis,8981,22680,60
22,BCALM2,Bacillus_subtilis,9072,1034,60
23,BCALM2,Bacillus_subtilis,9150,2649,60
24,BCALM2,Bacillus_subtilis,9212,9931,60
25,BCALM2,Bacillus_subtilis,9514,3374,60
26,BCALM2,Bacillus_subtilis,9940,2068,60
27,BCALM2,Bacillus_subtilis,9944,33728,60
28,BCALM2,Bacillus_subtilis,10063,33550,60
29,BCALM2,Bacillus_subtilis,10233,14089,60
30,BCALM2,Bacillus_subtilis,10373,9118,60
31,BCALM2,Bacillus_subtilis,11393,73760,60
32,BCALM2,Bacillus_subtilis,11494,34627,60
33,BCALM2,Bacillus_subtilis,11512,1188,60
34,BCALM2,Bacillus_subtilis,11525,99700,60
35,BCALM2,Bacillus_subtilis,11620,32916,60
36,BCALM2,Bacillus_subtilis,11875,54268,60
37,BCALM2,Bacillus_subtilis,12128,18110,60
38,BCALM2,Bacillus_subtilis,12146,33507,60
39,BCALM2,Bacillus_subtilis,12148,72434,60
40,BCALM2,Bacillus_subtilis,12243,17522,60
41,BCALM2,Bacillus_subtilis,12262,20149,60
42,BCALM2,Bacillus_subtilis,12422,47537,60
43,BCALM2,Bacillus_subtilis,12543,12323,60
44,BCALM2,Bacillus_subtilis,12859,50907,60
45,BCALM2,Bacillus_subtilis,12987,40051,60
46,BCALM2,Bacillus_subtilis,13012,29149,60
47,BCALM2,Bacillus_subtilis,13060,63199,60
48,BCALM2,Bacillus_subtilis,13292,2212,60
49,BCALM2,Bacillus_subtilis,13376,1012,60
50,BCALM2,Bacillus_subtilis,13379,76544,60
51,BCALM2,Bacillus_subtilis,13445,4486,60
52,BCALM2,Bacillus_subtilis,13525,55052,60
53,BCALM2,Bacillus_subtilis,13528,92807,60
54,BCALM2,Bacillus_subtilis,13708,2963,60
55,BCALM2,Bacillus_subtilis,13719,118623,60
56,BCALM2,Bacillus_subtilis,13750,1698,60
57,BCALM2,Bacillus_subtilis,14675,23078,60
58,BCALM2,Bacillus_subtilis,15403,14173,60
59,BCALM2,Bacillus_subtilis,15448,94919,60
60,BCALM2,Bacillus_subtilis,15694,3629,60
61,BCALM2,Bacillus_subtilis,16179,62539,60
62,BCALM2,Bacillus_subtilis,16212,1421,60
63,BCALM2,Bacillus_subtilis,16345,29060,60
64,BCALM2,Bacillus_subtilis,16441,122458,60
65,BCALM2,Bacillus_subtilis,16639,22993,60
66,BCALM2,Bacillus_subtilis,16711,98666,60
67,BCALM2,Bacillus_subtilis,16727,52285,60
68,BCALM2,Bacillus_subtilis,16900,48017,60
69,BCALM2,Bacillus_subtilis,17189,98729,60
70,BCALM2,Bacillus_subtilis,17244,16891,60
71,BCALM2,Bacillus_subtilis,17337,9821,60
72,BCALM2,Bacillus_subtilis,17623,21060,60
73,BCALM2,Bacillus_subtilis,18060,37011,60
74,BCALM2,Bacillus_subtilis,18061,56828,60
75,BCALM2,Bacillus_subtilis,18127,10879,60
76,BCALM2,Bacillus_subtilis,18130,3030,60
77,BCALM2,Bacillus_subtilis,18188,69826,60
78,BCALM2,Bacillus_subtilis,18190,36788,60
79,BCALM2,Bacillus_subtilis,18657,34762,60
80,BCALM2,Bacillus_subtilis,18698,38392,60
81,BCALM2,Bacillus_subtilis,18753,1409,60
82,BCALM2,Bacillus_subtilis,18762,54122,60
83,BCALM2,Bacillus_subtilis,18816,2281,60
84,BCALM2,Bacillus_subtilis,18933,58393,60
85,BCALM2,Bacillus_subtilis,18990,69010,60
86,BCALM2,Bacillus_subtilis,19016,124837,60
87,BCALM2,Bacillus_subtilis,19048,1871,60
88,BCALM2,Bacillus_subtilis,19301,26545,60
89,BCALM2,Bacillus_subtilis,19430,3028,60
90,BCALM2,Bacillus_subtilis,19917,14286,60
91,BCALM2,Bacillus_subtilis,19975,21268,60
92,BCALM2,Bacillus_subtilis,20202,43056,60
93,BCALM2,Bacillus_subtilis,20817,25644,60
94,BCALM2,Bacillus_subtilis,21034,18038,60
95,BCALM2,Bacillus_subtilis,21559,18983,60
96,BCALM2,Bacillus_subtilis,21927,4733,60
97,BCALM2,Bacillus_subtilis,22482,6201,60
98,BCALM2,Bacillus_subtilis,22704,1288,60
99,BCALM2,Bacillus_subtilis,22952,22483,60
100,BCALM2,Bacillus_subtilis,23036,7540,60
101,BCALM2,Bacillus_subtilis,23173,6570,60
102,BCALM2,Bacillus_subtilis,23215,65138,60
103,BCALM2,Bacillus_subtilis,23396,77357,60
104,BCALM2,Bacillus_subtilis,23815,34894,60
105,BCALM2,Bacillus_subtilis,23830,5690,60
106,BCALM2,Bacillus_subtilis,24090,5861,60
107,BCALM2,Bacillus_subtilis,24094,1041,60
