,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,38289,38355
1,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,209097,210189
2,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,233516,234506
3,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,371878,372845
4,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,642535,642718
5,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,645353,645623
6,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,801660,807418
7,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,1059784,1060788
8,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,1355250,1356331
9,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,1671462,1672559
10,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,1710450,1716471
11,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,1754926,1756016
12,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,2019377,2020400
13,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,2416195,2416379
14,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,2788936,2793843
15,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,2809483,2814455
16,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,2869748,2880457
17,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,2940280,2955701
18,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,3078197,3079297
19,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,3163195,3163689
20,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,3173959,3174453
21,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,3387075,3387440
22,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,3404450,3409163
23,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,3438940,3440032
24,ENN,MetaHipMer2,Bacillus_subtilis,4045677.0,3697295,3702472
25,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,539114,539874
26,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,668163,703737
27,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,971608,971631
28,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1040446,1040775
29,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1087489,1092771
30,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1362088,1367900
31,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1403645,1405825
32,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1438811,1439711
33,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1563326,1563818
34,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1577259,1578583
35,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1579622,1579630
36,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1623070,1623650
37,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1685219,1686421
38,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1716989,1719199
39,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,1805316,1812145
40,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,2092498,2092558
41,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,2122811,2123677
42,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,2163351,2163374
43,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,2188382,2189584
44,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,2425771,2427275
45,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,2428673,2429791
46,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,2449307,2449636
47,ENN,MetaHipMer2,Enterococcus_faecalis,2845392.0,2629419,2630738
48,ENN,MetaHipMer2,Escherichia_coli_plasmid,110007.0,18069,18396
49,ENN,MetaHipMer2,Escherichia_coli_plasmid,110007.0,31050,31380
50,ENN,MetaHipMer2,Escherichia_coli_plasmid,110007.0,40535,41143
51,ENN,MetaHipMer2,Escherichia_coli_plasmid,110007.0,56598,56615
52,ENN,MetaHipMer2,Escherichia_coli_plasmid,110007.0,68810,69787
53,ENN,MetaHipMer2,Escherichia_coli_plasmid,110007.0,96310,97425
54,ENN,MetaHipMer2,Escherichia_coli,4765434.0,14544,14613
55,ENN,MetaHipMer2,Escherichia_coli,4765434.0,16036,16494
56,ENN,MetaHipMer2,Escherichia_coli,4765434.0,28893,29306
57,ENN,MetaHipMer2,Escherichia_coli,4765434.0,133763,134082
58,ENN,MetaHipMer2,Escherichia_coli,4765434.0,136462,136679
59,ENN,MetaHipMer2,Escherichia_coli,4765434.0,233835,234253
60,ENN,MetaHipMer2,Escherichia_coli,4765434.0,308289,308297
61,ENN,MetaHipMer2,Escherichia_coli,4765434.0,358034,358611
62,ENN,MetaHipMer2,Escherichia_coli,4765434.0,455649,461013
63,ENN,MetaHipMer2,Escherichia_coli,4765434.0,466990,468003
64,ENN,MetaHipMer2,Escherichia_coli,4765434.0,487766,488287
65,ENN,MetaHipMer2,Escherichia_coli,4765434.0,494790,495223
66,ENN,MetaHipMer2,Escherichia_coli,4765434.0,497567,498580
67,ENN,MetaHipMer2,Escherichia_coli,4765434.0,506640,506746
68,ENN,MetaHipMer2,Escherichia_coli,4765434.0,507761,507920
69,ENN,MetaHipMer2,Escherichia_coli,4765434.0,513028,513923
70,ENN,MetaHipMer2,Escherichia_coli,4765434.0,532665,533241
71,ENN,MetaHipMer2,Escherichia_coli,4765434.0,577861,578436
72,ENN,MetaHipMer2,Escherichia_coli,4765434.0,677294,678446
73,ENN,MetaHipMer2,Escherichia_coli,4765434.0,695588,695613
74,ENN,MetaHipMer2,Escherichia_coli,4765434.0,758433,758769
75,ENN,MetaHipMer2,Escherichia_coli,4765434.0,762669,762831
