,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MINIA,Bacillus_subtilis,269,18111,60
1,MINIA,Bacillus_subtilis,280,1209,30.824263008607677
2,MINIA,Bacillus_subtilis,438,18983,60
3,MINIA,Bacillus_subtilis,473,50907,60
4,MINIA,Bacillus_subtilis,612,73760,60
5,MINIA,Bacillus_subtilis,685,98666,60
6,MINIA,Bacillus_subtilis,686,6576,60
7,MINIA,Bacillus_subtilis,879,40051,60
8,MINIA,Bacillus_subtilis,921,69010,60
9,MINIA,Bacillus_subtilis,1189,94919,60
10,MINIA,Bacillus_subtilis,1370,56828,60
11,MINIA,Bacillus_subtilis,1725,99700,60
12,MINIA,Bacillus_subtilis,1864,15639,60
13,MINIA,Bacillus_subtilis,1868,132084,60
14,MINIA,Bacillus_subtilis,1909,98729,60
15,MINIA,Bacillus_subtilis,2174,78694,60
16,MINIA,Bacillus_subtilis,2200,37011,60
17,MINIA,Bacillus_subtilis,2289,25644,60
18,MINIA,Bacillus_subtilis,2453,72434,60
19,MINIA,Bacillus_subtilis,2629,122458,60
20,MINIA,Bacillus_subtilis,2777,48017,60
21,MINIA,Bacillus_subtilis,2964,120971,60
22,MINIA,Bacillus_subtilis,2978,103892,60
23,MINIA,Bacillus_subtilis,2985,36788,60
24,MINIA,Bacillus_subtilis,2996,118623,60
25,MINIA,Bacillus_subtilis,3059,15299,60
26,MINIA,Bacillus_subtilis,3124,29060,60
27,MINIA,Bacillus_subtilis,3193,124837,60
28,MINIA,Bacillus_subtilis,3211,58393,60
29,MINIA,Bacillus_subtilis,3246,16891,60
30,MINIA,Bacillus_subtilis,3263,52285,60
31,MINIA,Bacillus_subtilis,3406,62539,60
32,MINIA,Bacillus_subtilis,3431,4734,60
33,MINIA,Bacillus_subtilis,3494,76544,60
34,MINIA,Bacillus_subtilis,3653,47537,60
35,MINIA,Bacillus_subtilis,3666,38392,60
36,MINIA,Bacillus_subtilis,3847,1698,60
37,MINIA,Bacillus_subtilis,4146,64960,60
38,MINIA,Bacillus_subtilis,4311,55052,60
39,MINIA,Bacillus_subtilis,4751,22993,60
40,MINIA,Bacillus_subtilis,5102,33728,60
41,MINIA,Bacillus_subtilis,5117,71660,60
42,MINIA,Bacillus_subtilis,5135,65138,60
43,MINIA,Bacillus_subtilis,5159,34762,60
44,MINIA,Bacillus_subtilis,5188,127934,60
45,MINIA,Bacillus_subtilis,5198,54122,60
46,MINIA,Bacillus_subtilis,5203,17522,60
47,MINIA,Bacillus_subtilis,5224,9118,60
