,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,ABySS,0,429894
1,Bacillus_subtilis,ABySS,1,429894
2,Bacillus_subtilis,ABySS,2,429894
3,Bacillus_subtilis,ABySS,3,429894
4,Bacillus_subtilis,ABySS,4,429894
5,Bacillus_subtilis,ABySS,5,429894
6,Bacillus_subtilis,ABySS,6,429894
7,Bacillus_subtilis,ABySS,7,429894
8,Bacillus_subtilis,ABySS,8,429894
9,Bacillus_subtilis,ABySS,9,429894
10,Bacillus_subtilis,ABySS,10,429894
11,Bacillus_subtilis,ABySS,11,396180
12,Bacillus_subtilis,ABySS,12,396180
13,Bacillus_subtilis,ABySS,13,396180
14,Bacillus_subtilis,ABySS,14,396180
15,Bacillus_subtilis,ABySS,15,396180
16,Bacillus_subtilis,ABySS,16,396180
17,Bacillus_subtilis,ABySS,17,396180
18,Bacillus_subtilis,ABySS,18,396180
19,Bacillus_subtilis,ABySS,19,396180
20,Bacillus_subtilis,ABySS,20,396180
21,Bacillus_subtilis,ABySS,21,372552
22,Bacillus_subtilis,ABySS,22,372552
23,Bacillus_subtilis,ABySS,23,372552
24,Bacillus_subtilis,ABySS,24,372552
25,Bacillus_subtilis,ABySS,25,372552
26,Bacillus_subtilis,ABySS,26,372552
27,Bacillus_subtilis,ABySS,27,372552
28,Bacillus_subtilis,ABySS,28,372552
29,Bacillus_subtilis,ABySS,29,372552
30,Bacillus_subtilis,ABySS,30,372552
31,Bacillus_subtilis,ABySS,31,343884
32,Bacillus_subtilis,ABySS,32,343884
33,Bacillus_subtilis,ABySS,33,343884
34,Bacillus_subtilis,ABySS,34,343884
35,Bacillus_subtilis,ABySS,35,343884
36,Bacillus_subtilis,ABySS,36,343884
37,Bacillus_subtilis,ABySS,37,343884
38,Bacillus_subtilis,ABySS,38,343884
39,Bacillus_subtilis,ABySS,39,315888
40,Bacillus_subtilis,ABySS,40,315888
41,Bacillus_subtilis,ABySS,41,315888
42,Bacillus_subtilis,ABySS,42,315888
43,Bacillus_subtilis,ABySS,43,315888
44,Bacillus_subtilis,ABySS,44,315888
45,Bacillus_subtilis,ABySS,45,315888
