,Reference,Assembler,NAx,Basepairs
0,CP009072.1,MEGAHIT,0,136455
1,CP009072.1,MEGAHIT,1,136455
2,CP009072.1,MEGAHIT,2,136455
3,CP009072.1,MEGAHIT,3,136455
4,CP009072.1,MEGAHIT,4,122481
5,CP009072.1,MEGAHIT,5,122481
6,CP009072.1,MEGAHIT,6,114550
7,CP009072.1,MEGAHIT,7,114550
8,CP009072.1,MEGAHIT,8,114550
9,CP009072.1,MEGAHIT,9,102456
10,CP009072.1,MEGAHIT,10,102456
11,CP009072.1,MEGAHIT,11,85930
12,CP009072.1,MEGAHIT,12,85930
13,CP009072.1,MEGAHIT,13,79166
14,CP009072.1,MEGAHIT,14,79166
15,CP009072.1,MEGAHIT,15,78844
16,CP009072.1,MEGAHIT,16,78844
17,CP009072.1,MEGAHIT,17,77989
18,CP009072.1,MEGAHIT,18,77989
19,CP009072.1,MEGAHIT,19,73032
20,CP009072.1,MEGAHIT,20,69575
21,CP009072.1,MEGAHIT,21,69575
22,CP009072.1,MEGAHIT,22,68351
23,CP009072.1,MEGAHIT,23,67497
24,CP009072.1,MEGAHIT,24,67497
25,CP009072.1,MEGAHIT,25,66212
26,CP009072.1,MEGAHIT,26,65701
27,CP009072.1,MEGAHIT,27,65701
28,CP009072.1,MEGAHIT,28,65582
29,CP009072.1,MEGAHIT,29,64481
30,CP009072.1,MEGAHIT,30,64481
31,CP009072.1,MEGAHIT,31,63237
32,CP009072.1,MEGAHIT,32,61639
33,CP009072.1,MEGAHIT,33,61639
34,CP009072.1,MEGAHIT,34,58251
35,CP009072.1,MEGAHIT,35,56362
36,CP009072.1,MEGAHIT,36,54808
37,CP009072.1,MEGAHIT,37,53571
38,CP009072.1,MEGAHIT,38,53571
39,CP009072.1,MEGAHIT,39,53489
40,CP009072.1,MEGAHIT,40,53105
41,CP009072.1,MEGAHIT,41,52582
42,CP009072.1,MEGAHIT,42,52014
43,CP009072.1,MEGAHIT,43,48731
