Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9771551213801793,116
Enterococcus_faecalis,0.9737951747948964,166
Escherichia_coli_plasmid,0.9553937476706028,5
Escherichia_coli,0.8000933388228648,1149
Lactobacillus_fermentum,0.9206511407717182,236
Listeria_monocytogenes,0.9633621424289068,126
Pseudomonas_aeruginosa,0.9596745152252615,520
Salmonella_enterica,0.8036645232749815,1081
Staphylococcus_aureus,0.9565290314037914,175
Staphylococcus_aureus_plasmid1,1.0001578033769922,2
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
