,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EMS,Unicycler,1,1303848,Staphylococcus_aureus,0
1,1,EMS,Unicycler,2,847713,Pseudomonas_aeruginosa,0
2,2,EMS,Unicycler,3,768369,Bacillus_subtilis,0
3,3,EMS,Unicycler,4,728330,Listeria_monocytogenes,0
4,4,EMS,Unicycler,5,667791,Enterococcus_faecalis,0
5,5,EMS,Unicycler,6,557662,Escherichia_coli,0
6,6,EMS,Unicycler,7,542797,Listeria_monocytogenes,0
7,7,EMS,Unicycler,8,542139,Pseudomonas_aeruginosa,0
8,8,EMS,Unicycler,9,529824,Salmonella_enterica,0
9,9,EMS,Unicycler,10,465250,Pseudomonas_aeruginosa,0
10,10,EMS,Unicycler,11,428954,Bacillus_subtilis,0
11,11,EMS,Unicycler,12,424755,Pseudomonas_aeruginosa,0
12,12,EMS,Unicycler,13,394880,Staphylococcus_aureus,0
13,13,EMS,Unicycler,14,383557,Enterococcus_faecalis,0
14,14,EMS,Unicycler,15,378860,Staphylococcus_aureus,0
15,15,EMS,Unicycler,16,377104,Enterococcus_faecalis,0
16,16,EMS,Unicycler,17,366399,Salmonella_enterica,0
17,17,EMS,Unicycler,18,357881,Escherichia_coli,0
18,18,EMS,Unicycler,19,353869,Salmonella_enterica,0
19,19,EMS,Unicycler,20,350985,Listeria_monocytogenes,0
20,20,EMS,Unicycler,21,347318,Salmonella_enterica,0
21,21,EMS,Unicycler,22,343047,Bacillus_subtilis,0
22,22,EMS,Unicycler,23,342800,Pseudomonas_aeruginosa,0
23,23,EMS,Unicycler,24,324880,Bacillus_subtilis,0
24,24,EMS,Unicycler,25,314939,Bacillus_subtilis,0
25,25,EMS,Unicycler,26,294481,Pseudomonas_aeruginosa,0
26,26,EMS,Unicycler,27,294323,Bacillus_subtilis,0
27,27,EMS,Unicycler,28,283285,Listeria_monocytogenes,0
28,28,EMS,Unicycler,29,263168,Bacillus_subtilis,0
29,29,EMS,Unicycler,30,258753,Pseudomonas_aeruginosa,0
30,30,EMS,Unicycler,31,257068,Bacillus_subtilis,0
31,31,EMS,Unicycler,32,256472,Pseudomonas_aeruginosa,0
32,32,EMS,Unicycler,33,254431,Listeria_monocytogenes,0
33,33,EMS,Unicycler,34,252455,Bacillus_subtilis,0
34,34,EMS,Unicycler,35,252383,Escherichia_coli,0
35,35,EMS,Unicycler,35,252383,Salmonella_enterica,0
36,36,EMS,Unicycler,36,246074,Salmonella_enterica,0
37,37,EMS,Unicycler,37,245266,Pseudomonas_aeruginosa,0
38,38,EMS,Unicycler,38,245025,Salmonella_enterica,0
39,39,EMS,Unicycler,39,239075,Pseudomonas_aeruginosa,0
40,40,EMS,Unicycler,40,238501,Enterococcus_faecalis,0
41,41,EMS,Unicycler,41,234974,Enterococcus_faecalis,0
42,42,EMS,Unicycler,42,232377,Listeria_monocytogenes,0
43,43,EMS,Unicycler,43,229307,Salmonella_enterica,0
44,44,EMS,Unicycler,44,223960,Salmonella_enterica,0
45,45,EMS,Unicycler,45,220577,Pseudomonas_aeruginosa,0
46,46,EMS,Unicycler,46,216650,Listeria_monocytogenes,0
47,47,EMS,Unicycler,47,214485,Enterococcus_faecalis,0
48,48,EMS,Unicycler,48,210819,Pseudomonas_aeruginosa,0
49,49,EMS,Unicycler,49,208861,Bacillus_subtilis,0
50,50,EMS,Unicycler,50,204463,Pseudomonas_aeruginosa,0
51,51,EMS,Unicycler,51,199433,Enterococcus_faecalis,0
52,52,EMS,Unicycler,52,198678,Salmonella_enterica,0
53,53,EMS,Unicycler,53,196676,Pseudomonas_aeruginosa,0
54,54,EMS,Unicycler,54,191216,Pseudomonas_aeruginosa,0
55,55,EMS,Unicycler,55,190506,Salmonella_enterica,0
56,56,EMS,Unicycler,56,189975,Pseudomonas_aeruginosa,0
57,57,EMS,Unicycler,57,188789,Salmonella_enterica,0
58,58,EMS,Unicycler,58,183921,Escherichia_coli,0
59,59,EMS,Unicycler,59,181261,Escherichia_coli,0
60,60,EMS,Unicycler,60,179079,Escherichia_coli,0
61,61,EMS,Unicycler,60,179079,Escherichia_coli,0
62,62,EMS,Unicycler,61,177302,Pseudomonas_aeruginosa,0
63,63,EMS,Unicycler,62,176045,Pseudomonas_aeruginosa,0
64,64,EMS,Unicycler,63,171239,Enterococcus_faecalis,0
65,65,EMS,Unicycler,64,168856,Escherichia_coli,0
66,66,EMS,Unicycler,65,161931,Salmonella_enterica,0
67,67,EMS,Unicycler,66,157802,Salmonella_enterica,0
68,68,EMS,Unicycler,67,153572,Salmonella_enterica,0
69,69,EMS,Unicycler,68,151938,Staphylococcus_aureus,0
70,70,EMS,Unicycler,69,144857,Escherichia_coli,0
71,71,EMS,Unicycler,70,144676,Escherichia_coli,0
72,72,EMS,Unicycler,71,140790,Salmonella_enterica,0
73,73,EMS,Unicycler,72,137962,Escherichia_coli,0
74,74,EMS,Unicycler,73,137204,Bacillus_subtilis,0
