,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,SRR8073716,Unicycler,2615840527,3593735.0,448639,449306
1,SRR8073716,Unicycler,2615840527,3593735.0,789857,791170
2,SRR8073716,Unicycler,2615840527,3593735.0,1705645,1708093
3,SRR8073716,Unicycler,2615840527,3593735.0,2013510,2020849
4,SRR8073716,Unicycler,2615840527,3593735.0,2164799,2165642
5,SRR8073716,Unicycler,2615840527,3593735.0,2184601,2186106
6,SRR8073716,Unicycler,2615840527,3593735.0,2478554,2479397
7,SRR8073716,Unicycler,2615840527,3593735.0,2493489,2494206
8,SRR8073716,Unicycler,2615840527,3593735.0,3531122,3531454
9,SRR8073716,Unicycler,2615840533A,1024354.0,23518,24009
10,SRR8073716,Unicycler,2615840533A,1024354.0,73746,74032
11,SRR8073716,Unicycler,2615840533A,1024354.0,75124,75138
12,SRR8073716,Unicycler,2615840533A,1024354.0,197060,197346
13,SRR8073716,Unicycler,2615840533A,1024354.0,198438,198452
14,SRR8073716,Unicycler,2615840533A,1024354.0,244117,244403
15,SRR8073716,Unicycler,2615840533A,1024354.0,245495,245510
16,SRR8073716,Unicycler,2615840533A,1024354.0,289253,289313
17,SRR8073716,Unicycler,2615840533A,1024354.0,424863,425149
18,SRR8073716,Unicycler,2615840533A,1024354.0,426241,426255
19,SRR8073716,Unicycler,2615840533A,1024354.0,439185,439471
20,SRR8073716,Unicycler,2615840533A,1024354.0,440563,440577
21,SRR8073716,Unicycler,2615840533A,1024354.0,458595,459046
22,SRR8073716,Unicycler,2615840533A,1024354.0,460759,461169
23,SRR8073716,Unicycler,2615840533A,1024354.0,503096,504682
24,SRR8073716,Unicycler,2615840533A,1024354.0,664428,664714
25,SRR8073716,Unicycler,2615840533A,1024354.0,665806,665820
26,SRR8073716,Unicycler,2615840533A,1024354.0,714707,717172
27,SRR8073716,Unicycler,2615840533A,1024354.0,781245,781736
28,SRR8073716,Unicycler,2615840533A,1024354.0,798874,798934
29,SRR8073716,Unicycler,2615840533A,1024354.0,950442,950502
30,SRR8073716,Unicycler,2615840533A,1024354.0,986049,986335
31,SRR8073716,Unicycler,2615840533A,1024354.0,987427,987442
32,SRR8073716,Unicycler,2615840533A,1024354.0,1001913,1001973
33,SRR8073716,Unicycler,2615840533B,3938466.0,5073,5490
34,SRR8073716,Unicycler,2615840533B,3938466.0,430373,430790
35,SRR8073716,Unicycler,2615840533B,3938466.0,436487,436523
36,SRR8073716,Unicycler,2615840533B,3938466.0,704933,705892
37,SRR8073716,Unicycler,2615840533B,3938466.0,789690,790415
38,SRR8073716,Unicycler,2615840533B,3938466.0,805985,806944
39,SRR8073716,Unicycler,2615840533B,3938466.0,808214,811115
40,SRR8073716,Unicycler,2615840533B,3938466.0,1108562,1110664
41,SRR8073716,Unicycler,2615840533B,3938466.0,1401891,1401976
42,SRR8073716,Unicycler,2615840533B,3938466.0,1404478,1404636
43,SRR8073716,Unicycler,2615840533B,3938466.0,1438329,1441425
44,SRR8073716,Unicycler,2615840533B,3938466.0,1446972,1447697
45,SRR8073716,Unicycler,2615840533B,3938466.0,1561693,1562527
46,SRR8073716,Unicycler,2615840533B,3938466.0,1584610,1587512
