,Reference,Breadth of Coverage,Contigs
0,Bacillus_subtilis,0.9771867600898441,113
1,Enterococcus_faecalis,0.9607337055843272,163
2,Escherichia_coli_plasmid,0.9754015653549319,4
3,Escherichia_coli,0.797603114427773,1098
4,Lactobacillus_fermentum,0.9180080332414334,235
5,Listeria_monocytogenes,0.9746299052715232,125
6,Pseudomonas_aeruginosa,0.987725272476455,69
7,Salmonella_enterica,0.8113947677039909,1058
8,Staphylococcus_aureus,0.9571697599658671,175
9,Staphylococcus_aureus_plasmid1,0.9998421966230078,1
10,Staphylococcus_aureus_plasmid2,0.0,0
11,Staphylococcus_aureus_plasmid3,0.0,0
