,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EHS,MINIA,4,25533,Escherichia_coli_plasmid,0
1,1,EHS,MINIA,5,36371,Escherichia_coli_plasmid,0
2,2,EHS,MINIA,6,26838,Escherichia_coli_plasmid,0
3,3,EHS,MINIA,7,1122,Staphylococcus_aureus_plasmid1,0
4,4,EHS,MINIA,8,90652,Staphylococcus_aureus,0
5,5,EHS,MINIA,11,1980,Lactobacillus_fermentum,0
6,6,EHS,MINIA,15,12755,Escherichia_coli_plasmid,0
7,7,EHS,MINIA,16,1312,Salmonella_enterica,0
8,8,EHS,MINIA,20,9271,Lactobacillus_fermentum,0
9,9,EHS,MINIA,21,3923,Escherichia_coli_plasmid,0
10,10,EHS,MINIA,23,1140,Escherichia_coli_plasmid,0
11,11,EHS,MINIA,25,1023,Lactobacillus_fermentum,0
12,12,EHS,MINIA,35,1680,Lactobacillus_fermentum,0
13,13,EHS,MINIA,37,6704,Lactobacillus_fermentum,0
14,14,EHS,MINIA,43,11386,Lactobacillus_fermentum,0
15,15,EHS,MINIA,48,3627,Lactobacillus_fermentum,0
16,16,EHS,MINIA,64,1120,Lactobacillus_fermentum,0
17,17,EHS,MINIA,70,1920,Lactobacillus_fermentum,0
18,18,EHS,MINIA,71,3564,Lactobacillus_fermentum,0
19,19,EHS,MINIA,76,30086,Staphylococcus_aureus,0
20,20,EHS,MINIA,86,1702,Lactobacillus_fermentum,0
21,21,EHS,MINIA,89,36832,Lactobacillus_fermentum,0
22,22,EHS,MINIA,111,1095,Lactobacillus_fermentum,0
23,23,EHS,MINIA,120,58693,Enterococcus_faecalis,0
24,24,EHS,MINIA,121,7460,Escherichia_coli,0
25,25,EHS,MINIA,134,1400,Lactobacillus_fermentum,0
26,26,EHS,MINIA,150,2490,Salmonella_enterica,0
27,27,EHS,MINIA,158,10225,Lactobacillus_fermentum,0
28,28,EHS,MINIA,163,136276,Bacillus_subtilis,0
29,29,EHS,MINIA,170,4669,Staphylococcus_aureus,0
30,30,EHS,MINIA,175,51427,Enterococcus_faecalis,0
31,31,EHS,MINIA,188,4404,Staphylococcus_aureus,0
32,32,EHS,MINIA,190,72815,Enterococcus_faecalis,0
33,33,EHS,MINIA,206,32376,Staphylococcus_aureus,0
34,34,EHS,MINIA,210,7930,Lactobacillus_fermentum,0
