,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MetaHipMer2,Bacillus_subtilis,Contig0,343203,60
1,MetaHipMer2,Bacillus_subtilis,Contig4,107332,60
2,MetaHipMer2,Bacillus_subtilis,Contig28,37892,60
3,MetaHipMer2,Bacillus_subtilis,Contig6004,23328,60
4,MetaHipMer2,Bacillus_subtilis,Contig6040,17011,60
5,MetaHipMer2,Bacillus_subtilis,Contig12734,263362,60
6,MetaHipMer2,Bacillus_subtilis,Contig12735,150029,60
7,MetaHipMer2,Bacillus_subtilis,Contig12736,170743,60
8,MetaHipMer2,Bacillus_subtilis,Contig12746,15641,60
9,MetaHipMer2,Bacillus_subtilis,Contig24911,257424,60
10,MetaHipMer2,Bacillus_subtilis,Contig24919,59824,60
11,MetaHipMer2,Bacillus_subtilis,Contig31055,29778,60
12,MetaHipMer2,Bacillus_subtilis,Contig44111,122497,60
13,MetaHipMer2,Bacillus_subtilis,Contig44112,55294,60
14,MetaHipMer2,Bacillus_subtilis,Contig44114,252651,60
15,MetaHipMer2,Bacillus_subtilis,Contig50841,10271,60
16,MetaHipMer2,Bacillus_subtilis,Contig50844,83899,60
17,MetaHipMer2,Bacillus_subtilis,Contig63845,156314,60
18,MetaHipMer2,Bacillus_subtilis,Contig70158,2636,60
19,MetaHipMer2,Bacillus_subtilis,Contig76994,38456,60
20,MetaHipMer2,Bacillus_subtilis,Contig82018,269691,60
21,MetaHipMer2,Bacillus_subtilis,Contig82019,395796,60
22,MetaHipMer2,Bacillus_subtilis,Contig82032,212967,60
23,MetaHipMer2,Bacillus_subtilis,Contig82042,57805,60
24,MetaHipMer2,Bacillus_subtilis,Contig88373,137373,60
25,MetaHipMer2,Bacillus_subtilis,Contig94838,372558,60
26,MetaHipMer2,Bacillus_subtilis,Contig94841,294463,60
27,MetaHipMer2,Bacillus_subtilis,Contig94846,38343,60
28,MetaHipMer2,Enterococcus_faecalis,Contig7,114807,60
29,MetaHipMer2,Enterococcus_faecalis,Contig17,57041,60
30,MetaHipMer2,Enterococcus_faecalis,Contig18,84240,60
31,MetaHipMer2,Enterococcus_faecalis,Contig19,12501,60
32,MetaHipMer2,Enterococcus_faecalis,Contig6007,41929,60
33,MetaHipMer2,Enterococcus_faecalis,Contig6017,74181,60
34,MetaHipMer2,Enterococcus_faecalis,Contig6029,29303,60
35,MetaHipMer2,Enterococcus_faecalis,Contig6037,16206,60
36,MetaHipMer2,Enterococcus_faecalis,Contig12726,13775,60
37,MetaHipMer2,Enterococcus_faecalis,Contig12739,16614,60
38,MetaHipMer2,Enterococcus_faecalis,Contig12754,38790,60
39,MetaHipMer2,Enterococcus_faecalis,Contig18377,13442,60
40,MetaHipMer2,Enterococcus_faecalis,Contig31065,63176,60
41,MetaHipMer2,Enterococcus_faecalis,Contig31069,49590,60
42,MetaHipMer2,Enterococcus_faecalis,Contig31072,193788,60
43,MetaHipMer2,Enterococcus_faecalis,Contig31079,8901,60
44,MetaHipMer2,Enterococcus_faecalis,Contig44113,127737,60
45,MetaHipMer2,Enterococcus_faecalis,Contig44147,22968,60
46,MetaHipMer2,Enterococcus_faecalis,Contig44172,1040,60
47,MetaHipMer2,Enterococcus_faecalis,Contig50835,224964,60
48,MetaHipMer2,Enterococcus_faecalis,Contig50836,63311,60
49,MetaHipMer2,Enterococcus_faecalis,Contig50847,27176,60
50,MetaHipMer2,Enterococcus_faecalis,Contig50903,1512,60
51,MetaHipMer2,Enterococcus_faecalis,Contig57051,386276,60
52,MetaHipMer2,Enterococcus_faecalis,Contig57074,30254,60
53,MetaHipMer2,Enterococcus_faecalis,Contig63855,25009,60
54,MetaHipMer2,Enterococcus_faecalis,Contig63958,1157,60
55,MetaHipMer2,Enterococcus_faecalis,Contig70086,61570,60
56,MetaHipMer2,Enterococcus_faecalis,Contig70089,23338,60
57,MetaHipMer2,Enterococcus_faecalis,Contig76988,184432,60
58,MetaHipMer2,Enterococcus_faecalis,Contig76990,78967,60
59,MetaHipMer2,Enterococcus_faecalis,Contig76991,43688,60
60,MetaHipMer2,Enterococcus_faecalis,Contig77013,19517,60
61,MetaHipMer2,Enterococcus_faecalis,Contig77021,19774,60
62,MetaHipMer2,Enterococcus_faecalis,Contig77066,3206,60
63,MetaHipMer2,Enterococcus_faecalis,Contig82026,46715,60
64,MetaHipMer2,Enterococcus_faecalis,Contig82041,30569,60
65,MetaHipMer2,Enterococcus_faecalis,Contig88352,118895,60
66,MetaHipMer2,Enterococcus_faecalis,Contig88353,176675,60
67,MetaHipMer2,Enterococcus_faecalis,Contig88365,12596,60
68,MetaHipMer2,Enterococcus_faecalis,Contig88375,62429,60
69,MetaHipMer2,Enterococcus_faecalis,Contig88388,3170,60
70,MetaHipMer2,Enterococcus_faecalis,Contig88402,13280,60
71,MetaHipMer2,Enterococcus_faecalis,Contig94845,68816,60
72,MetaHipMer2,Enterococcus_faecalis,Contig94852,68756,60
73,MetaHipMer2,Enterococcus_faecalis,Contig94907,1299,60
74,MetaHipMer2,Escherichia_coli_plasmid,Contig35,12471,60
75,MetaHipMer2,Escherichia_coli_plasmid,Contig37898,40233,60
76,MetaHipMer2,Escherichia_coli_plasmid,Contig37916,18629,60
77,MetaHipMer2,Escherichia_coli_plasmid,Contig37917,7992,60
78,MetaHipMer2,Escherichia_coli_plasmid,Contig50855,28267,60
79,MetaHipMer2,Escherichia_coli,Contig3,95701,60
80,MetaHipMer2,Escherichia_coli,Contig6,60072,60
81,MetaHipMer2,Escherichia_coli,Contig9,102049,60
82,MetaHipMer2,Escherichia_coli,Contig10,59568,60
83,MetaHipMer2,Escherichia_coli,Contig11,13193,60
84,MetaHipMer2,Escherichia_coli,Contig12,41231,60
85,MetaHipMer2,Escherichia_coli,Contig23,85580,60
86,MetaHipMer2,Escherichia_coli,Contig26,1334,60
87,MetaHipMer2,Escherichia_coli,Contig36,6777,60
88,MetaHipMer2,Escherichia_coli,Contig38,3994,60
89,MetaHipMer2,Escherichia_coli,Contig41,4509,60
