,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LHS,metaSPAdes,NODE_1_length_780172_cov_40.767116,780172,Listeria_monocytogenes,0
1,1,LHS,metaSPAdes,NODE_2_length_768428_cov_88.189521,768428,Bacillus_subtilis,0
2,2,LHS,metaSPAdes,NODE_3_length_640048_cov_86.001177,640048,Pseudomonas_aeruginosa,0
3,3,LHS,metaSPAdes,NODE_4_length_596012_cov_186.952841,596012,Enterococcus_faecalis,0
4,4,LHS,metaSPAdes,NODE_5_length_551579_cov_88.357805,551579,Bacillus_subtilis,0
5,5,LHS,metaSPAdes,NODE_6_length_475182_cov_40.640010,475182,Listeria_monocytogenes,0
6,6,LHS,metaSPAdes,NODE_7_length_465360_cov_85.741505,465360,Pseudomonas_aeruginosa,0
7,7,LHS,metaSPAdes,NODE_8_length_426293_cov_86.810805,426293,Pseudomonas_aeruginosa,0
8,8,LHS,metaSPAdes,NODE_9_length_411441_cov_86.930921,411441,Pseudomonas_aeruginosa,0
9,9,LHS,metaSPAdes,NODE_10_length_366504_cov_51.458440,366504,Salmonella_enterica,0
10,10,LHS,metaSPAdes,NODE_11_length_332109_cov_86.507842,332109,Pseudomonas_aeruginosa,0
11,11,LHS,metaSPAdes,NODE_12_length_327114_cov_40.278613,327114,Listeria_monocytogenes,0
12,12,LHS,metaSPAdes,NODE_13_length_315046_cov_88.360134,315046,Bacillus_subtilis,0
13,13,LHS,metaSPAdes,NODE_14_length_309703_cov_87.671207,309703,Pseudomonas_aeruginosa,0
14,14,LHS,metaSPAdes,NODE_15_length_307964_cov_89.289504,307964,Bacillus_subtilis,0
15,15,LHS,metaSPAdes,NODE_16_length_304217_cov_51.387557,304217,Salmonella_enterica,0
16,16,LHS,metaSPAdes,NODE_17_length_303805_cov_52.262377,303805,Salmonella_enterica,0
17,17,LHS,metaSPAdes,NODE_18_length_301661_cov_189.151840,301661,Enterococcus_faecalis,0
18,18,LHS,metaSPAdes,NODE_19_length_294377_cov_87.927403,294377,Bacillus_subtilis,0
19,19,LHS,metaSPAdes,NODE_20_length_291166_cov_220.019597,291166,Staphylococcus_aureus,0
20,20,LHS,metaSPAdes,NODE_21_length_285156_cov_86.396021,285156,Pseudomonas_aeruginosa,0
21,21,LHS,metaSPAdes,NODE_22_length_282416_cov_187.296957,282416,Enterococcus_faecalis,0
22,22,LHS,metaSPAdes,NODE_23_length_279719_cov_187.160110,279719,Enterococcus_faecalis,0
23,23,LHS,metaSPAdes,NODE_24_length_277823_cov_86.261452,277823,Pseudomonas_aeruginosa,0
24,24,LHS,metaSPAdes,NODE_25_length_272208_cov_88.655212,272208,Bacillus_subtilis,0
25,25,LHS,metaSPAdes,NODE_26_length_264296_cov_85.908303,264296,Pseudomonas_aeruginosa,0
26,26,LHS,metaSPAdes,NODE_27_length_263195_cov_88.651406,263195,Bacillus_subtilis,0
27,27,LHS,metaSPAdes,NODE_28_length_260608_cov_86.345085,260608,Pseudomonas_aeruginosa,0
28,28,LHS,metaSPAdes,NODE_29_length_257021_cov_88.530957,257021,Bacillus_subtilis,0
29,29,LHS,metaSPAdes,NODE_30_length_256234_cov_87.251149,256234,Pseudomonas_aeruginosa,0
30,30,LHS,metaSPAdes,NODE_31_length_254541_cov_40.454563,254541,Listeria_monocytogenes,0
31,31,LHS,metaSPAdes,NODE_32_length_253547_cov_86.824949,253547,Pseudomonas_aeruginosa,0
32,32,LHS,metaSPAdes,NODE_33_length_252297_cov_88.106953,252297,Bacillus_subtilis,0
33,33,LHS,metaSPAdes,NODE_34_length_250357_cov_219.354723,250357,Staphylococcus_aureus,0
34,34,LHS,metaSPAdes,NODE_35_length_238611_cov_187.165093,238611,Enterococcus_faecalis,0
35,35,LHS,metaSPAdes,NODE_36_length_227858_cov_218.525643,227858,Staphylococcus_aureus,0
36,36,LHS,metaSPAdes,NODE_37_length_223914_cov_51.577078,223914,Salmonella_enterica,0
37,37,LHS,metaSPAdes,NODE_38_length_212082_cov_51.505403,212082,Salmonella_enterica,0
38,38,LHS,metaSPAdes,NODE_39_length_210562_cov_40.397516,210562,Listeria_monocytogenes,0
39,39,LHS,metaSPAdes,NODE_40_length_207625_cov_85.842940,207625,Pseudomonas_aeruginosa,0
40,40,LHS,metaSPAdes,NODE_41_length_204472_cov_219.030340,204472,Staphylococcus_aureus,0
