,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MetaHipMer2,Bacillus_subtilis,Contig0,343203,60
1,MetaHipMer2,Bacillus_subtilis,Contig4,107332,60
2,MetaHipMer2,Bacillus_subtilis,Contig27,37892,60
3,MetaHipMer2,Bacillus_subtilis,Contig6925,23328,60
4,MetaHipMer2,Bacillus_subtilis,Contig13203,263362,60
5,MetaHipMer2,Bacillus_subtilis,Contig13204,170743,60
6,MetaHipMer2,Bacillus_subtilis,Contig13214,15641,60
7,MetaHipMer2,Bacillus_subtilis,Contig13242,2636,60
8,MetaHipMer2,Bacillus_subtilis,Contig25046,257424,60
9,MetaHipMer2,Bacillus_subtilis,Contig25055,59824,60
10,MetaHipMer2,Bacillus_subtilis,Contig32205,29778,60
11,MetaHipMer2,Bacillus_subtilis,Contig44906,122497,60
12,MetaHipMer2,Bacillus_subtilis,Contig44907,55294,60
13,MetaHipMer2,Bacillus_subtilis,Contig44909,252651,60
14,MetaHipMer2,Bacillus_subtilis,Contig50529,10271,60
15,MetaHipMer2,Bacillus_subtilis,Contig50532,83899,60
16,MetaHipMer2,Bacillus_subtilis,Contig63501,156314,60
17,MetaHipMer2,Bacillus_subtilis,Contig75755,38456,60
18,MetaHipMer2,Bacillus_subtilis,Contig75757,150029,60
19,MetaHipMer2,Bacillus_subtilis,Contig82086,269691,60
20,MetaHipMer2,Bacillus_subtilis,Contig82087,395796,60
21,MetaHipMer2,Bacillus_subtilis,Contig82099,212967,60
22,MetaHipMer2,Bacillus_subtilis,Contig82106,57805,60
23,MetaHipMer2,Bacillus_subtilis,Contig88153,137373,60
24,MetaHipMer2,Bacillus_subtilis,Contig88187,17011,60
25,MetaHipMer2,Bacillus_subtilis,Contig95181,372558,60
26,MetaHipMer2,Bacillus_subtilis,Contig95185,294463,60
27,MetaHipMer2,Bacillus_subtilis,Contig95190,38343,60
28,MetaHipMer2,Enterococcus_faecalis,Contig17,57041,60
29,MetaHipMer2,Enterococcus_faecalis,Contig18,84240,60
30,MetaHipMer2,Enterococcus_faecalis,Contig19,12501,60
31,MetaHipMer2,Enterococcus_faecalis,Contig38,22968,60
32,MetaHipMer2,Enterococcus_faecalis,Contig6927,41929,60
33,MetaHipMer2,Enterococcus_faecalis,Contig6936,114807,60
34,MetaHipMer2,Enterococcus_faecalis,Contig6947,29303,60
35,MetaHipMer2,Enterococcus_faecalis,Contig6956,16206,60
36,MetaHipMer2,Enterococcus_faecalis,Contig13195,13775,60
37,MetaHipMer2,Enterococcus_faecalis,Contig13207,16614,60
38,MetaHipMer2,Enterococcus_faecalis,Contig18890,13442,60
39,MetaHipMer2,Enterococcus_faecalis,Contig25049,74181,60
40,MetaHipMer2,Enterococcus_faecalis,Contig25074,38790,60
41,MetaHipMer2,Enterococcus_faecalis,Contig32216,63176,60
42,MetaHipMer2,Enterococcus_faecalis,Contig32218,49590,60
43,MetaHipMer2,Enterococcus_faecalis,Contig32226,8901,60
44,MetaHipMer2,Enterococcus_faecalis,Contig44908,127737,60
45,MetaHipMer2,Enterococcus_faecalis,Contig44964,1040,60
46,MetaHipMer2,Enterococcus_faecalis,Contig50523,224964,60
47,MetaHipMer2,Enterococcus_faecalis,Contig50524,63311,60
48,MetaHipMer2,Enterococcus_faecalis,Contig50536,27176,60
49,MetaHipMer2,Enterococcus_faecalis,Contig50592,1512,60
50,MetaHipMer2,Enterococcus_faecalis,Contig57572,386276,60
51,MetaHipMer2,Enterococcus_faecalis,Contig57595,30254,60
52,MetaHipMer2,Enterococcus_faecalis,Contig63513,25009,60
53,MetaHipMer2,Enterococcus_faecalis,Contig63615,1157,60
54,MetaHipMer2,Enterococcus_faecalis,Contig70659,61570,60
55,MetaHipMer2,Enterococcus_faecalis,Contig70662,23338,60
56,MetaHipMer2,Enterococcus_faecalis,Contig70668,193788,60
57,MetaHipMer2,Enterococcus_faecalis,Contig75749,184432,60
58,MetaHipMer2,Enterococcus_faecalis,Contig75751,78967,60
59,MetaHipMer2,Enterococcus_faecalis,Contig75752,43688,60
60,MetaHipMer2,Enterococcus_faecalis,Contig75776,19517,60
61,MetaHipMer2,Enterococcus_faecalis,Contig75785,19774,60
62,MetaHipMer2,Enterococcus_faecalis,Contig75830,3206,60
63,MetaHipMer2,Enterococcus_faecalis,Contig82094,46715,60
64,MetaHipMer2,Enterococcus_faecalis,Contig88131,118895,60
65,MetaHipMer2,Enterococcus_faecalis,Contig88132,176675,60
66,MetaHipMer2,Enterococcus_faecalis,Contig88145,12596,60
67,MetaHipMer2,Enterococcus_faecalis,Contig88155,62429,60
68,MetaHipMer2,Enterococcus_faecalis,Contig88170,3170,60
69,MetaHipMer2,Enterococcus_faecalis,Contig88175,30569,60
70,MetaHipMer2,Enterococcus_faecalis,Contig88189,13280,60
71,MetaHipMer2,Enterococcus_faecalis,Contig95189,68816,60
72,MetaHipMer2,Enterococcus_faecalis,Contig95197,68756,60
73,MetaHipMer2,Enterococcus_faecalis,Contig95251,1299,60
74,MetaHipMer2,Escherichia_coli_plasmid,Contig33,12471,60
75,MetaHipMer2,Escherichia_coli_plasmid,Contig37766,40233,60
76,MetaHipMer2,Escherichia_coli_plasmid,Contig37785,18629,60
77,MetaHipMer2,Escherichia_coli_plasmid,Contig37786,7992,60
78,MetaHipMer2,Escherichia_coli_plasmid,Contig50544,28267,60
79,MetaHipMer2,Escherichia_coli,Contig3,95701,60
80,MetaHipMer2,Escherichia_coli,Contig6,60072,60
81,MetaHipMer2,Escherichia_coli,Contig8,102049,60
82,MetaHipMer2,Escherichia_coli,Contig9,59568,60
83,MetaHipMer2,Escherichia_coli,Contig10,13193,60
84,MetaHipMer2,Escherichia_coli,Contig11,41231,60
85,MetaHipMer2,Escherichia_coli,Contig25,1334,60
86,MetaHipMer2,Escherichia_coli,Contig34,6777,60
87,MetaHipMer2,Escherichia_coli,Contig36,3994,60
88,MetaHipMer2,Escherichia_coli,Contig40,4509,60
89,MetaHipMer2,Escherichia_coli,Contig6941,57991,60
