,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,metaSPAdes,CP009072.1,NODE_8_length_136374_cov_11.715043,136374,5.788998189759633
1,metaSPAdes,CP009072.1,NODE_15_length_122066_cov_11.618903,122066,5.691348868015346
2,metaSPAdes,CP009072.1,NODE_18_length_111559_cov_10.913895,111559,5.387460235748359
3,metaSPAdes,CP009072.1,NODE_22_length_104949_cov_8.323202,104949,7.9388896656118835
4,metaSPAdes,CP009072.1,NODE_23_length_103901_cov_9.404012,103901,7.9105201402523235
5,metaSPAdes,CP009072.1,NODE_25_length_102250_cov_9.125642,102250,9.65358797503465
6,metaSPAdes,CP009072.1,NODE_32_length_96642_cov_8.280628,96642,7.946381221791904
7,metaSPAdes,CP009072.1,NODE_39_length_85981_cov_8.727708,85981,4.588911068244173
8,metaSPAdes,CP009072.1,NODE_47_length_81833_cov_10.268202,81833,4.3882881341418045
9,metaSPAdes,CP009072.1,NODE_53_length_76047_cov_8.223195,76047,3.504598290127979
10,metaSPAdes,CP009072.1,NODE_61_length_73189_cov_9.990661,73189,7.892274342107571
11,metaSPAdes,CP009072.1,NODE_69_length_69161_cov_11.033253,69161,8.665948280095817
12,metaSPAdes,CP009072.1,NODE_79_length_65399_cov_11.064872,65399,7.859033050097666
13,metaSPAdes,CP009072.1,NODE_86_length_63389_cov_9.832633,63389,6.537198031318741
14,metaSPAdes,CP009072.1,NODE_93_length_60803_cov_10.173734,60803,4.96414397444372
15,metaSPAdes,CP009072.1,NODE_98_length_59599_cov_7.686685,59599,5.493871620407816
16,metaSPAdes,CP009072.1,NODE_105_length_58068_cov_7.699378,58068,5.207499440247771
17,metaSPAdes,CP009072.1,NODE_107_length_57223_cov_7.708158,57223,11.485100726634542
18,metaSPAdes,CP009072.1,NODE_110_length_56108_cov_12.516047,56108,8.282234064920557
19,metaSPAdes,CP009072.1,NODE_111_length_55958_cov_8.108957,55958,1.2601108839403063
20,metaSPAdes,CP009072.1,NODE_116_length_54725_cov_10.343314,54725,3.0804618835526103
21,metaSPAdes,CP009072.1,NODE_143_length_51696_cov_9.981546,51696,8.732880914328128
22,metaSPAdes,CP009072.1,NODE_161_length_49278_cov_8.091461,49278,6.61891482259941
23,metaSPAdes,CP009072.1,NODE_181_length_46896_cov_11.117440,46896,4.430435619373791
24,metaSPAdes,CP009072.1,NODE_185_length_46609_cov_10.716093,46609,1.5332479044322576
25,metaSPAdes,CP009072.1,NODE_191_length_46053_cov_7.424692,46053,6.6117830001832125
26,metaSPAdes,CP009072.1,NODE_202_length_44420_cov_10.482678,44420,6.6630372150586625
27,metaSPAdes,CP009072.1,NODE_209_length_43766_cov_10.213287,43766,8.514151620379494
28,metaSPAdes,CP009072.1,NODE_215_length_43354_cov_10.220513,43354,6.581641889244551
29,metaSPAdes,CP009072.1,NODE_216_length_42957_cov_8.231551,42957,10.060779923701217
30,metaSPAdes,CP009072.1,NODE_217_length_42892_cov_8.578845,42892,4.265226018516225
31,metaSPAdes,CP009072.1,NODE_221_length_42727_cov_10.053407,42727,9.659664321575027
