,Reference,Assembler,NAx,Basepairs
0,Bacillus_subtilis,SKESA,0,395598
1,Bacillus_subtilis,SKESA,1,395598
2,Bacillus_subtilis,SKESA,2,395598
3,Bacillus_subtilis,SKESA,3,395598
4,Bacillus_subtilis,SKESA,4,395598
5,Bacillus_subtilis,SKESA,5,395598
6,Bacillus_subtilis,SKESA,6,395598
7,Bacillus_subtilis,SKESA,7,395598
8,Bacillus_subtilis,SKESA,8,395598
9,Bacillus_subtilis,SKESA,9,395598
10,Bacillus_subtilis,SKESA,10,372288
11,Bacillus_subtilis,SKESA,11,372288
12,Bacillus_subtilis,SKESA,12,372288
13,Bacillus_subtilis,SKESA,13,372288
14,Bacillus_subtilis,SKESA,14,372288
15,Bacillus_subtilis,SKESA,15,372288
16,Bacillus_subtilis,SKESA,16,372288
17,Bacillus_subtilis,SKESA,17,372288
18,Bacillus_subtilis,SKESA,18,372288
19,Bacillus_subtilis,SKESA,19,372288
20,Bacillus_subtilis,SKESA,20,341821
21,Bacillus_subtilis,SKESA,21,341821
22,Bacillus_subtilis,SKESA,22,341821
23,Bacillus_subtilis,SKESA,23,341821
24,Bacillus_subtilis,SKESA,24,341821
25,Bacillus_subtilis,SKESA,25,341821
26,Bacillus_subtilis,SKESA,26,341821
27,Bacillus_subtilis,SKESA,27,341821
28,Bacillus_subtilis,SKESA,28,314934
29,Bacillus_subtilis,SKESA,29,314934
30,Bacillus_subtilis,SKESA,30,314934
31,Bacillus_subtilis,SKESA,31,314934
32,Bacillus_subtilis,SKESA,32,314934
33,Bacillus_subtilis,SKESA,33,314934
34,Bacillus_subtilis,SKESA,34,314934
35,Bacillus_subtilis,SKESA,35,314934
36,Bacillus_subtilis,SKESA,36,269279
37,Bacillus_subtilis,SKESA,37,269279
38,Bacillus_subtilis,SKESA,38,269279
39,Bacillus_subtilis,SKESA,39,269279
40,Bacillus_subtilis,SKESA,40,269279
41,Bacillus_subtilis,SKESA,41,269279
42,Bacillus_subtilis,SKESA,42,269279
43,Bacillus_subtilis,SKESA,43,263164
44,Bacillus_subtilis,SKESA,44,263164
45,Bacillus_subtilis,SKESA,45,263164
46,Bacillus_subtilis,SKESA,46,263164
47,Bacillus_subtilis,SKESA,47,263164
48,Bacillus_subtilis,SKESA,48,263164
49,Bacillus_subtilis,SKESA,49,263164
50,Bacillus_subtilis,SKESA,50,256909
51,Bacillus_subtilis,SKESA,51,256909
52,Bacillus_subtilis,SKESA,52,256909
53,Bacillus_subtilis,SKESA,53,256909
54,Bacillus_subtilis,SKESA,54,256909
55,Bacillus_subtilis,SKESA,55,256909
56,Bacillus_subtilis,SKESA,56,252367
57,Bacillus_subtilis,SKESA,57,252367
58,Bacillus_subtilis,SKESA,58,252367
59,Bacillus_subtilis,SKESA,59,252367
60,Bacillus_subtilis,SKESA,60,252367
61,Bacillus_subtilis,SKESA,61,252367
62,Bacillus_subtilis,SKESA,62,252367
63,Bacillus_subtilis,SKESA,63,200700
64,Bacillus_subtilis,SKESA,64,200700
65,Bacillus_subtilis,SKESA,65,200700
66,Bacillus_subtilis,SKESA,66,200700
67,Bacillus_subtilis,SKESA,67,200700
68,Bacillus_subtilis,SKESA,68,170545
69,Bacillus_subtilis,SKESA,69,170545
70,Bacillus_subtilis,SKESA,70,170545
71,Bacillus_subtilis,SKESA,71,170545
72,Bacillus_subtilis,SKESA,72,155833
73,Bacillus_subtilis,SKESA,73,155833
74,Bacillus_subtilis,SKESA,74,155833
75,Bacillus_subtilis,SKESA,75,155833
76,Bacillus_subtilis,SKESA,76,137078
77,Bacillus_subtilis,SKESA,77,137078
78,Bacillus_subtilis,SKESA,78,137078
79,Bacillus_subtilis,SKESA,79,130918
80,Bacillus_subtilis,SKESA,80,130918
81,Bacillus_subtilis,SKESA,81,130918
82,Bacillus_subtilis,SKESA,82,130918
83,Bacillus_subtilis,SKESA,83,103909
84,Bacillus_subtilis,SKESA,84,103909
85,Bacillus_subtilis,SKESA,85,90182
86,Bacillus_subtilis,SKESA,86,90182
87,Bacillus_subtilis,SKESA,87,90182
88,Bacillus_subtilis,SKESA,88,83701
89,Bacillus_subtilis,SKESA,89,83701
90,Bacillus_subtilis,SKESA,90,81756
91,Bacillus_subtilis,SKESA,91,81756
92,Bacillus_subtilis,SKESA,92,59626
93,Bacillus_subtilis,SKESA,93,55096
94,Bacillus_subtilis,SKESA,94,55096
95,Bacillus_subtilis,SKESA,95,38217
96,Bacillus_subtilis,SKESA,96,38157
97,Bacillus_subtilis,SKESA,97,36951
98,Bacillus_subtilis,SKESA,98,23130
99,Bacillus_subtilis,SKESA,99,16813
100,Bacillus_subtilis,SKESA,100,2222
101,Enterococcus_faecalis,SKESA,0,386139
102,Enterococcus_faecalis,SKESA,1,386139
103,Enterococcus_faecalis,SKESA,2,386139
104,Enterococcus_faecalis,SKESA,3,386139
105,Enterococcus_faecalis,SKESA,4,386139
106,Enterococcus_faecalis,SKESA,5,386139
107,Enterococcus_faecalis,SKESA,6,386139
108,Enterococcus_faecalis,SKESA,7,386139
109,Enterococcus_faecalis,SKESA,8,386139
110,Enterococcus_faecalis,SKESA,9,386139
111,Enterococcus_faecalis,SKESA,10,386139
112,Enterococcus_faecalis,SKESA,11,386139
113,Enterococcus_faecalis,SKESA,12,386139
114,Enterococcus_faecalis,SKESA,13,386139
115,Enterococcus_faecalis,SKESA,14,224114
116,Enterococcus_faecalis,SKESA,15,224114
117,Enterococcus_faecalis,SKESA,16,224114
118,Enterococcus_faecalis,SKESA,17,224114
119,Enterococcus_faecalis,SKESA,18,224114
120,Enterococcus_faecalis,SKESA,19,224114
121,Enterococcus_faecalis,SKESA,20,224114
122,Enterococcus_faecalis,SKESA,21,224114
123,Enterococcus_faecalis,SKESA,22,184231
124,Enterococcus_faecalis,SKESA,23,184231
125,Enterococcus_faecalis,SKESA,24,184231
126,Enterococcus_faecalis,SKESA,25,184231
127,Enterococcus_faecalis,SKESA,26,184231
128,Enterococcus_faecalis,SKESA,27,184231
129,Enterococcus_faecalis,SKESA,28,184231
130,Enterococcus_faecalis,SKESA,29,179342
131,Enterococcus_faecalis,SKESA,30,179342
132,Enterococcus_faecalis,SKESA,31,179342
133,Enterococcus_faecalis,SKESA,32,179342
134,Enterococcus_faecalis,SKESA,33,179342
135,Enterococcus_faecalis,SKESA,34,179342
136,Enterococcus_faecalis,SKESA,35,132279
137,Enterococcus_faecalis,SKESA,36,132279
138,Enterococcus_faecalis,SKESA,37,132279
139,Enterococcus_faecalis,SKESA,38,132279
140,Enterococcus_faecalis,SKESA,39,132279
141,Enterococcus_faecalis,SKESA,40,127539
142,Enterococcus_faecalis,SKESA,41,127539
143,Enterococcus_faecalis,SKESA,42,127539
144,Enterococcus_faecalis,SKESA,43,127539
145,Enterococcus_faecalis,SKESA,44,92343
146,Enterococcus_faecalis,SKESA,45,92343
147,Enterococcus_faecalis,SKESA,46,92343
148,Enterococcus_faecalis,SKESA,47,92343
149,Enterococcus_faecalis,SKESA,48,88301
150,Enterococcus_faecalis,SKESA,49,88301
151,Enterococcus_faecalis,SKESA,50,88301
152,Enterococcus_faecalis,SKESA,51,87934
153,Enterococcus_faecalis,SKESA,52,87934
154,Enterococcus_faecalis,SKESA,53,87934
155,Enterococcus_faecalis,SKESA,54,77858
156,Enterococcus_faecalis,SKESA,55,77858
157,Enterococcus_faecalis,SKESA,56,77858
158,Enterococcus_faecalis,SKESA,57,68552
159,Enterococcus_faecalis,SKESA,58,68552
160,Enterococcus_faecalis,SKESA,59,68370
161,Enterococcus_faecalis,SKESA,60,68370
162,Enterococcus_faecalis,SKESA,61,68370
163,Enterococcus_faecalis,SKESA,62,63113
164,Enterococcus_faecalis,SKESA,63,63113
165,Enterococcus_faecalis,SKESA,64,62978
166,Enterococcus_faecalis,SKESA,65,62978
167,Enterococcus_faecalis,SKESA,66,61182
168,Enterococcus_faecalis,SKESA,67,61182
169,Enterococcus_faecalis,SKESA,68,59856
170,Enterococcus_faecalis,SKESA,69,59856
171,Enterococcus_faecalis,SKESA,70,56510
172,Enterococcus_faecalis,SKESA,71,56510
173,Enterococcus_faecalis,SKESA,72,52604
174,Enterococcus_faecalis,SKESA,73,52604
175,Enterococcus_faecalis,SKESA,74,49509
176,Enterococcus_faecalis,SKESA,75,49509
177,Enterococcus_faecalis,SKESA,76,48759
178,Enterococcus_faecalis,SKESA,77,48759
179,Enterococcus_faecalis,SKESA,78,46517
180,Enterococcus_faecalis,SKESA,79,43490
181,Enterococcus_faecalis,SKESA,80,43490
182,Enterococcus_faecalis,SKESA,81,43466
183,Enterococcus_faecalis,SKESA,82,43466
184,Enterococcus_faecalis,SKESA,83,39477
185,Enterococcus_faecalis,SKESA,84,38592
186,Enterococcus_faecalis,SKESA,85,35727
187,Enterococcus_faecalis,SKESA,86,35727
188,Enterococcus_faecalis,SKESA,87,31342
189,Enterococcus_faecalis,SKESA,88,30357
190,Enterococcus_faecalis,SKESA,89,30308
191,Enterococcus_faecalis,SKESA,90,30050
192,Enterococcus_faecalis,SKESA,91,29105
193,Enterococcus_faecalis,SKESA,92,24621
194,Enterococcus_faecalis,SKESA,93,23351
195,Enterococcus_faecalis,SKESA,94,22770
196,Enterococcus_faecalis,SKESA,95,19576
197,Enterococcus_faecalis,SKESA,96,18706
198,Enterococcus_faecalis,SKESA,97,15878
199,Enterococcus_faecalis,SKESA,98,13082
200,Enterococcus_faecalis,SKESA,99,8703
201,Enterococcus_faecalis,SKESA,100,1148
202,Escherichia_coli_plasmid,SKESA,0,1740
203,Escherichia_coli_plasmid,SKESA,1,1740
204,Escherichia_coli_plasmid,SKESA,2,1740
205,Escherichia_coli_plasmid,SKESA,3,1740
206,Escherichia_coli_plasmid,SKESA,4,1740
207,Escherichia_coli_plasmid,SKESA,5,1740
208,Escherichia_coli_plasmid,SKESA,6,1740
209,Escherichia_coli_plasmid,SKESA,7,1740
210,Escherichia_coli_plasmid,SKESA,8,1740
211,Escherichia_coli_plasmid,SKESA,9,1740
212,Escherichia_coli_plasmid,SKESA,10,1740
213,Escherichia_coli_plasmid,SKESA,11,1740
214,Escherichia_coli_plasmid,SKESA,12,1579
215,Escherichia_coli_plasmid,SKESA,13,1579
216,Escherichia_coli_plasmid,SKESA,14,1579
217,Escherichia_coli_plasmid,SKESA,15,1579
218,Escherichia_coli_plasmid,SKESA,16,1579
219,Escherichia_coli_plasmid,SKESA,17,1579
220,Escherichia_coli_plasmid,SKESA,18,1579
