,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,Unicycler,Bacillus_subtilis,3,768201,60
1,Unicycler,Bacillus_subtilis,5,552239,54.41097078290949
2,Unicycler,Bacillus_subtilis,91,84363,36.251220194561284
3,Unicycler,Bacillus_subtilis,137,37809,60
4,Unicycler,Bacillus_subtilis,155,29797,60
5,Unicycler,Bacillus_subtilis,215,10764,27.309436934277418
6,Unicycler,Bacillus_subtilis,307,1712,60
7,Unicycler,Bacillus_subtilis,326,1361,60
8,Unicycler,Enterococcus_faecalis,2,882626,51.00678676537052
9,Unicycler,Enterococcus_faecalis,12,377104,60
10,Unicycler,Enterococcus_faecalis,16,336514,60
11,Unicycler,Enterococcus_faecalis,21,238501,60
12,Unicycler,Enterococcus_faecalis,22,234974,60
13,Unicycler,Enterococcus_faecalis,38,179588,60
14,Unicycler,Enterococcus_faecalis,41,171239,46.31542691653629
15,Unicycler,Enterococcus_faecalis,68,105394,60
16,Unicycler,Enterococcus_faecalis,90,86023,60
17,Unicycler,Enterococcus_faecalis,119,46519,60
18,Unicycler,Enterococcus_faecalis,142,35769,60
19,Unicycler,Enterococcus_faecalis,143,35550,60
20,Unicycler,Enterococcus_faecalis,154,30475,60
21,Unicycler,Enterococcus_faecalis,157,29107,60
22,Unicycler,Enterococcus_faecalis,182,19321,60
23,Unicycler,Enterococcus_faecalis,302,2056,60
24,Unicycler,Enterococcus_faecalis,315,1559,60
25,Unicycler,Enterococcus_faecalis,317,1514,60
26,Unicycler,Enterococcus_faecalis,323,1368,60
27,Unicycler,Enterococcus_faecalis,333,1295,60
28,Unicycler,Enterococcus_faecalis,346,1120,60
29,Unicycler,Escherichia_coli_plasmid,113,52932,60
30,Unicycler,Escherichia_coli_plasmid,161,28073,60
31,Unicycler,Escherichia_coli_plasmid,167,26328,60
32,Unicycler,Escherichia_coli,7,512786,60
33,Unicycler,Escherichia_coli,32,204385,60
34,Unicycler,Escherichia_coli,35,184014,60
35,Unicycler,Escherichia_coli,36,183378,60
36,Unicycler,Escherichia_coli,37,181257,60
37,Unicycler,Escherichia_coli,46,148477,60
38,Unicycler,Escherichia_coli,48,144676,60
39,Unicycler,Escherichia_coli,49,143910,60
40,Unicycler,Escherichia_coli,56,125453,60
41,Unicycler,Escherichia_coli,57,124073,60
42,Unicycler,Escherichia_coli,59,119183,60
