,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MINIA,Bacillus_subtilis,51,1209,30.824263008607677
1,MINIA,Bacillus_subtilis,69,3377,60.0
2,MINIA,Bacillus_subtilis,283,7500,60.0
3,MINIA,Bacillus_subtilis,293,15639,60.0
4,MINIA,Bacillus_subtilis,316,33942,60.0
5,MINIA,Bacillus_subtilis,390,1986,60.0
6,MINIA,Bacillus_subtilis,603,56833,60.0
7,MINIA,Bacillus_subtilis,1136,8130,60.0
8,MINIA,Bacillus_subtilis,1388,24145,60.0
9,MINIA,Bacillus_subtilis,1408,9471,60.0
10,MINIA,Bacillus_subtilis,1647,14710,60.0
11,MINIA,Bacillus_subtilis,1652,13381,60.0
12,MINIA,Bacillus_subtilis,1800,5217,60.0
13,MINIA,Bacillus_subtilis,1852,9423,60.0
14,MINIA,Bacillus_subtilis,1854,18959,60.0
15,MINIA,Bacillus_subtilis,1882,6263,60.0
16,MINIA,Bacillus_subtilis,1920,22601,60.0
17,MINIA,Bacillus_subtilis,1966,12029,60.0
18,MINIA,Bacillus_subtilis,2037,30760,60.0
19,MINIA,Bacillus_subtilis,2157,14173,60.0
20,MINIA,Bacillus_subtilis,2170,14541,60.0
21,MINIA,Bacillus_subtilis,2171,2253,60.0
22,MINIA,Bacillus_subtilis,2294,9118,60.0
23,MINIA,Bacillus_subtilis,2320,26375,60.0
24,MINIA,Bacillus_subtilis,2377,49680,60.0
25,MINIA,Bacillus_subtilis,2464,11059,60.0
26,MINIA,Bacillus_subtilis,2490,8301,60.0
27,MINIA,Bacillus_subtilis,2501,12823,60.0
28,MINIA,Bacillus_subtilis,2504,1871,60.0
29,MINIA,Bacillus_subtilis,2514,23468,60.0
30,MINIA,Bacillus_subtilis,2749,2172,60.0
31,MINIA,Bacillus_subtilis,2781,40124,60.0
32,MINIA,Bacillus_subtilis,2825,39453,60.0
33,MINIA,Bacillus_subtilis,2850,13728,60.0
34,MINIA,Bacillus_subtilis,2952,32478,60.0
35,MINIA,Bacillus_subtilis,2974,34627,60.0
36,MINIA,Bacillus_subtilis,3040,3596,60.0
37,MINIA,Bacillus_subtilis,3137,5227,60.0
38,MINIA,Bacillus_subtilis,3140,5924,60.0
39,MINIA,Bacillus_subtilis,3143,32498,60.0
40,MINIA,Bacillus_subtilis,3186,8841,60.0
41,MINIA,Bacillus_subtilis,3203,7661,60.0
42,MINIA,Bacillus_subtilis,3297,24109,60.0
43,MINIA,Bacillus_subtilis,3343,7627,60.0
44,MINIA,Bacillus_subtilis,3347,20588,60.0
45,MINIA,Bacillus_subtilis,3407,1126,60.0
46,MINIA,Bacillus_subtilis,3425,3532,60.0
47,MINIA,Bacillus_subtilis,3434,51569,60.0
48,MINIA,Bacillus_subtilis,3504,32062,60.0
49,MINIA,Bacillus_subtilis,3582,26474,60.0
50,MINIA,Bacillus_subtilis,3663,10975,60.0
51,MINIA,Bacillus_subtilis,3708,4326,60.0
52,MINIA,Bacillus_subtilis,3797,9592,60.0
53,MINIA,Bacillus_subtilis,4169,21268,60.0
54,MINIA,Bacillus_subtilis,4177,3629,60.0
55,MINIA,Bacillus_subtilis,4307,1409,60.0
56,MINIA,Bacillus_subtilis,4331,18925,60.0
57,MINIA,Bacillus_subtilis,4343,1767,60.0
58,MINIA,Bacillus_subtilis,4349,1479,60.0
59,MINIA,Bacillus_subtilis,4433,6576,60.0
60,MINIA,Bacillus_subtilis,4439,16631,60.0
61,MINIA,Bacillus_subtilis,4448,5916,60.0
62,MINIA,Bacillus_subtilis,4485,3790,60.0
63,MINIA,Bacillus_subtilis,4506,1365,60.0
64,MINIA,Bacillus_subtilis,4596,17509,60.0
65,MINIA,Bacillus_subtilis,4793,17522,60.0
66,MINIA,Bacillus_subtilis,4833,10318,60.0
67,MINIA,Bacillus_subtilis,4924,18283,60.0
