,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LHS,MEGAHIT,k141_712,2355,Pseudomonas_aeruginosa,0
1,1,LHS,MEGAHIT,k141_713,1306,Pseudomonas_aeruginosa,0
2,2,LHS,MEGAHIT,k141_614,2688,Pseudomonas_aeruginosa,0
3,3,LHS,MEGAHIT,k141_718,2422,Bacillus_subtilis,0
4,4,LHS,MEGAHIT,k141_204,9640,Bacillus_subtilis,0
5,5,LHS,MEGAHIT,k141_9,5313,Bacillus_subtilis,0
6,6,LHS,MEGAHIT,k141_11,3633,Bacillus_subtilis,0
7,7,LHS,MEGAHIT,k141_618,9480,Bacillus_subtilis,0
8,8,LHS,MEGAHIT,k141_720,11411,Bacillus_subtilis,0
9,9,LHS,MEGAHIT,k141_306,20870,Bacillus_subtilis,0
10,10,LHS,MEGAHIT,k141_721,2396,Listeria_monocytogenes,0
11,11,LHS,MEGAHIT,k141_308,2715,Bacillus_subtilis,0
12,12,LHS,MEGAHIT,k141_722,7850,Bacillus_subtilis,0
13,13,LHS,MEGAHIT,k141_12,16362,Bacillus_subtilis,0
14,14,LHS,MEGAHIT,k141_310,7722,Pseudomonas_aeruginosa,0
15,15,LHS,MEGAHIT,k141_408,41752,Bacillus_subtilis,0
16,16,LHS,MEGAHIT,k141_723,14490,Bacillus_subtilis,0
17,17,LHS,MEGAHIT,k141_207,38301,Pseudomonas_aeruginosa,0
18,18,LHS,MEGAHIT,k141_210,2663,Bacillus_subtilis,0
19,19,LHS,MEGAHIT,k141_17,26511,Bacillus_subtilis,0
20,20,LHS,MEGAHIT,k141_213,8153,Bacillus_subtilis,0
21,21,LHS,MEGAHIT,k141_726,18981,Bacillus_subtilis,0
22,22,LHS,MEGAHIT,k141_409,25751,Bacillus_subtilis,0
23,23,LHS,MEGAHIT,k141_415,4673,Bacillus_subtilis,0
24,24,LHS,MEGAHIT,k141_215,15050,Bacillus_subtilis,0
25,25,LHS,MEGAHIT,k141_221,2157,Bacillus_subtilis,0
26,26,LHS,MEGAHIT,k141_729,20599,Bacillus_subtilis,0
27,27,LHS,MEGAHIT,k141_22,29069,Bacillus_subtilis,0
28,28,LHS,MEGAHIT,k141_24,1858,Bacillus_subtilis,0
29,29,LHS,MEGAHIT,k141_416,26209,Bacillus_subtilis,0
30,30,LHS,MEGAHIT,k141_418,9597,Bacillus_subtilis,0
31,31,LHS,MEGAHIT,k141_226,29488,Bacillus_subtilis,0
32,32,LHS,MEGAHIT,k141_228,1517,Salmonella_enterica,0
33,33,LHS,MEGAHIT,k141_230,5868,Bacillus_subtilis,0
34,34,LHS,MEGAHIT,k141_231,2590,Pseudomonas_aeruginosa,0
35,35,LHS,MEGAHIT,k141_28,30541,Bacillus_subtilis,0
36,36,LHS,MEGAHIT,k141_234,3375,Pseudomonas_aeruginosa,0
37,37,LHS,MEGAHIT,k141_29,4027,Bacillus_subtilis,0
38,38,LHS,MEGAHIT,k141_419,24051,Bacillus_subtilis,0
39,39,LHS,MEGAHIT,k141_420,1179,Pseudomonas_aeruginosa,0
40,40,LHS,MEGAHIT,k141_102,136823,Listeria_monocytogenes,0
41,41,LHS,MEGAHIT,k141_237,14241,Bacillus_subtilis,0
42,42,LHS,MEGAHIT,k141_103,37055,Bacillus_subtilis,0
43,43,LHS,MEGAHIT,k141_104,5069,Bacillus_subtilis,0
44,44,LHS,MEGAHIT,k141_425,47942,Pseudomonas_aeruginosa,0
45,45,LHS,MEGAHIT,k141_108,2446,Bacillus_subtilis,0
46,46,LHS,MEGAHIT,k141_620,171359,Pseudomonas_aeruginosa,0
47,47,LHS,MEGAHIT,k141_110,10281,Bacillus_subtilis,0
48,48,LHS,MEGAHIT,k141_111,14388,Bacillus_subtilis,0
49,49,LHS,MEGAHIT,k141_621,24493,Bacillus_subtilis,0
50,50,LHS,MEGAHIT,k141_625,4408,Listeria_monocytogenes,0
51,51,LHS,MEGAHIT,k141_240,82165,Pseudomonas_aeruginosa,0
52,52,LHS,MEGAHIT,k141_626,4071,Bacillus_subtilis,0
53,53,LHS,MEGAHIT,k141_243,5040,Bacillus_subtilis,0
54,54,LHS,MEGAHIT,k141_628,10846,Bacillus_subtilis,0
55,55,LHS,MEGAHIT,k141_115,22142,Pseudomonas_aeruginosa,0
56,56,LHS,MEGAHIT,k141_640,2910,Pseudomonas_aeruginosa,0
57,57,LHS,MEGAHIT,k141_642,2910,Pseudomonas_aeruginosa,0
58,58,LHS,MEGAHIT,k141_645,6131,Bacillus_subtilis,0
59,59,LHS,MEGAHIT,k141_312,259035,Pseudomonas_aeruginosa,0
60,60,LHS,MEGAHIT,k141_116,59161,Bacillus_subtilis,0
61,61,LHS,MEGAHIT,k141_314,1599,Pseudomonas_aeruginosa,0
62,62,LHS,MEGAHIT,k141_315,3877,Listeria_monocytogenes,0
63,63,LHS,MEGAHIT,k141_316,2153,Bacillus_subtilis,0
64,64,LHS,MEGAHIT,k141_317,1513,Listeria_monocytogenes,0
65,65,LHS,MEGAHIT,k141_318,1046,Pseudomonas_aeruginosa,0
66,66,LHS,MEGAHIT,k141_426,118961,Pseudomonas_aeruginosa,0
67,67,LHS,MEGAHIT,k141_319,2662,Bacillus_subtilis,0
68,68,LHS,MEGAHIT,k141_320,4951,Bacillus_subtilis,0
69,69,LHS,MEGAHIT,k141_321,1889,Bacillus_subtilis,0
70,70,LHS,MEGAHIT,k141_327,2077,Bacillus_subtilis,0
71,71,LHS,MEGAHIT,k141_509,319123,Pseudomonas_aeruginosa,0
72,72,LHS,MEGAHIT,k141_427,16003,Bacillus_subtilis,0
73,73,LHS,MEGAHIT,k141_329,9465,Bacillus_subtilis,0
74,74,LHS,MEGAHIT,k141_732,254551,Listeria_monocytogenes,0
75,75,LHS,MEGAHIT,k141_736,11364,Bacillus_subtilis,0
76,76,LHS,MEGAHIT,k141_510,40906,Bacillus_subtilis,0
77,77,LHS,MEGAHIT,k141_244,140601,Listeria_monocytogenes,0
78,78,LHS,MEGAHIT,k141_511,14006,Bacillus_subtilis,0
79,79,LHS,MEGAHIT,k141_429,56672,Bacillus_subtilis,0
80,80,LHS,MEGAHIT,k141_430,1514,Pseudomonas_aeruginosa,0
81,81,LHS,MEGAHIT,k141_737,21275,Pseudomonas_aeruginosa,0
82,82,LHS,MEGAHIT,k141_738,1329,Pseudomonas_aeruginosa,0
83,83,LHS,MEGAHIT,k141_516,5442,Pseudomonas_aeruginosa,0
84,84,LHS,MEGAHIT,k141_31,256754,Pseudomonas_aeruginosa,0
85,85,LHS,MEGAHIT,k141_519,1200,Bacillus_subtilis,0
86,86,LHS,MEGAHIT,k141_438,1375,Pseudomonas_aeruginosa,0
87,87,LHS,MEGAHIT,k141_739,7870,Bacillus_subtilis,0
88,88,LHS,MEGAHIT,k141_740,1044,Escherichia_coli,0
89,89,LHS,MEGAHIT,k141_117,99810,Listeria_monocytogenes,0
90,90,LHS,MEGAHIT,k141_36,15627,Pseudomonas_aeruginosa,0
91,91,LHS,MEGAHIT,k141_646,156255,Pseudomonas_aeruginosa,0
92,92,LHS,MEGAHIT,k141_40,3320,Pseudomonas_aeruginosa,0
93,93,LHS,MEGAHIT,k141_743,16092,Bacillus_subtilis,0
94,94,LHS,MEGAHIT,k141_43,4985,Bacillus_subtilis,0
95,95,LHS,MEGAHIT,k141_520,33737,Bacillus_subtilis,0
96,96,LHS,MEGAHIT,k141_745,14901,Bacillus_subtilis,0
97,97,LHS,MEGAHIT,k141_746,3694,Bacillus_subtilis,0
98,98,LHS,MEGAHIT,k141_254,57779,Bacillus_subtilis,0
99,99,LHS,MEGAHIT,k141_44,21717,Bacillus_subtilis,0
100,100,LHS,MEGAHIT,k141_647,33404,Pseudomonas_aeruginosa,0
101,101,LHS,MEGAHIT,k141_748,10755,Bacillus_subtilis,0
102,102,LHS,MEGAHIT,k141_258,6322,Bacillus_subtilis,0
103,103,LHS,MEGAHIT,k141_45,10866,Bacillus_subtilis,0
104,104,LHS,MEGAHIT,k141_46,2724,Bacillus_subtilis,0
105,105,LHS,MEGAHIT,k141_649,13700,Bacillus_subtilis,0
106,106,LHS,MEGAHIT,k141_48,5875,Bacillus_subtilis,0
107,107,LHS,MEGAHIT,k141_118,61861,Pseudomonas_aeruginosa,0
108,108,LHS,MEGAHIT,k141_119,2134,Pseudomonas_aeruginosa,0
109,109,LHS,MEGAHIT,k141_259,19867,Bacillus_subtilis,0
110,110,LHS,MEGAHIT,k141_749,23012,Bacillus_subtilis,0
111,111,LHS,MEGAHIT,k141_653,14461,Bacillus_subtilis,0
112,112,LHS,MEGAHIT,k141_654,6811,Bacillus_subtilis,0
113,113,LHS,MEGAHIT,k141_657,3918,Bacillus_subtilis,0
114,114,LHS,MEGAHIT,k141_750,21518,Bacillus_subtilis,0
115,115,LHS,MEGAHIT,k141_751,10148,Bacillus_subtilis,0
116,116,LHS,MEGAHIT,k141_50,44005,Bacillus_subtilis,0
117,117,LHS,MEGAHIT,k141_658,21342,Bacillus_subtilis,0
118,118,LHS,MEGAHIT,k141_756,9661,Bacillus_subtilis,0
119,119,LHS,MEGAHIT,k141_757,2713,Bacillus_subtilis,0
120,120,LHS,MEGAHIT,k141_661,12347,Bacillus_subtilis,0
121,121,LHS,MEGAHIT,k141_764,13845,Bacillus_subtilis,0
122,122,LHS,MEGAHIT,k141_765,1641,Bacillus_subtilis,0
123,123,LHS,MEGAHIT,k141_51,29593,Bacillus_subtilis,0
124,124,LHS,MEGAHIT,k141_52,3444,Salmonella_enterica,0
125,125,LHS,MEGAHIT,k141_771,10301,Bacillus_subtilis,0
126,126,LHS,MEGAHIT,k141_53,5480,Bacillus_subtilis,0
127,127,LHS,MEGAHIT,k141_521,123054,Pseudomonas_aeruginosa,0
128,128,LHS,MEGAHIT,k141_522,5214,Bacillus_subtilis,0
129,129,LHS,MEGAHIT,k141_440,171540,Pseudomonas_aeruginosa,0
130,130,LHS,MEGAHIT,k141_444,5420,Pseudomonas_aeruginosa,0
131,131,LHS,MEGAHIT,k141_445,4267,Bacillus_subtilis,0
132,132,LHS,MEGAHIT,k141_330,249522,Pseudomonas_aeruginosa,0
133,133,LHS,MEGAHIT,k141_263,119225,Pseudomonas_aeruginosa,0
134,134,LHS,MEGAHIT,k141_269,2234,Bacillus_subtilis,0
135,135,LHS,MEGAHIT,k141_121,124270,Listeria_monocytogenes,0
136,136,LHS,MEGAHIT,k141_524,34572,Bacillus_subtilis,0
137,137,LHS,MEGAHIT,k141_525,1895,Bacillus_subtilis,0
138,138,LHS,MEGAHIT,k141_55,49354,Bacillus_subtilis,0
139,139,LHS,MEGAHIT,k141_772,56421,Pseudomonas_aeruginosa,0
140,140,LHS,MEGAHIT,k141_526,4231,Bacillus_subtilis,0
141,141,LHS,MEGAHIT,k141_56,10803,Bacillus_subtilis,0
142,142,LHS,MEGAHIT,k141_331,22492,Bacillus_subtilis,0
143,143,LHS,MEGAHIT,k141_332,6549,Bacillus_subtilis,0
144,144,LHS,MEGAHIT,k141_58,9673,Bacillus_subtilis,0
145,145,LHS,MEGAHIT,k141_126,25997,Bacillus_subtilis,0
146,146,LHS,MEGAHIT,k141_528,26753,Bacillus_subtilis,0
147,147,LHS,MEGAHIT,k141_334,19038,Pseudomonas_aeruginosa,0
148,148,LHS,MEGAHIT,k141_779,32687,Bacillus_subtilis,0
149,149,LHS,MEGAHIT,k141_529,11122,Bacillus_subtilis,0
150,150,LHS,MEGAHIT,k141_783,1762,Pseudomonas_aeruginosa,0
151,151,LHS,MEGAHIT,k141_532,2318,Listeria_monocytogenes,0
152,152,LHS,MEGAHIT,k141_454,68668,Pseudomonas_aeruginosa,0
153,153,LHS,MEGAHIT,k141_127,25477,Bacillus_subtilis,0
154,154,LHS,MEGAHIT,k141_533,10593,Bacillus_subtilis,0
155,155,LHS,MEGAHIT,k141_534,7991,Bacillus_subtilis,0
156,156,LHS,MEGAHIT,k141_335,26119,Bacillus_subtilis,0
157,157,LHS,MEGAHIT,k141_539,4269,Bacillus_subtilis,0
158,158,LHS,MEGAHIT,k141_337,4504,Bacillus_subtilis,0
159,159,LHS,MEGAHIT,k141_543,2682,Pseudomonas_aeruginosa,0
160,160,LHS,MEGAHIT,k141_340,1383,Pseudomonas_aeruginosa,0
161,161,LHS,MEGAHIT,k141_544,1663,Escherichia_coli,0
162,162,LHS,MEGAHIT,k141_341,10743,Bacillus_subtilis,0
163,163,LHS,MEGAHIT,k141_63,76574,Pseudomonas_aeruginosa,0
164,164,LHS,MEGAHIT,k141_71,15048,Bacillus_subtilis,0
165,165,LHS,MEGAHIT,k141_456,67958,Pseudomonas_aeruginosa,0
166,166,LHS,MEGAHIT,k141_72,3487,Pseudomonas_aeruginosa,0
167,167,LHS,MEGAHIT,k141_73,2373,Bacillus_subtilis,0
168,168,LHS,MEGAHIT,k141_664,204706,Pseudomonas_aeruginosa,0
169,169,LHS,MEGAHIT,k141_667,1990,Bacillus_subtilis,0
170,170,LHS,MEGAHIT,k141_546,57587,Bacillus_subtilis,0
171,171,LHS,MEGAHIT,k141_676,10066,Bacillus_subtilis,0
172,172,LHS,MEGAHIT,k141_343,68319,Bacillus_subtilis,0
173,173,LHS,MEGAHIT,k141_458,42339,Bacillus_subtilis,0
174,174,LHS,MEGAHIT,k141_347,8699,Bacillus_subtilis,0
175,175,LHS,MEGAHIT,k141_459,6036,Bacillus_subtilis,0
176,176,LHS,MEGAHIT,k141_270,173578,Pseudomonas_aeruginosa,0
177,177,LHS,MEGAHIT,k141_551,34898,Bacillus_subtilis,0
178,178,LHS,MEGAHIT,k141_271,4986,Bacillus_subtilis,0
179,179,LHS,MEGAHIT,k141_679,38986,Bacillus_subtilis,0
180,180,LHS,MEGAHIT,k141_350,22186,Pseudomonas_aeruginosa,0
181,181,LHS,MEGAHIT,k141_74,78321,Bacillus_subtilis,0
182,182,LHS,MEGAHIT,k141_554,36801,Bacillus_subtilis,0
183,183,LHS,MEGAHIT,k141_273,36913,Listeria_monocytogenes,0
184,184,LHS,MEGAHIT,k141_680,27003,Bacillus_subtilis,0
185,185,LHS,MEGAHIT,k141_558,24032,Bacillus_subtilis,0
186,186,LHS,MEGAHIT,k141_684,20921,Bacillus_subtilis,0
187,187,LHS,MEGAHIT,k141_75,36569,Bacillus_subtilis,0
188,188,LHS,MEGAHIT,k141_685,5781,Bacillus_subtilis,0
189,189,LHS,MEGAHIT,k141_129,195407,Listeria_monocytogenes,0
190,190,LHS,MEGAHIT,k141_462,84460,Bacillus_subtilis,0
191,191,LHS,MEGAHIT,k141_81,13339,Bacillus_subtilis,0
192,192,LHS,MEGAHIT,k141_138,2782,Bacillus_subtilis,0
193,193,LHS,MEGAHIT,k141_464,1764,Bacillus_subtilis,0
194,194,LHS,MEGAHIT,k141_274,50328,Bacillus_subtilis,0
