,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MINIA,Bacillus_subtilis,338,1209,30.824263008607677
1,MINIA,Bacillus_subtilis,572,94919,60.0
2,MINIA,Bacillus_subtilis,954,52285,60.0
3,MINIA,Bacillus_subtilis,1095,15639,60.0
4,MINIA,Bacillus_subtilis,1424,78694,60.0
5,MINIA,Bacillus_subtilis,1451,37011,60.0
6,MINIA,Bacillus_subtilis,1453,122458,60.0
7,MINIA,Bacillus_subtilis,1464,132084,60.0
8,MINIA,Bacillus_subtilis,1465,18983,60.0
9,MINIA,Bacillus_subtilis,1517,15299,60.0
10,MINIA,Bacillus_subtilis,1528,55052,60.0
11,MINIA,Bacillus_subtilis,1539,38392,60.0
12,MINIA,Bacillus_subtilis,1646,98666,60.0
13,MINIA,Bacillus_subtilis,1738,22993,60.0
14,MINIA,Bacillus_subtilis,1766,36788,60.0
15,MINIA,Bacillus_subtilis,1801,4734,60.0
16,MINIA,Bacillus_subtilis,1886,33728,60.0
17,MINIA,Bacillus_subtilis,2043,29060,60.0
18,MINIA,Bacillus_subtilis,2110,25644,60.0
19,MINIA,Bacillus_subtilis,2225,73760,60.0
20,MINIA,Bacillus_subtilis,2334,72434,60.0
21,MINIA,Bacillus_subtilis,2409,64960,60.0
22,MINIA,Bacillus_subtilis,2410,6576,60.0
23,MINIA,Bacillus_subtilis,2529,40051,60.0
24,MINIA,Bacillus_subtilis,2668,16891,60.0
25,MINIA,Bacillus_subtilis,2855,103892,60.0
26,MINIA,Bacillus_subtilis,3100,1698,60.0
27,MINIA,Bacillus_subtilis,3143,62539,60.0
28,MINIA,Bacillus_subtilis,3144,98729,60.0
29,MINIA,Bacillus_subtilis,3159,69010,60.0
30,MINIA,Bacillus_subtilis,3514,18111,60.0
31,MINIA,Bacillus_subtilis,3716,71660,60.0
32,MINIA,Bacillus_subtilis,3720,124837,60.0
33,MINIA,Bacillus_subtilis,3790,58393,60.0
34,MINIA,Bacillus_subtilis,4231,50907,60.0
35,MINIA,Bacillus_subtilis,4237,118623,60.0
36,MINIA,Bacillus_subtilis,4276,56828,60.0
37,MINIA,Bacillus_subtilis,4425,48017,60.0
38,MINIA,Bacillus_subtilis,4592,76544,60.0
39,MINIA,Bacillus_subtilis,4787,120971,60.0
40,MINIA,Bacillus_subtilis,4944,47537,60.0
41,MINIA,Bacillus_subtilis,4976,99700,60.0
42,MINIA,Bacillus_subtilis,5141,29149,60.0
43,MINIA,Bacillus_subtilis,5144,43056,60.0
44,MINIA,Bacillus_subtilis,5158,65138,60.0
45,MINIA,Bacillus_subtilis,5194,63199,60.0
46,MINIA,Bacillus_subtilis,5198,77357,60.0
47,MINIA,Bacillus_subtilis,5214,54122,60.0
48,MINIA,Bacillus_subtilis,5230,4486,60.0
49,MINIA,Bacillus_subtilis,5243,18038,60.0
50,MINIA,Bacillus_subtilis,5249,56211,60.0
51,MINIA,Bacillus_subtilis,5268,23078,60.0
52,MINIA,Bacillus_subtilis,5269,16631,60.0
53,MINIA,Bacillus_subtilis,5298,11395,60.0
54,MINIA,Bacillus_subtilis,5309,24109,60.0
55,MINIA,Bacillus_subtilis,5341,33550,60.0
56,MINIA,Bacillus_subtilis,5348,54268,60.0
57,MINIA,Bacillus_subtilis,5357,26545,60.0
58,MINIA,Bacillus_subtilis,5358,14286,60.0
59,MINIA,Bacillus_subtilis,5386,92807,60.0
60,MINIA,Bacillus_subtilis,5388,127934,60.0
61,MINIA,Bacillus_subtilis,5432,33507,60.0
62,MINIA,Bacillus_subtilis,5460,22483,60.0
63,MINIA,Bacillus_subtilis,5509,17522,60.0
64,MINIA,Bacillus_subtilis,5523,25257,60.0
65,MINIA,Bacillus_subtilis,5533,34895,60.0
66,MINIA,Bacillus_subtilis,5547,30985,60.0
67,MINIA,Bacillus_subtilis,5569,34627,60.0
68,MINIA,Bacillus_subtilis,5571,12323,60.0
69,MINIA,Bacillus_subtilis,5616,9118,60.0
70,MINIA,Bacillus_subtilis,5617,3030,60.0
71,MINIA,Bacillus_subtilis,5638,32916,60.0
72,MINIA,Bacillus_subtilis,5668,21268,60.0
73,MINIA,Bacillus_subtilis,5791,37222,60.0
74,MINIA,Bacillus_subtilis,5861,6201,60.0
75,MINIA,Bacillus_subtilis,5865,69826,60.0
76,MINIA,Bacillus_subtilis,5882,22680,60.0
77,MINIA,Bacillus_subtilis,5912,20149,60.0
78,MINIA,Bacillus_subtilis,5946,5690,60.0
79,MINIA,Bacillus_subtilis,5957,9931,60.0
80,MINIA,Bacillus_subtilis,6002,1655,60.0
81,MINIA,Bacillus_subtilis,6140,25638,60.0
82,MINIA,Bacillus_subtilis,6156,21060,60.0
83,MINIA,Bacillus_subtilis,6179,1041,60.0
84,MINIA,Bacillus_subtilis,6372,34762,60.0
85,MINIA,Bacillus_subtilis,6522,14089,60.0
86,MINIA,Bacillus_subtilis,6611,11552,60.0
87,MINIA,Bacillus_subtilis,6685,9364,60.0
88,MINIA,Bacillus_subtilis,6692,1421,60.0
89,MINIA,Bacillus_subtilis,6781,1012,60.0
90,MINIA,Bacillus_subtilis,7420,10879,60.0
91,MINIA,Bacillus_subtilis,7502,1871,60.0
92,MINIA,Bacillus_subtilis,7602,3028,60.0
93,MINIA,Bacillus_subtilis,7830,22960,60.0
94,MINIA,Bacillus_subtilis,7910,2649,60.0
95,MINIA,Bacillus_subtilis,8121,1694,60.0
96,MINIA,Bacillus_subtilis,8297,14173,60.0
97,MINIA,Bacillus_subtilis,8320,5861,60.0
98,MINIA,Bacillus_subtilis,8346,3374,60.0
99,MINIA,Bacillus_subtilis,8702,5449,60.0
100,MINIA,Bacillus_subtilis,8713,4233,60.0
101,MINIA,Bacillus_subtilis,9096,2281,60.0
102,MINIA,Bacillus_subtilis,9547,3629,60.0
103,MINIA,Bacillus_subtilis,9701,6767,60.0
104,MINIA,Bacillus_subtilis,9785,9821,60.0
105,MINIA,Bacillus_subtilis,9827,2963,60.0
106,MINIA,Bacillus_subtilis,9928,5588,60.0
107,MINIA,Bacillus_subtilis,10161,7540,60.0
108,MINIA,Bacillus_subtilis,10192,2068,60.0
109,MINIA,Bacillus_subtilis,10473,2019,60.0
110,MINIA,Bacillus_subtilis,10535,1409,60.0
111,MINIA,Bacillus_subtilis,11497,1288,60.0
112,MINIA,Bacillus_subtilis,11591,4316,60.0
113,MINIA,Bacillus_subtilis,11672,2212,60.0
114,MINIA,Bacillus_subtilis,13023,1034,60.0
115,MINIA,Bacillus_subtilis,15124,1140,60.0
116,MINIA,Bacillus_subtilis,16735,1188,60.0
117,MINIA,Enterococcus_faecalis,10,51427,60.0
118,MINIA,Enterococcus_faecalis,111,7149,60.0
119,MINIA,Enterococcus_faecalis,132,29167,60.0
120,MINIA,Enterococcus_faecalis,134,3638,60.0
121,MINIA,Enterococcus_faecalis,155,58693,60.0
122,MINIA,Enterococcus_faecalis,178,40626,60.0
123,MINIA,Enterococcus_faecalis,220,23353,60.0
124,MINIA,Enterococcus_faecalis,228,40506,60.0
