,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,MetaHipMer2,0,0
1,Bacillus_subtilis,MetaHipMer2,1,2
2,Bacillus_subtilis,MetaHipMer2,2,6
3,Bacillus_subtilis,MetaHipMer2,3,11
4,Bacillus_subtilis,MetaHipMer2,4,16
5,Bacillus_subtilis,MetaHipMer2,5,21
6,Bacillus_subtilis,MetaHipMer2,6,27
7,Bacillus_subtilis,MetaHipMer2,7,33
8,Bacillus_subtilis,MetaHipMer2,8,39
9,Bacillus_subtilis,MetaHipMer2,9,45
10,Bacillus_subtilis,MetaHipMer2,10,51
11,Bacillus_subtilis,MetaHipMer2,11,58
12,Bacillus_subtilis,MetaHipMer2,12,65
13,Bacillus_subtilis,MetaHipMer2,13,72
14,Bacillus_subtilis,MetaHipMer2,14,80
15,Bacillus_subtilis,MetaHipMer2,15,87
16,Bacillus_subtilis,MetaHipMer2,16,95
17,Bacillus_subtilis,MetaHipMer2,17,103
18,Bacillus_subtilis,MetaHipMer2,18,111
19,Bacillus_subtilis,MetaHipMer2,19,119
20,Bacillus_subtilis,MetaHipMer2,20,128
21,Bacillus_subtilis,MetaHipMer2,21,137
22,Bacillus_subtilis,MetaHipMer2,22,145
23,Bacillus_subtilis,MetaHipMer2,23,154
24,Bacillus_subtilis,MetaHipMer2,24,164
25,Bacillus_subtilis,MetaHipMer2,25,173
26,Bacillus_subtilis,MetaHipMer2,26,182
27,Bacillus_subtilis,MetaHipMer2,27,192
28,Bacillus_subtilis,MetaHipMer2,28,202
29,Bacillus_subtilis,MetaHipMer2,29,212
30,Bacillus_subtilis,MetaHipMer2,30,222
31,Bacillus_subtilis,MetaHipMer2,31,232
32,Bacillus_subtilis,MetaHipMer2,32,242
33,Bacillus_subtilis,MetaHipMer2,33,253
34,Bacillus_subtilis,MetaHipMer2,34,264
35,Bacillus_subtilis,MetaHipMer2,35,275
36,Bacillus_subtilis,MetaHipMer2,36,287
37,Bacillus_subtilis,MetaHipMer2,37,298
38,Bacillus_subtilis,MetaHipMer2,38,310
39,Bacillus_subtilis,MetaHipMer2,39,322
40,Bacillus_subtilis,MetaHipMer2,40,335
41,Bacillus_subtilis,MetaHipMer2,41,347
42,Bacillus_subtilis,MetaHipMer2,42,360
43,Bacillus_subtilis,MetaHipMer2,43,373
44,Bacillus_subtilis,MetaHipMer2,44,386
45,Bacillus_subtilis,MetaHipMer2,45,400
46,Bacillus_subtilis,MetaHipMer2,46,414
47,Bacillus_subtilis,MetaHipMer2,47,428
48,Bacillus_subtilis,MetaHipMer2,48,442
49,Bacillus_subtilis,MetaHipMer2,49,457
50,Bacillus_subtilis,MetaHipMer2,50,472
51,Bacillus_subtilis,MetaHipMer2,51,487
52,Bacillus_subtilis,MetaHipMer2,52,503
53,Bacillus_subtilis,MetaHipMer2,53,519
54,Bacillus_subtilis,MetaHipMer2,54,535
55,Bacillus_subtilis,MetaHipMer2,55,552
56,Bacillus_subtilis,MetaHipMer2,56,569
57,Bacillus_subtilis,MetaHipMer2,57,586
58,Bacillus_subtilis,MetaHipMer2,58,604
59,Bacillus_subtilis,MetaHipMer2,59,622
60,Bacillus_subtilis,MetaHipMer2,60,641
61,Bacillus_subtilis,MetaHipMer2,61,660
62,Bacillus_subtilis,MetaHipMer2,62,679
63,Bacillus_subtilis,MetaHipMer2,63,699
64,Bacillus_subtilis,MetaHipMer2,64,719
65,Bacillus_subtilis,MetaHipMer2,65,739
66,Bacillus_subtilis,MetaHipMer2,66,760
67,Bacillus_subtilis,MetaHipMer2,67,782
68,Bacillus_subtilis,MetaHipMer2,68,804
69,Bacillus_subtilis,MetaHipMer2,69,826
70,Bacillus_subtilis,MetaHipMer2,70,849
71,Bacillus_subtilis,MetaHipMer2,71,873
72,Bacillus_subtilis,MetaHipMer2,72,897
73,Bacillus_subtilis,MetaHipMer2,73,922
74,Bacillus_subtilis,MetaHipMer2,74,947
75,Bacillus_subtilis,MetaHipMer2,75,973
76,Bacillus_subtilis,MetaHipMer2,76,1000
77,Bacillus_subtilis,MetaHipMer2,77,1027
78,Bacillus_subtilis,MetaHipMer2,78,1056
79,Bacillus_subtilis,MetaHipMer2,79,1085
80,Bacillus_subtilis,MetaHipMer2,80,1115
81,Bacillus_subtilis,MetaHipMer2,81,1145
82,Bacillus_subtilis,MetaHipMer2,82,1177
83,Bacillus_subtilis,MetaHipMer2,83,1209
84,Bacillus_subtilis,MetaHipMer2,84,1243
85,Bacillus_subtilis,MetaHipMer2,85,1278
86,Bacillus_subtilis,MetaHipMer2,86,1314
87,Bacillus_subtilis,MetaHipMer2,87,1352
88,Bacillus_subtilis,MetaHipMer2,88,1391
89,Bacillus_subtilis,MetaHipMer2,89,
90,Bacillus_subtilis,MetaHipMer2,90,
91,Bacillus_subtilis,MetaHipMer2,91,
92,Bacillus_subtilis,MetaHipMer2,92,
93,Bacillus_subtilis,MetaHipMer2,93,
94,Bacillus_subtilis,MetaHipMer2,94,
95,Bacillus_subtilis,MetaHipMer2,95,
96,Bacillus_subtilis,MetaHipMer2,96,
97,Bacillus_subtilis,MetaHipMer2,97,
98,Bacillus_subtilis,MetaHipMer2,98,
99,Bacillus_subtilis,MetaHipMer2,99,
100,Bacillus_subtilis,MetaHipMer2,100,
101,Enterococcus_faecalis,MetaHipMer2,0,0
102,Enterococcus_faecalis,MetaHipMer2,1,
103,Enterococcus_faecalis,MetaHipMer2,2,
