,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ENN,ABySS,Bacillus_subtilis,4045677.0,209596,209824
1,ENN,ABySS,Bacillus_subtilis,4045677.0,233867,234144
2,ENN,ABySS,Bacillus_subtilis,4045677.0,372183,372441
3,ENN,ABySS,Bacillus_subtilis,4045677.0,802335,806782
4,ENN,ABySS,Bacillus_subtilis,4045677.0,1060058,1060401
5,ENN,ABySS,Bacillus_subtilis,4045677.0,1355633,1355966
6,ENN,ABySS,Bacillus_subtilis,4045677.0,1671853,1672312
7,ENN,ABySS,Bacillus_subtilis,4045677.0,1711108,1716142
8,ENN,ABySS,Bacillus_subtilis,4045677.0,1755176,1755626
9,ENN,ABySS,Bacillus_subtilis,4045677.0,2019733,2020012
10,ENN,ABySS,Bacillus_subtilis,4045677.0,2416191,2416382
11,ENN,ABySS,Bacillus_subtilis,4045677.0,2789232,2793369
12,ENN,ABySS,Bacillus_subtilis,4045677.0,2809844,2813981
13,ENN,ABySS,Bacillus_subtilis,4045677.0,2870091,2880061
14,ENN,ABySS,Bacillus_subtilis,4045677.0,2940652,2955321
15,ENN,ABySS,Bacillus_subtilis,4045677.0,3078746,3078906
16,ENN,ABySS,Bacillus_subtilis,4045677.0,3404813,3408773
17,ENN,ABySS,Bacillus_subtilis,4045677.0,3439300,3439644
18,ENN,ABySS,Bacillus_subtilis,4045677.0,3697610,3702475
19,ENN,ABySS,Enterococcus_faecalis,2845392.0,539111,539347
20,ENN,ABySS,Enterococcus_faecalis,2845392.0,1088053,1088157
21,ENN,ABySS,Enterococcus_faecalis,2845392.0,1090754,1091794
22,ENN,ABySS,Enterococcus_faecalis,2845392.0,1363065,1367293
23,ENN,ABySS,Enterococcus_faecalis,2845392.0,1439255,1439391
24,ENN,ABySS,Enterococcus_faecalis,2845392.0,1579618,1579633
25,ENN,ABySS,Enterococcus_faecalis,2845392.0,1716985,1718875
26,ENN,ABySS,Enterococcus_faecalis,2845392.0,1806145,1811583
27,ENN,ABySS,Enterococcus_faecalis,2845392.0,2425383,2429227
28,ENN,ABySS,Escherichia_coli_plasmid,110007.0,4388,5658
29,ENN,ABySS,Escherichia_coli_plasmid,110007.0,7871,65126
30,ENN,ABySS,Escherichia_coli_plasmid,110007.0,66763,73146
