Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9773358080736549,108
Enterococcus_faecalis,0.9742077717235446,157
Escherichia_coli_plasmid,0.9553937476706028,4
Escherichia_coli,0.8592858488859567,1113
Lactobacillus_fermentum,0.9192414134432144,226
Listeria_monocytogenes,0.9634777709232434,114
Pseudomonas_aeruginosa,0.986969861593886,81
Salmonella_enterica,0.8690617104358089,1039
Staphylococcus_aureus,0.9575739853905061,164
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
