,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ENN,MEGAHIT,k141_698,2590,Pseudomonas_aeruginosa,0
1,1,ENN,MEGAHIT,k141_235,1295,Enterococcus_faecalis,0
2,2,ENN,MEGAHIT,k141_4,2593,Salmonella_enterica,0
3,3,ENN,MEGAHIT,k141_700,2992,Staphylococcus_aureus_plasmid3,0
4,4,ENN,MEGAHIT,k141_5,1128,Salmonella_enterica,0
5,5,ENN,MEGAHIT,k141_16,1462,Listeria_monocytogenes,0
6,6,ENN,MEGAHIT,k141_17,2266,Bacillus_subtilis,0
7,7,ENN,MEGAHIT,k141_705,7434,Escherichia_coli,0
8,8,ENN,MEGAHIT,k141_582,14811,Escherichia_coli,0
9,9,ENN,MEGAHIT,k141_18,3877,Listeria_monocytogenes,0
10,10,ENN,MEGAHIT,k141_22,1513,Listeria_monocytogenes,0
11,11,ENN,MEGAHIT,k141_118,20734,Salmonella_enterica,0
12,12,ENN,MEGAHIT,k141_706,13528,Enterococcus_faecalis,0
13,13,ENN,MEGAHIT,k141_238,45786,Staphylococcus_aureus,0
14,14,ENN,MEGAHIT,k141_121,28500,Lactobacillus_fermentum,0
15,15,ENN,MEGAHIT,k141_708,38542,Bacillus_subtilis,0
16,16,ENN,MEGAHIT,k141_241,19541,Escherichia_coli,0
17,17,ENN,MEGAHIT,k141_586,55685,Salmonella_enterica,0
18,18,ENN,MEGAHIT,k141_243,4129,Escherichia_coli,0
19,19,ENN,MEGAHIT,k141_244,4700,Salmonella_enterica,0
20,20,ENN,MEGAHIT,k141_246,4567,Escherichia_coli,0
21,21,ENN,MEGAHIT,k141_466,93595,Escherichia_coli,0
22,22,ENN,MEGAHIT,k141_475,1383,Escherichia_coli,0
23,23,ENN,MEGAHIT,k141_477,5268,Salmonella_enterica,0
24,24,ENN,MEGAHIT,k141_478,1276,Pseudomonas_aeruginosa,0
25,25,ENN,MEGAHIT,k141_247,22142,Pseudomonas_aeruginosa,0
26,26,ENN,MEGAHIT,k141_250,2293,Escherichia_coli,0
27,27,ENN,MEGAHIT,k141_479,5069,Escherichia_coli,0
28,28,ENN,MEGAHIT,k141_483,1080,Salmonella_enterica,0
29,29,ENN,MEGAHIT,k141_251,11472,Lactobacillus_fermentum,0
30,30,ENN,MEGAHIT,k141_588,87126,Enterococcus_faecalis,0
31,31,ENN,MEGAHIT,k141_484,59029,Salmonella_enterica,0
32,32,ENN,MEGAHIT,k141_32,157942,Enterococcus_faecalis,0
33,33,ENN,MEGAHIT,k141_33,16852,Salmonella_enterica,0
34,34,ENN,MEGAHIT,k141_34,3160,Listeria_monocytogenes,0
35,35,ENN,MEGAHIT,k141_350,210993,Pseudomonas_aeruginosa,0
36,36,ENN,MEGAHIT,k141_485,38396,Salmonella_enterica,0
37,37,ENN,MEGAHIT,k141_127,170307,Escherichia_coli,0
38,38,ENN,MEGAHIT,k141_128,15987,Escherichia_coli,0
39,39,ENN,MEGAHIT,k141_37,49142,Staphylococcus_aureus,0
40,40,ENN,MEGAHIT,k141_709,196958,Pseudomonas_aeruginosa,0
41,41,ENN,MEGAHIT,k141_710,1008,Lactobacillus_fermentum,0
42,42,ENN,MEGAHIT,k141_711,1221,Escherichia_coli,0
43,43,ENN,MEGAHIT,k141_38,35463,Salmonella_enterica,0
44,44,ENN,MEGAHIT,k141_589,128600,Escherichia_coli,0
45,45,ENN,MEGAHIT,k141_42,10546,Salmonella_enterica,0
46,46,ENN,MEGAHIT,k141_129,52972,Lactobacillus_fermentum,0
47,47,ENN,MEGAHIT,k141_44,13075,Escherichia_coli,0
48,48,ENN,MEGAHIT,k141_136,21949,Escherichia_coli,0
49,49,ENN,MEGAHIT,k141_486,138750,Bacillus_subtilis,0
50,50,ENN,MEGAHIT,k141_815,343927,Bacillus_subtilis,0
51,51,ENN,MEGAHIT,k141_139,55046,Escherichia_coli,0
52,52,ENN,MEGAHIT,k141_45,80820,Escherichia_coli,0
53,53,ENN,MEGAHIT,k141_46,4080,Escherichia_coli,0
54,54,ENN,MEGAHIT,k141_820,42940,Escherichia_coli,0
55,55,ENN,MEGAHIT,k141_823,33978,Escherichia_coli,0
56,56,ENN,MEGAHIT,k141_49,42212,Escherichia_coli,0
57,57,ENN,MEGAHIT,k141_50,5192,Lactobacillus_fermentum,0
58,58,ENN,MEGAHIT,k141_51,4337,Salmonella_enterica,0
59,59,ENN,MEGAHIT,k141_142,68357,Staphylococcus_aureus,0
60,60,ENN,MEGAHIT,k141_252,337778,Pseudomonas_aeruginosa,0
61,61,ENN,MEGAHIT,k141_54,2431,Escherichia_coli,0
62,62,ENN,MEGAHIT,k141_56,1463,Salmonella_enterica,0
63,63,ENN,MEGAHIT,k141_57,1468,Pseudomonas_aeruginosa,0
64,64,ENN,MEGAHIT,k141_58,9578,Salmonella_enterica,0
65,65,ENN,MEGAHIT,k141_253,16285,Lactobacillus_fermentum,0
66,66,ENN,MEGAHIT,k141_254,2300,Lactobacillus_fermentum,0
67,67,ENN,MEGAHIT,k141_61,9611,Escherichia_coli,0
68,68,ENN,MEGAHIT,k141_255,5671,Lactobacillus_fermentum,0
69,69,ENN,MEGAHIT,k141_62,2215,Staphylococcus_aureus_plasmid2,0
70,70,ENN,MEGAHIT,k141_824,64321,Salmonella_enterica,0
71,71,ENN,MEGAHIT,k141_67,33303,Enterococcus_faecalis,0
72,72,ENN,MEGAHIT,k141_68,4788,Salmonella_enterica,0
73,73,ENN,MEGAHIT,k141_70,4645,Escherichia_coli,0
74,74,ENN,MEGAHIT,k141_488,178381,Salmonella_enterica,0
75,75,ENN,MEGAHIT,k141_489,3287,Escherichia_coli_plasmid,0
76,76,ENN,MEGAHIT,k141_491,2356,Pseudomonas_aeruginosa,0
77,77,ENN,MEGAHIT,k141_144,89627,Salmonella_enterica,0
78,78,ENN,MEGAHIT,k141_492,37032,Salmonella_enterica,0
