,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,209052,210232
1,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,233473,234549
2,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,371738,372888
3,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,642278,642833
4,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,645094,645738
5,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,801459,807546
6,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,1059655,1060831
7,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,1261475,1261693
8,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,1355207,1356374
9,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,1709662,1716617
10,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,1754883,1756059
11,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2019253,2020443
12,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2728924,2729085
13,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2788830,2793885
14,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2809368,2814498
15,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2869741,2875231
16,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2875470,2880484
17,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2940237,2941212
18,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2943748,2955744
19,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,2973903,2974204
20,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,3078154,3079338
21,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,3162834,3163732
22,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,3305545,3305673
23,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,3404262,3409445
24,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,3438897,3440075
25,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,3697097,3702368
26,ERR2935805,SPAdes,Bacillus_subtilis,4045677.0,3702756,3703410
27,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,669681,671385
28,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,672844,676901
29,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,678419,678969
30,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,680008,680846
31,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,681876,682847
32,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,684463,685279
33,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,686255,696171
34,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,697337,701400
35,ERR2935805,SPAdes,Enterococcus_faecalis,2845392.0,701650,701929
36,ERR2935805,SPAdes,Escherichia_coli,4765434.0,388386,928714
37,ERR2935805,SPAdes,Escherichia_coli,4765434.0,929695,1040759
38,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1041746,1309439
39,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1310328,1387004
40,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1388097,1485428
41,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1486418,1603749
42,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1604205,1794269
43,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1794810,1817956
44,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1819489,1899373
45,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1900532,1972426
46,ERR2935805,SPAdes,Escherichia_coli,4765434.0,1973630,2587611
47,ERR2935805,SPAdes,Escherichia_coli,4765434.0,2588003,2637736
48,ERR2935805,SPAdes,Escherichia_coli,4765434.0,2639300,2869617
49,ERR2935805,SPAdes,Escherichia_coli,4765434.0,2870259,2888881
50,ERR2935805,SPAdes,Escherichia_coli,4765434.0,2890024,2923044
51,ERR2935805,SPAdes,Escherichia_coli,4765434.0,2924164,3011569
52,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3012571,3110434
53,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3111446,3206570
54,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3207807,3246953
55,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3249108,3446499
56,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3447568,3461164
57,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3461492,3731120
58,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3732369,3840478
59,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3841778,3976865
60,ERR2935805,SPAdes,Escherichia_coli,4765434.0,3977866,4188592
61,ERR2935805,SPAdes,Escherichia_coli,4765434.0,4189591,4443313
62,ERR2935805,SPAdes,Escherichia_coli,4765434.0,4444429,4677695
63,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,1326,3277
64,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,4393,7154
65,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,8326,8377
66,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,9029,9269
67,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,10442,11033
68,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,14062,14809
69,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,17237,18054
70,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,19777,20463
71,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,22544,23987
72,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,25075,27741
73,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,30064,30560
74,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,33011,34332
75,ERR2935805,SPAdes,Listeria_monocytogenes,2992342.0,37790,38334
