,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Bacillus_subtilis,4290379,1086,60
1,BCALM2,Bacillus_subtilis,4306721,1724,60
2,BCALM2,Bacillus_subtilis,4311475,1056,60
3,BCALM2,Bacillus_subtilis,4316909,1084,60
4,BCALM2,Bacillus_subtilis,4327139,1153,60
5,BCALM2,Bacillus_subtilis,4327247,1387,60
6,BCALM2,Bacillus_subtilis,4339065,2025,60
7,BCALM2,Bacillus_subtilis,4342129,1075,60
8,BCALM2,Bacillus_subtilis,4364786,1283,60
9,BCALM2,Bacillus_subtilis,4369300,1013,60
10,BCALM2,Bacillus_subtilis,4376796,1090,60
11,BCALM2,Bacillus_subtilis,4377616,1896,60
12,BCALM2,Bacillus_subtilis,4379116,1937,60
13,BCALM2,Bacillus_subtilis,4381067,1187,60
14,BCALM2,Bacillus_subtilis,4392943,1276,60
15,BCALM2,Bacillus_subtilis,4395387,1009,60
16,BCALM2,Bacillus_subtilis,4403067,1095,60
17,BCALM2,Bacillus_subtilis,4403944,1178,60
18,BCALM2,Bacillus_subtilis,4431400,1376,60
19,BCALM2,Bacillus_subtilis,4435573,1093,25.61498907230043
20,BCALM2,Bacillus_subtilis,4442345,1153,60
21,BCALM2,Bacillus_subtilis,4445691,1092,60
22,BCALM2,Bacillus_subtilis,4456756,1042,60
23,BCALM2,Bacillus_subtilis,4456767,1047,60
24,BCALM2,Bacillus_subtilis,4460715,1274,60
25,BCALM2,Bacillus_subtilis,4466569,1126,60
26,BCALM2,Bacillus_subtilis,4476039,1118,60
27,BCALM2,Bacillus_subtilis,4482259,1334,60
28,BCALM2,Bacillus_subtilis,4487104,1055,60
29,BCALM2,Bacillus_subtilis,4496861,1047,60
30,BCALM2,Bacillus_subtilis,4506117,2161,60
31,BCALM2,Bacillus_subtilis,4513641,1075,60
32,BCALM2,Bacillus_subtilis,4525267,1047,60
33,BCALM2,Bacillus_subtilis,4529768,1251,60
34,BCALM2,Bacillus_subtilis,4538732,1148,60
35,BCALM2,Bacillus_subtilis,4548348,1162,60
36,BCALM2,Bacillus_subtilis,4549435,1255,60
37,BCALM2,Bacillus_subtilis,4560692,1377,60
38,BCALM2,Bacillus_subtilis,4571246,1394,60
39,BCALM2,Bacillus_subtilis,4601882,2165,60
40,BCALM2,Bacillus_subtilis,4604350,1151,60
41,BCALM2,Bacillus_subtilis,4604378,1023,60
42,BCALM2,Bacillus_subtilis,4608730,1065,60
43,BCALM2,Bacillus_subtilis,4609850,1254,60
44,BCALM2,Bacillus_subtilis,4609996,1239,60
45,BCALM2,Bacillus_subtilis,4611437,1642,60
46,BCALM2,Bacillus_subtilis,4634445,1866,60
47,BCALM2,Bacillus_subtilis,4641825,2553,60
48,BCALM2,Bacillus_subtilis,4662404,1140,60
49,BCALM2,Bacillus_subtilis,4681622,1064,60
50,BCALM2,Bacillus_subtilis,4684651,1217,60
51,BCALM2,Bacillus_subtilis,4686446,1089,60
52,BCALM2,Bacillus_subtilis,4695160,1935,60
53,BCALM2,Bacillus_subtilis,4695689,1178,60
54,BCALM2,Bacillus_subtilis,4702776,1108,60
55,BCALM2,Bacillus_subtilis,4715273,1244,60
56,BCALM2,Bacillus_subtilis,4715430,1000,60
57,BCALM2,Bacillus_subtilis,4717632,1292,60
58,BCALM2,Bacillus_subtilis,4721439,1011,60
59,BCALM2,Bacillus_subtilis,4735233,1143,60
60,BCALM2,Bacillus_subtilis,4754772,1394,60
61,BCALM2,Bacillus_subtilis,4772022,1091,60
62,BCALM2,Bacillus_subtilis,4773246,1454,60
63,BCALM2,Bacillus_subtilis,4775059,1177,60
64,BCALM2,Bacillus_subtilis,4778457,1093,60
65,BCALM2,Bacillus_subtilis,4782546,1609,60
66,BCALM2,Bacillus_subtilis,4783527,1630,60
67,BCALM2,Bacillus_subtilis,4785204,1019,60
68,BCALM2,Bacillus_subtilis,4788554,1105,60
69,BCALM2,Bacillus_subtilis,4818761,1055,60
70,BCALM2,Bacillus_subtilis,4821457,1218,60
71,BCALM2,Bacillus_subtilis,4822141,1027,60
72,BCALM2,Bacillus_subtilis,4822587,1193,60
73,BCALM2,Bacillus_subtilis,4836193,1483,60
74,BCALM2,Bacillus_subtilis,4837099,2294,60
75,BCALM2,Bacillus_subtilis,4847399,1865,60
76,BCALM2,Bacillus_subtilis,4848839,1133,60
77,BCALM2,Bacillus_subtilis,4864831,1520,60
78,BCALM2,Bacillus_subtilis,4869466,1327,60
79,BCALM2,Bacillus_subtilis,4873554,1330,60
80,BCALM2,Bacillus_subtilis,4875216,1577,60
81,BCALM2,Bacillus_subtilis,4885473,1225,60
82,BCALM2,Bacillus_subtilis,4901559,1053,60
83,BCALM2,Bacillus_subtilis,4912377,1431,60
84,BCALM2,Bacillus_subtilis,4937837,1117,60
85,BCALM2,Bacillus_subtilis,4938050,1004,60
86,BCALM2,Bacillus_subtilis,4941378,1281,60
87,BCALM2,Bacillus_subtilis,4944927,1086,60
88,BCALM2,Bacillus_subtilis,4949716,1029,60
89,BCALM2,Bacillus_subtilis,4954603,1071,60
