,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_718,2422,60
1,MEGAHIT,Bacillus_subtilis,k141_204,9640,60
2,MEGAHIT,Bacillus_subtilis,k141_9,5313,60
3,MEGAHIT,Bacillus_subtilis,k141_11,3633,60
4,MEGAHIT,Bacillus_subtilis,k141_618,9480,60
5,MEGAHIT,Bacillus_subtilis,k141_720,11411,37.56293709705429
6,MEGAHIT,Bacillus_subtilis,k141_306,20870,40.184924534017114
7,MEGAHIT,Bacillus_subtilis,k141_308,2715,60
8,MEGAHIT,Bacillus_subtilis,k141_722,7850,60
9,MEGAHIT,Bacillus_subtilis,k141_12,16362,60
10,MEGAHIT,Bacillus_subtilis,k141_408,41752,46.20677283847937
11,MEGAHIT,Bacillus_subtilis,k141_723,14490,60
12,MEGAHIT,Bacillus_subtilis,k141_210,2663,34.253711664389314
13,MEGAHIT,Bacillus_subtilis,k141_17,26511,44.23426109712501
14,MEGAHIT,Bacillus_subtilis,k141_213,8153,60
15,MEGAHIT,Bacillus_subtilis,k141_726,18981,60
16,MEGAHIT,Bacillus_subtilis,k141_409,25751,44.107940988548926
17,MEGAHIT,Bacillus_subtilis,k141_415,4673,60
18,MEGAHIT,Bacillus_subtilis,k141_215,15050,60
19,MEGAHIT,Bacillus_subtilis,k141_221,2157,60
20,MEGAHIT,Bacillus_subtilis,k141_729,20599,43.138461376013396
21,MEGAHIT,Bacillus_subtilis,k141_22,29069,60
22,MEGAHIT,Bacillus_subtilis,k141_24,1858,60
23,MEGAHIT,Bacillus_subtilis,k141_416,26209,41.174204551656075
24,MEGAHIT,Bacillus_subtilis,k141_418,9597,60
25,MEGAHIT,Bacillus_subtilis,k141_226,29488,60
26,MEGAHIT,Bacillus_subtilis,k141_230,5868,60
27,MEGAHIT,Bacillus_subtilis,k141_28,30541,41.838532573368845
28,MEGAHIT,Bacillus_subtilis,k141_29,4027,36.04981629607461
29,MEGAHIT,Bacillus_subtilis,k141_419,24051,39.040118835975655
30,MEGAHIT,Bacillus_subtilis,k141_237,14241,60
31,MEGAHIT,Bacillus_subtilis,k141_103,37055,37.23748777588536
32,MEGAHIT,Bacillus_subtilis,k141_104,5069,60
33,MEGAHIT,Bacillus_subtilis,k141_108,2446,60
34,MEGAHIT,Bacillus_subtilis,k141_110,10281,40.12035359149631
