,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Bacillus_subtilis,3367944,1049,60
1,BCALM2,Bacillus_subtilis,3763057,1021,60
2,BCALM2,Bacillus_subtilis,3841445,1018,60
3,BCALM2,Bacillus_subtilis,4170939,1082,60
4,BCALM2,Bacillus_subtilis,4222352,1029,60
5,BCALM2,Bacillus_subtilis,4578239,1046,60
6,BCALM2,Bacillus_subtilis,4807296,1149,60
7,BCALM2,Bacillus_subtilis,6306543,1122,60
8,BCALM2,Bacillus_subtilis,6600330,1062,60
9,BCALM2,Bacillus_subtilis,7270538,1212,60
10,BCALM2,Bacillus_subtilis,7442045,1177,60
