,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,GATBMiniaPipeline,Bacillus_subtilis,0,1561,60
1,GATBMiniaPipeline,Bacillus_subtilis,24,1422,60
2,GATBMiniaPipeline,Bacillus_subtilis,132,17015,60
3,GATBMiniaPipeline,Bacillus_subtilis,180,137485,60
4,GATBMiniaPipeline,Bacillus_subtilis,188,23332,60
5,GATBMiniaPipeline,Bacillus_subtilis,226,59828,60
6,GATBMiniaPipeline,Bacillus_subtilis,244,252655,60
7,GATBMiniaPipeline,Bacillus_subtilis,249,83903,60
8,GATBMiniaPipeline,Bacillus_subtilis,255,10275,60
9,GATBMiniaPipeline,Bacillus_subtilis,265,257268,60
10,GATBMiniaPipeline,Bacillus_subtilis,272,170747,60
11,GATBMiniaPipeline,Bacillus_subtilis,402,37896,60
12,GATBMiniaPipeline,Bacillus_subtilis,439,294467,60
13,GATBMiniaPipeline,Bacillus_subtilis,448,2640,60
14,GATBMiniaPipeline,Bacillus_subtilis,496,29782,60
15,GATBMiniaPipeline,Bacillus_subtilis,526,15645,60
16,GATBMiniaPipeline,Bacillus_subtilis,532,122501,60
17,GATBMiniaPipeline,Bacillus_subtilis,567,55298,60
18,GATBMiniaPipeline,Bacillus_subtilis,627,381556,60
19,GATBMiniaPipeline,Bacillus_subtilis,713,269695,60
20,GATBMiniaPipeline,Bacillus_subtilis,780,38460,60
21,GATBMiniaPipeline,Bacillus_subtilis,851,315136,60
22,GATBMiniaPipeline,Bacillus_subtilis,864,156318,60
23,GATBMiniaPipeline,Bacillus_subtilis,976,212971,60
24,GATBMiniaPipeline,Bacillus_subtilis,978,263366,60
25,GATBMiniaPipeline,Bacillus_subtilis,982,395800,60
26,GATBMiniaPipeline,Bacillus_subtilis,984,372562,60
27,GATBMiniaPipeline,Enterococcus_faecalis,78,68760,60
28,GATBMiniaPipeline,Enterococcus_faecalis,92,19778,60
29,GATBMiniaPipeline,Enterococcus_faecalis,94,1514,60
30,GATBMiniaPipeline,Enterococcus_faecalis,98,84244,60
