,Reference,Assembler,Lx,nContigs
0,Bacillus_subtilis,MetaHipMer2,0,0
1,Bacillus_subtilis,MetaHipMer2,1,0
2,Bacillus_subtilis,MetaHipMer2,2,0
3,Bacillus_subtilis,MetaHipMer2,3,0
4,Bacillus_subtilis,MetaHipMer2,4,0
5,Bacillus_subtilis,MetaHipMer2,5,0
6,Bacillus_subtilis,MetaHipMer2,6,0
7,Bacillus_subtilis,MetaHipMer2,7,0
8,Bacillus_subtilis,MetaHipMer2,8,0
9,Bacillus_subtilis,MetaHipMer2,9,0
10,Bacillus_subtilis,MetaHipMer2,10,1
11,Bacillus_subtilis,MetaHipMer2,11,1
12,Bacillus_subtilis,MetaHipMer2,12,1
13,Bacillus_subtilis,MetaHipMer2,13,1
14,Bacillus_subtilis,MetaHipMer2,14,1
15,Bacillus_subtilis,MetaHipMer2,15,1
16,Bacillus_subtilis,MetaHipMer2,16,1
17,Bacillus_subtilis,MetaHipMer2,17,1
18,Bacillus_subtilis,MetaHipMer2,18,1
19,Bacillus_subtilis,MetaHipMer2,19,2
20,Bacillus_subtilis,MetaHipMer2,20,2
21,Bacillus_subtilis,MetaHipMer2,21,2
22,Bacillus_subtilis,MetaHipMer2,22,2
23,Bacillus_subtilis,MetaHipMer2,23,2
24,Bacillus_subtilis,MetaHipMer2,24,2
25,Bacillus_subtilis,MetaHipMer2,25,2
26,Bacillus_subtilis,MetaHipMer2,26,2
27,Bacillus_subtilis,MetaHipMer2,27,2
28,Bacillus_subtilis,MetaHipMer2,28,3
29,Bacillus_subtilis,MetaHipMer2,29,3
30,Bacillus_subtilis,MetaHipMer2,30,3
31,Bacillus_subtilis,MetaHipMer2,31,3
32,Bacillus_subtilis,MetaHipMer2,32,3
33,Bacillus_subtilis,MetaHipMer2,33,3
34,Bacillus_subtilis,MetaHipMer2,34,3
35,Bacillus_subtilis,MetaHipMer2,35,4
36,Bacillus_subtilis,MetaHipMer2,36,4
37,Bacillus_subtilis,MetaHipMer2,37,4
38,Bacillus_subtilis,MetaHipMer2,38,4
39,Bacillus_subtilis,MetaHipMer2,39,4
40,Bacillus_subtilis,MetaHipMer2,40,4
41,Bacillus_subtilis,MetaHipMer2,41,4
42,Bacillus_subtilis,MetaHipMer2,42,5
43,Bacillus_subtilis,MetaHipMer2,43,5
44,Bacillus_subtilis,MetaHipMer2,44,5
45,Bacillus_subtilis,MetaHipMer2,45,5
46,Bacillus_subtilis,MetaHipMer2,46,5
47,Bacillus_subtilis,MetaHipMer2,47,5
