,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2935805,MINIA,0,77102,Pseudomonas_aeruginosa,0
1,1,ERR2935805,MINIA,1,16727,Pseudomonas_aeruginosa,0
2,2,ERR2935805,MINIA,2,9318,Pseudomonas_aeruginosa,0
3,3,ERR2935805,MINIA,4,2541,Pseudomonas_aeruginosa,0
4,4,ERR2935805,MINIA,6,2397,Pseudomonas_aeruginosa,0
5,5,ERR2935805,MINIA,7,18904,Pseudomonas_aeruginosa,0
6,6,ERR2935805,MINIA,8,13108,Pseudomonas_aeruginosa,0
7,7,ERR2935805,MINIA,10,17464,Pseudomonas_aeruginosa,0
8,8,ERR2935805,MINIA,11,32703,Pseudomonas_aeruginosa,0
9,9,ERR2935805,MINIA,12,22074,Pseudomonas_aeruginosa,0
10,10,ERR2935805,MINIA,13,17832,Pseudomonas_aeruginosa,0
11,11,ERR2935805,MINIA,15,30467,Pseudomonas_aeruginosa,0
12,12,ERR2935805,MINIA,16,30644,Pseudomonas_aeruginosa,0
13,13,ERR2935805,MINIA,17,14617,Pseudomonas_aeruginosa,0
14,14,ERR2935805,MINIA,18,21270,Pseudomonas_aeruginosa,0
15,15,ERR2935805,MINIA,19,102434,Pseudomonas_aeruginosa,0
16,16,ERR2935805,MINIA,20,45463,Bacillus_subtilis,0
17,17,ERR2935805,MINIA,21,22511,Pseudomonas_aeruginosa,0
18,18,ERR2935805,MINIA,22,44582,Pseudomonas_aeruginosa,0
19,19,ERR2935805,MINIA,23,49846,Pseudomonas_aeruginosa,0
20,20,ERR2935805,MINIA,24,32778,Pseudomonas_aeruginosa,0
21,21,ERR2935805,MINIA,25,10210,Pseudomonas_aeruginosa,0
22,22,ERR2935805,MINIA,26,11675,Pseudomonas_aeruginosa,0
23,23,ERR2935805,MINIA,27,51412,Pseudomonas_aeruginosa,0
24,24,ERR2935805,MINIA,28,2147,Unmapped,0
25,25,ERR2935805,MINIA,29,21863,Pseudomonas_aeruginosa,0
26,26,ERR2935805,MINIA,30,9128,Pseudomonas_aeruginosa,0
27,27,ERR2935805,MINIA,31,18394,Pseudomonas_aeruginosa,0
28,28,ERR2935805,MINIA,32,31896,Pseudomonas_aeruginosa,0
29,29,ERR2935805,MINIA,34,30841,Pseudomonas_aeruginosa,0
30,30,ERR2935805,MINIA,35,21158,Pseudomonas_aeruginosa,0
31,31,ERR2935805,MINIA,37,1752,Pseudomonas_aeruginosa,0
32,32,ERR2935805,MINIA,38,35681,Pseudomonas_aeruginosa,0
33,33,ERR2935805,MINIA,39,163543,Pseudomonas_aeruginosa,0
34,34,ERR2935805,MINIA,41,6990,Pseudomonas_aeruginosa,0
35,35,ERR2935805,MINIA,42,9161,Pseudomonas_aeruginosa,0
36,36,ERR2935805,MINIA,43,1415,Bacillus_subtilis,0
37,37,ERR2935805,MINIA,45,10655,Pseudomonas_aeruginosa,0
38,38,ERR2935805,MINIA,46,48866,Pseudomonas_aeruginosa,0
39,39,ERR2935805,MINIA,47,3153,Pseudomonas_aeruginosa,0
40,40,ERR2935805,MINIA,48,44983,Pseudomonas_aeruginosa,0
41,41,ERR2935805,MINIA,49,40137,Pseudomonas_aeruginosa,0
42,42,ERR2935805,MINIA,50,1655,Bacillus_subtilis,0
43,43,ERR2935805,MINIA,51,53349,Pseudomonas_aeruginosa,0
44,44,ERR2935805,MINIA,52,39923,Pseudomonas_aeruginosa,0
45,45,ERR2935805,MINIA,53,12797,Pseudomonas_aeruginosa,0
46,46,ERR2935805,MINIA,54,35152,Pseudomonas_aeruginosa,0
47,47,ERR2935805,MINIA,55,8064,Pseudomonas_aeruginosa,0
48,48,ERR2935805,MINIA,56,53969,Pseudomonas_aeruginosa,0
49,49,ERR2935805,MINIA,57,12809,Pseudomonas_aeruginosa,0
50,50,ERR2935805,MINIA,58,4814,Pseudomonas_aeruginosa,0
51,51,ERR2935805,MINIA,59,52388,Pseudomonas_aeruginosa,0
52,52,ERR2935805,MINIA,64,9154,Pseudomonas_aeruginosa,0
53,53,ERR2935805,MINIA,65,7813,Pseudomonas_aeruginosa,0
54,54,ERR2935805,MINIA,66,31062,Pseudomonas_aeruginosa,0
55,55,ERR2935805,MINIA,67,38513,Pseudomonas_aeruginosa,0
56,56,ERR2935805,MINIA,68,18288,Pseudomonas_aeruginosa,0
57,57,ERR2935805,MINIA,69,30689,Pseudomonas_aeruginosa,0
58,58,ERR2935805,MINIA,70,20001,Pseudomonas_aeruginosa,0
59,59,ERR2935805,MINIA,71,80911,Pseudomonas_aeruginosa,0
60,60,ERR2935805,MINIA,73,73792,Bacillus_subtilis,0
61,61,ERR2935805,MINIA,74,28366,Pseudomonas_aeruginosa,0
62,62,ERR2935805,MINIA,75,14457,Pseudomonas_aeruginosa,0
63,63,ERR2935805,MINIA,76,21423,Pseudomonas_aeruginosa,0
64,64,ERR2935805,MINIA,77,14267,Pseudomonas_aeruginosa,0
65,65,ERR2935805,MINIA,78,9353,Pseudomonas_aeruginosa,0
66,66,ERR2935805,MINIA,79,12291,Pseudomonas_aeruginosa,0
67,67,ERR2935805,MINIA,80,20614,Pseudomonas_aeruginosa,0
68,68,ERR2935805,MINIA,81,8367,Pseudomonas_aeruginosa,0
69,69,ERR2935805,MINIA,82,18007,Pseudomonas_aeruginosa,0
70,70,ERR2935805,MINIA,83,39294,Pseudomonas_aeruginosa,0
71,71,ERR2935805,MINIA,85,95664,Pseudomonas_aeruginosa,0
72,72,ERR2935805,MINIA,86,20700,Pseudomonas_aeruginosa,0
73,73,ERR2935805,MINIA,87,10047,Pseudomonas_aeruginosa,0
74,74,ERR2935805,MINIA,88,2679,Pseudomonas_aeruginosa,0
75,75,ERR2935805,MINIA,89,10458,Pseudomonas_aeruginosa,0
76,76,ERR2935805,MINIA,90,7876,Pseudomonas_aeruginosa,0
77,77,ERR2935805,MINIA,91,16192,Pseudomonas_aeruginosa,0
