,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LHS,MINIA,0,18616,Pseudomonas_aeruginosa,0
1,1,LHS,MINIA,1,10786,Pseudomonas_aeruginosa,0
2,2,LHS,MINIA,2,16977,Pseudomonas_aeruginosa,0
3,3,LHS,MINIA,3,28437,Pseudomonas_aeruginosa,0
4,4,LHS,MINIA,4,18866,Pseudomonas_aeruginosa,0
5,5,LHS,MINIA,5,77102,Pseudomonas_aeruginosa,0
6,6,LHS,MINIA,6,15994,Pseudomonas_aeruginosa,0
7,7,LHS,MINIA,7,19292,Pseudomonas_aeruginosa,0
8,8,LHS,MINIA,8,57384,Pseudomonas_aeruginosa,0
9,9,LHS,MINIA,9,12407,Pseudomonas_aeruginosa,0
10,10,LHS,MINIA,10,43826,Pseudomonas_aeruginosa,0
11,11,LHS,MINIA,11,13519,Pseudomonas_aeruginosa,0
12,12,LHS,MINIA,12,21972,Pseudomonas_aeruginosa,0
13,13,LHS,MINIA,13,19973,Pseudomonas_aeruginosa,0
14,14,LHS,MINIA,14,4253,Pseudomonas_aeruginosa,0
15,15,LHS,MINIA,15,8342,Pseudomonas_aeruginosa,0
16,16,LHS,MINIA,16,1459,Pseudomonas_aeruginosa,0
17,17,LHS,MINIA,17,27289,Pseudomonas_aeruginosa,0
18,18,LHS,MINIA,18,8842,Pseudomonas_aeruginosa,0
19,19,LHS,MINIA,19,43688,Pseudomonas_aeruginosa,0
20,20,LHS,MINIA,20,23812,Pseudomonas_aeruginosa,0
21,21,LHS,MINIA,21,20001,Pseudomonas_aeruginosa,0
22,22,LHS,MINIA,22,34260,Pseudomonas_aeruginosa,0
23,23,LHS,MINIA,23,1064,Pseudomonas_aeruginosa,0
24,24,LHS,MINIA,24,8583,Pseudomonas_aeruginosa,0
25,25,LHS,MINIA,25,15531,Pseudomonas_aeruginosa,0
26,26,LHS,MINIA,26,44983,Pseudomonas_aeruginosa,0
27,27,LHS,MINIA,27,71013,Pseudomonas_aeruginosa,0
28,28,LHS,MINIA,28,39923,Pseudomonas_aeruginosa,0
29,29,LHS,MINIA,29,6905,Pseudomonas_aeruginosa,0
30,30,LHS,MINIA,30,31062,Pseudomonas_aeruginosa,0
31,31,LHS,MINIA,31,34131,Pseudomonas_aeruginosa,0
32,32,LHS,MINIA,32,38513,Pseudomonas_aeruginosa,0
33,33,LHS,MINIA,33,24270,Pseudomonas_aeruginosa,0
34,34,LHS,MINIA,34,35092,Pseudomonas_aeruginosa,0
35,35,LHS,MINIA,36,89946,Pseudomonas_aeruginosa,0
