,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_1,260452,44.15727696710065
1,MEGAHIT,Bacillus_subtilis,k141_245,38680,60.0
2,MEGAHIT,Bacillus_subtilis,k141_9,10437,60.0
3,MEGAHIT,Bacillus_subtilis,k141_10,137848,40.98007784265788
4,MEGAHIT,Bacillus_subtilis,k141_46,84123,60.0
5,MEGAHIT,Bacillus_subtilis,k141_256,264310,43.08170242389898
6,MEGAHIT,Bacillus_subtilis,k141_511,229922,60.0
7,MEGAHIT,Bacillus_subtilis,k141_71,29942,44.762808060257726
8,MEGAHIT,Bacillus_subtilis,k141_72,59914,60.0
9,MEGAHIT,Bacillus_subtilis,k141_732,314963,60.0
10,MEGAHIT,Bacillus_subtilis,k141_734,38542,60.0
11,MEGAHIT,Bacillus_subtilis,k141_76,123094,31.817518656497388
12,MEGAHIT,Bacillus_subtilis,k141_742,395860,60.0
13,MEGAHIT,Bacillus_subtilis,k141_113,2894,31.604685311190643
14,MEGAHIT,Bacillus_subtilis,k141_285,294551,60.0
15,MEGAHIT,Bacillus_subtilis,k141_311,269740,60.0
16,MEGAHIT,Bacillus_subtilis,k141_323,55380,60.0
17,MEGAHIT,Bacillus_subtilis,k141_338,15759,60.0
18,MEGAHIT,Bacillus_subtilis,k141_852,156881,28.733510542397983
19,MEGAHIT,Bacillus_subtilis,k141_859,552931,57.42670939287511
20,MEGAHIT,Bacillus_subtilis,k141_411,372896,60.0
21,MEGAHIT,Bacillus_subtilis,k141_427,1643,60.0
22,MEGAHIT,Bacillus_subtilis,k141_435,23414,60.0
23,MEGAHIT,Bacillus_subtilis,k141_874,252950,60.0
24,MEGAHIT,Enterococcus_faecalis,k141_470,1295,60.0
25,MEGAHIT,Enterococcus_faecalis,k141_8,157942,51.98497633126251
26,MEGAHIT,Enterococcus_faecalis,k141_45,87126,49.40147775807517
27,MEGAHIT,Enterococcus_faecalis,k141_264,33302,60.0
28,MEGAHIT,Enterococcus_faecalis,k141_66,238546,60.0
29,MEGAHIT,Enterococcus_faecalis,k141_266,19744,60.0
30,MEGAHIT,Enterococcus_faecalis,k141_268,46942,60.0
31,MEGAHIT,Enterococcus_faecalis,k141_524,63291,60.0
32,MEGAHIT,Enterococcus_faecalis,k141_83,179870,60.0
33,MEGAHIT,Enterococcus_faecalis,k141_91,92108,60.0
34,MEGAHIT,Enterococcus_faecalis,k141_295,1514,60.0
35,MEGAHIT,Enterococcus_faecalis,k141_578,13528,60.0
36,MEGAHIT,Enterococcus_faecalis,k141_116,235316,60.0
37,MEGAHIT,Enterococcus_faecalis,k141_768,1198,27.77426822389313
38,MEGAHIT,Enterococcus_faecalis,k141_770,25095,60.0
39,MEGAHIT,Enterococcus_faecalis,k141_603,264753,26.166609159516767
40,MEGAHIT,Enterococcus_faecalis,k141_784,267958,60.0
41,MEGAHIT,Enterococcus_faecalis,k141_798,596032,60.0
42,MEGAHIT,Enterococcus_faecalis,k141_801,12642,21.72396860277449
43,MEGAHIT,Enterococcus_faecalis,k141_807,29389,60.0
44,MEGAHIT,Enterococcus_faecalis,k141_812,1208,60.0
45,MEGAHIT,Enterococcus_faecalis,k141_814,3515,60.0
46,MEGAHIT,Enterococcus_faecalis,k141_826,105250,60.0
47,MEGAHIT,Enterococcus_faecalis,k141_171,30757,60.0
48,MEGAHIT,Enterococcus_faecalis,k141_178,1841,60.0
49,MEGAHIT,Enterococcus_faecalis,k141_179,1650,60.0
50,MEGAHIT,Enterococcus_faecalis,k141_386,128131,46.30532960896518
51,MEGAHIT,Enterococcus_faecalis,k141_865,23155,60.0
52,MEGAHIT,Enterococcus_faecalis,k141_911,123702,60.0
53,MEGAHIT,Escherichia_coli_plasmid,k141_443,28353,60.0
54,MEGAHIT,Escherichia_coli_plasmid,k141_453,53216,60.0
55,MEGAHIT,Escherichia_coli_plasmid,k141_891,26610,60.0
56,MEGAHIT,Escherichia_coli,k141_461,4533,60.0
57,MEGAHIT,Escherichia_coli,k141_689,23000,60.0
58,MEGAHIT,Escherichia_coli,k141_237,81004,60.0
59,MEGAHIT,Escherichia_coli,k141_471,1095,60.0
60,MEGAHIT,Escherichia_coli,k141_472,8147,60.0
61,MEGAHIT,Escherichia_coli,k141_473,44710,60.0
62,MEGAHIT,Escherichia_coli,k141_474,4554,60.0
63,MEGAHIT,Escherichia_coli,k141_12,4080,60.0
64,MEGAHIT,Escherichia_coli,k141_13,2431,60.0
65,MEGAHIT,Escherichia_coli,k141_15,1463,60.0
66,MEGAHIT,Escherichia_coli,k141_17,13075,60.0
67,MEGAHIT,Escherichia_coli,k141_699,170291,35.68433864116448
68,MEGAHIT,Escherichia_coli,k141_22,66652,60.0
69,MEGAHIT,Escherichia_coli,k141_24,4645,60.0
70,MEGAHIT,Escherichia_coli,k141_28,3548,60.0
71,MEGAHIT,Escherichia_coli,k141_491,1011,27.03721159927021
72,MEGAHIT,Escherichia_coli,k141_43,1208,24.800069429571483
73,MEGAHIT,Escherichia_coli,k141_499,2544,60.0
74,MEGAHIT,Escherichia_coli,k141_503,50355,60.0
75,MEGAHIT,Escherichia_coli,k141_714,63414,60.0
76,MEGAHIT,Escherichia_coli,k141_716,144697,60.0
77,MEGAHIT,Escherichia_coli,k141_518,2035,60.0
78,MEGAHIT,Escherichia_coli,k141_721,181368,60.0
79,MEGAHIT,Escherichia_coli,k141_724,55046,60.0
80,MEGAHIT,Escherichia_coli,k141_728,1135,60.0
81,MEGAHIT,Escherichia_coli,k141_267,62907,60.0
82,MEGAHIT,Escherichia_coli,k141_276,102135,60.0
83,MEGAHIT,Escherichia_coli,k141_278,9895,60.0
84,MEGAHIT,Escherichia_coli,k141_280,53522,60.0
85,MEGAHIT,Escherichia_coli,k141_282,3230,60.0
86,MEGAHIT,Escherichia_coli,k141_733,2812,60.0
87,MEGAHIT,Escherichia_coli,k141_735,1176,60.0
88,MEGAHIT,Escherichia_coli,k141_526,5041,60.0
89,MEGAHIT,Escherichia_coli,k141_736,7950,60.0
90,MEGAHIT,Escherichia_coli,k141_529,2754,60.0
91,MEGAHIT,Escherichia_coli,k141_535,56438,60.0
92,MEGAHIT,Escherichia_coli,k141_85,74387,60.0
93,MEGAHIT,Escherichia_coli,k141_86,8753,60.0
94,MEGAHIT,Escherichia_coli,k141_537,9868,60.0
95,MEGAHIT,Escherichia_coli,k141_538,6710,60.0
96,MEGAHIT,Escherichia_coli,k141_105,60158,60.0
97,MEGAHIT,Escherichia_coli,k141_106,3342,60.0
98,MEGAHIT,Escherichia_coli,k141_547,45677,25.49107862035074
99,MEGAHIT,Escherichia_coli,k141_108,32026,60.0
100,MEGAHIT,Escherichia_coli,k141_109,6064,60.0
101,MEGAHIT,Escherichia_coli,k141_563,27361,60.0
102,MEGAHIT,Escherichia_coli,k141_112,42197,60.0
103,MEGAHIT,Escherichia_coli,k141_290,3098,60.0
104,MEGAHIT,Escherichia_coli,k141_292,12969,60.0
105,MEGAHIT,Escherichia_coli,k141_296,14274,60.0
106,MEGAHIT,Escherichia_coli,k141_585,2582,60.0
107,MEGAHIT,Escherichia_coli,k141_588,2682,60.0
108,MEGAHIT,Escherichia_coli,k141_298,62611,60.0
109,MEGAHIT,Escherichia_coli,k141_118,4567,60.0
110,MEGAHIT,Escherichia_coli,k141_752,5069,60.0
111,MEGAHIT,Escherichia_coli,k141_754,6753,60.0
112,MEGAHIT,Escherichia_coli,k141_303,70221,60.0
113,MEGAHIT,Escherichia_coli,k141_601,1519,60.0
114,MEGAHIT,Escherichia_coli,k141_119,112717,60.0
115,MEGAHIT,Escherichia_coli,k141_306,37189,60.0
116,MEGAHIT,Escherichia_coli,k141_127,34563,60.0
117,MEGAHIT,Escherichia_coli,k141_759,117354,60.0
118,MEGAHIT,Escherichia_coli,k141_309,1221,60.0
119,MEGAHIT,Escherichia_coli,k141_764,90017,60.0
120,MEGAHIT,Escherichia_coli,k141_604,2900,60.0
121,MEGAHIT,Escherichia_coli,k141_136,1002,60.0
122,MEGAHIT,Escherichia_coli,k141_137,1002,60.0
123,MEGAHIT,Escherichia_coli,k141_312,6152,60.0
124,MEGAHIT,Escherichia_coli,k141_314,8075,60.0
125,MEGAHIT,Escherichia_coli,k141_316,50448,60.0
126,MEGAHIT,Escherichia_coli,k141_317,17229,60.0
127,MEGAHIT,Escherichia_coli,k141_318,21949,60.0
128,MEGAHIT,Escherichia_coli,k141_141,119353,60.0
129,MEGAHIT,Escherichia_coli,k141_146,33255,60.0
130,MEGAHIT,Escherichia_coli,k141_147,19363,60.0
131,MEGAHIT,Escherichia_coli,k141_149,4521,60.0
132,MEGAHIT,Escherichia_coli,k141_151,38969,60.0
133,MEGAHIT,Escherichia_coli,k141_325,3862,60.0
134,MEGAHIT,Escherichia_coli,k141_326,128600,60.0
135,MEGAHIT,Escherichia_coli,k141_623,97125,60.0
136,MEGAHIT,Escherichia_coli,k141_340,59365,26.663205024910404
137,MEGAHIT,Escherichia_coli,k141_632,43095,39.354568807118035
138,MEGAHIT,Escherichia_coli,k141_162,44564,60.0
139,MEGAHIT,Escherichia_coli,k141_163,344118,60.0
140,MEGAHIT,Escherichia_coli,k141_164,8812,60.0
141,MEGAHIT,Escherichia_coli,k141_165,16943,60.0
142,MEGAHIT,Escherichia_coli,k141_646,14811,60.0
143,MEGAHIT,Escherichia_coli,k141_350,10397,0.24929252977491273
144,MEGAHIT,Escherichia_coli,k141_356,70610,60.0
145,MEGAHIT,Escherichia_coli,k141_357,18911,60.0
146,MEGAHIT,Escherichia_coli,k141_358,18561,60.0
147,MEGAHIT,Escherichia_coli,k141_823,66485,60.0
148,MEGAHIT,Escherichia_coli,k141_169,16852,21.16061740155562
149,MEGAHIT,Escherichia_coli,k141_675,184008,60.0
150,MEGAHIT,Escherichia_coli,k141_173,31814,60.0
151,MEGAHIT,Escherichia_coli,k141_827,74550,60.0
152,MEGAHIT,Escherichia_coli,k141_676,27600,60.0
153,MEGAHIT,Escherichia_coli,k141_364,4247,60.0
