,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LHS,MEGAHIT,k141_308,1889,Bacillus_subtilis,0
1,1,LHS,MEGAHIT,k141_610,4071,Bacillus_subtilis,0
2,2,LHS,MEGAHIT,k141_512,1575,Pseudomonas_aeruginosa,0
3,3,LHS,MEGAHIT,k141_9,3633,Bacillus_subtilis,0
4,4,LHS,MEGAHIT,k141_612,4408,Listeria_monocytogenes,0
5,5,LHS,MEGAHIT,k141_411,5895,Bacillus_subtilis,0
6,6,LHS,MEGAHIT,k141_10,5313,Bacillus_subtilis,0
7,7,LHS,MEGAHIT,k141_102,11747,Bacillus_subtilis,0
8,8,LHS,MEGAHIT,k141_613,7825,Bacillus_subtilis,0
9,9,LHS,MEGAHIT,k141_413,9597,Bacillus_subtilis,0
10,10,LHS,MEGAHIT,k141_513,11829,Bacillus_subtilis,0
11,11,LHS,MEGAHIT,k141_103,5069,Bacillus_subtilis,0
12,12,LHS,MEGAHIT,k141_629,2910,Pseudomonas_aeruginosa,0
13,13,LHS,MEGAHIT,k141_309,20870,Bacillus_subtilis,0
14,14,LHS,MEGAHIT,k141_632,2910,Pseudomonas_aeruginosa,0
15,15,LHS,MEGAHIT,k141_312,2715,Bacillus_subtilis,0
16,16,LHS,MEGAHIT,k141_12,16362,Bacillus_subtilis,0
17,17,LHS,MEGAHIT,k141_635,6131,Bacillus_subtilis,0
18,18,LHS,MEGAHIT,k141_314,7722,Pseudomonas_aeruginosa,0
19,19,LHS,MEGAHIT,k141_315,1181,Pseudomonas_aeruginosa,0
20,20,LHS,MEGAHIT,k141_316,3877,Listeria_monocytogenes,0
21,21,LHS,MEGAHIT,k141_317,1200,Bacillus_subtilis,0
22,22,LHS,MEGAHIT,k141_318,1513,Listeria_monocytogenes,0
23,23,LHS,MEGAHIT,k141_415,25751,Bacillus_subtilis,0
24,24,LHS,MEGAHIT,k141_514,26753,Bacillus_subtilis,0
25,25,LHS,MEGAHIT,k141_320,4951,Bacillus_subtilis,0
26,26,LHS,MEGAHIT,k141_636,19396,Bacillus_subtilis,0
27,27,LHS,MEGAHIT,k141_18,26511,Bacillus_subtilis,0
28,28,LHS,MEGAHIT,k141_321,9465,Bacillus_subtilis,0
29,29,LHS,MEGAHIT,k141_322,6549,Bacillus_subtilis,0
30,30,LHS,MEGAHIT,k141_417,23324,Bacillus_subtilis,0
31,31,LHS,MEGAHIT,k141_645,21342,Bacillus_subtilis,0
32,32,LHS,MEGAHIT,k141_323,14475,Bacillus_subtilis,0
33,33,LHS,MEGAHIT,k141_418,16003,Bacillus_subtilis,0
34,34,LHS,MEGAHIT,k141_329,22492,Bacillus_subtilis,0
35,35,LHS,MEGAHIT,k141_419,24051,Bacillus_subtilis,0
36,36,LHS,MEGAHIT,k141_420,1179,Pseudomonas_aeruginosa,0
37,37,LHS,MEGAHIT,k141_648,33404,Pseudomonas_aeruginosa,0
38,38,LHS,MEGAHIT,k141_421,1514,Pseudomonas_aeruginosa,0
39,39,LHS,MEGAHIT,k141_330,12274,Bacillus_subtilis,0
40,40,LHS,MEGAHIT,k141_331,2077,Bacillus_subtilis,0
41,41,LHS,MEGAHIT,k141_649,13700,Bacillus_subtilis,0
42,42,LHS,MEGAHIT,k141_422,21146,Bacillus_subtilis,0
43,43,LHS,MEGAHIT,k141_653,6811,Bacillus_subtilis,0
44,44,LHS,MEGAHIT,k141_105,136823,Listeria_monocytogenes,0
45,45,LHS,MEGAHIT,k141_426,26209,Bacillus_subtilis,0
46,46,LHS,MEGAHIT,k141_433,4267,Bacillus_subtilis,0
47,47,LHS,MEGAHIT,k141_663,38986,Bacillus_subtilis,0
48,48,LHS,MEGAHIT,k141_665,14461,Bacillus_subtilis,0
49,49,LHS,MEGAHIT,k141_434,56672,Bacillus_subtilis,0
50,50,LHS,MEGAHIT,k141_438,1375,Pseudomonas_aeruginosa,0
51,51,LHS,MEGAHIT,k141_441,5420,Pseudomonas_aeruginosa,0
52,52,LHS,MEGAHIT,k141_443,6036,Bacillus_subtilis,0
53,53,LHS,MEGAHIT,k141_717,254551,Listeria_monocytogenes,0
54,54,LHS,MEGAHIT,k141_720,11364,Bacillus_subtilis,0
55,55,LHS,MEGAHIT,k141_721,13885,Bacillus_subtilis,0
56,56,LHS,MEGAHIT,k141_722,16092,Bacillus_subtilis,0
57,57,LHS,MEGAHIT,k141_723,3694,Bacillus_subtilis,0
58,58,LHS,MEGAHIT,k141_452,68668,Pseudomonas_aeruginosa,0
59,59,LHS,MEGAHIT,k141_724,1044,Escherichia_coli,0
60,60,LHS,MEGAHIT,k141_26,256754,Pseudomonas_aeruginosa,0
61,61,LHS,MEGAHIT,k141_726,14382,Bacillus_subtilis,0
62,62,LHS,MEGAHIT,k141_731,2355,Pseudomonas_aeruginosa,0
63,63,LHS,MEGAHIT,k141_732,1306,Pseudomonas_aeruginosa,0
64,64,LHS,MEGAHIT,k141_734,2067,Bacillus_subtilis,0
65,65,LHS,MEGAHIT,k141_204,337778,Pseudomonas_aeruginosa,0
66,66,LHS,MEGAHIT,k141_27,30541,Bacillus_subtilis,0
67,67,LHS,MEGAHIT,k141_28,4027,Bacillus_subtilis,0
68,68,LHS,MEGAHIT,k141_735,20599,Bacillus_subtilis,0
69,69,LHS,MEGAHIT,k141_211,15050,Bacillus_subtilis,0
70,70,LHS,MEGAHIT,k141_736,1329,Pseudomonas_aeruginosa,0
71,71,LHS,MEGAHIT,k141_455,47942,Pseudomonas_aeruginosa,0
72,72,LHS,MEGAHIT,k141_666,156255,Pseudomonas_aeruginosa,0
73,73,LHS,MEGAHIT,k141_106,215542,Pseudomonas_aeruginosa,0
74,74,LHS,MEGAHIT,k141_333,249522,Pseudomonas_aeruginosa,0
75,75,LHS,MEGAHIT,k141_515,319123,Pseudomonas_aeruginosa,0
76,76,LHS,MEGAHIT,k141_737,21275,Pseudomonas_aeruginosa,0
77,77,LHS,MEGAHIT,k141_30,29069,Bacillus_subtilis,0
78,78,LHS,MEGAHIT,k141_517,11122,Bacillus_subtilis,0
79,79,LHS,MEGAHIT,k141_31,1858,Bacillus_subtilis,0
80,80,LHS,MEGAHIT,k141_518,5442,Pseudomonas_aeruginosa,0
81,81,LHS,MEGAHIT,k141_739,11411,Bacillus_subtilis,0
82,82,LHS,MEGAHIT,k141_215,38301,Pseudomonas_aeruginosa,0
83,83,LHS,MEGAHIT,k141_334,26119,Bacillus_subtilis,0
84,84,LHS,MEGAHIT,k141_338,1046,Pseudomonas_aeruginosa,0
85,85,LHS,MEGAHIT,k141_33,15627,Pseudomonas_aeruginosa,0
86,86,LHS,MEGAHIT,k141_218,5868,Bacillus_subtilis,0
87,87,LHS,MEGAHIT,k141_34,3320,Pseudomonas_aeruginosa,0
88,88,LHS,MEGAHIT,k141_107,37055,Bacillus_subtilis,0
89,89,LHS,MEGAHIT,k141_741,21518,Bacillus_subtilis,0
90,90,LHS,MEGAHIT,k141_43,10866,Bacillus_subtilis,0
91,91,LHS,MEGAHIT,k141_109,10281,Bacillus_subtilis,0
92,92,LHS,MEGAHIT,k141_339,19038,Pseudomonas_aeruginosa,0
93,93,LHS,MEGAHIT,k141_44,4985,Bacillus_subtilis,0
94,94,LHS,MEGAHIT,k141_111,2446,Bacillus_subtilis,0
95,95,LHS,MEGAHIT,k141_519,34572,Bacillus_subtilis,0
