,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ENN,SKESA,Contig_1_34.4829,23451,Staphylococcus_aureus,0
1,1,ENN,SKESA,Contig_2_48.3532,2976,Lactobacillus_fermentum,0
2,2,ENN,SKESA,Contig_3_48.4556,99044,Lactobacillus_fermentum,0
3,3,ENN,SKESA,Contig_4_19.8017,66986,Salmonella_enterica,0
4,4,ENN,SKESA,Contig_5_21.0524,3973,Escherichia_coli,0
5,5,ENN,SKESA,Contig_6_18.8229,5406,Escherichia_coli,0
6,6,ENN,SKESA,Contig_8_23.6705,59626,Bacillus_subtilis,0
7,7,ENN,SKESA,Contig_9_20.1454,49726,Salmonella_enterica,0
8,8,ENN,SKESA,Contig_10_19.9721,33676,Salmonella_enterica,0
9,9,ENN,SKESA,Contig_11_19.6429,39522,Salmonella_enterica,0
10,10,ENN,SKESA,Contig_12_20.4091,43369,Escherichia_coli,0
11,11,ENN,SKESA,Contig_13_12.9008,6462,Pseudomonas_aeruginosa,0
12,12,ENN,SKESA,Contig_15_18.873,2665,Escherichia_coli,0
13,13,ENN,SKESA,Contig_16_19.4224,2669,Salmonella_enterica,0
14,14,ENN,SKESA,Contig_18_34.6902,28576,Staphylococcus_aureus,0
15,15,ENN,SKESA,Contig_21_14.5979,10801,Pseudomonas_aeruginosa,0
16,16,ENN,SKESA,Contig_22_19.6718,19743,Salmonella_enterica,0
17,17,ENN,SKESA,Contig_23_33.7352,11562,Staphylococcus_aureus,0
18,18,ENN,SKESA,Contig_27_50.264,45259,Lactobacillus_fermentum,0
19,19,ENN,SKESA,Contig_29_33.0495,39477,Enterococcus_faecalis,0
20,20,ENN,SKESA,Contig_30_48.5571,52688,Lactobacillus_fermentum,0
21,21,ENN,SKESA,Contig_31_19.5984,26886,Salmonella_enterica,0
22,22,ENN,SKESA,Contig_33_20.7949,1639,Escherichia_coli,0
23,23,ENN,SKESA,Contig_34_27.2462,1945,Salmonella_enterica,0
24,24,ENN,SKESA,Contig_35_26.4453,1920,Escherichia_coli,0
25,25,ENN,SKESA,Contig_36_30.5943,36729,Listeria_monocytogenes,0
26,26,ENN,SKESA,Contig_37_18.4336,2308,Escherichia_coli,0
27,27,ENN,SKESA,Contig_38_20.6905,4779,Escherichia_coli,0
28,28,ENN,SKESA,Contig_39_19.874,9584,Escherichia_coli,0
29,29,ENN,SKESA,Contig_40_19.8523,34192,Escherichia_coli,0
30,30,ENN,SKESA,Contig_43_33.8785,34213,Staphylococcus_aureus,0
31,31,ENN,SKESA,Contig_45_16.2601,1612,Pseudomonas_aeruginosa,0
32,32,ENN,SKESA,Contig_46_13.7991,54154,Pseudomonas_aeruginosa,0
33,33,ENN,SKESA,Contig_47_32.3866,56339,Enterococcus_faecalis,0
34,34,ENN,SKESA,Contig_48_20.4609,17642,Escherichia_coli,0
35,35,ENN,SKESA,Contig_49_50.6618,14397,Lactobacillus_fermentum,0
36,36,ENN,SKESA,Contig_50_48.7771,11727,Lactobacillus_fermentum,0
37,37,ENN,SKESA,Contig_51_20.0042,19362,Salmonella_enterica,0
38,38,ENN,SKESA,Contig_52_34.0521,129456,Staphylococcus_aureus,0
39,39,ENN,SKESA,Contig_54_13.9358,15070,Pseudomonas_aeruginosa,0
40,40,ENN,SKESA,Contig_55_20.7579,27052,Escherichia_coli,0
41,41,ENN,SKESA,Contig_56_48.328,12781,Lactobacillus_fermentum,0
42,42,ENN,SKESA,Contig_57_52.2237,40300,Lactobacillus_fermentum,0
43,43,ENN,SKESA,Contig_58_19.284,21318,Salmonella_enterica,0
44,44,ENN,SKESA,Contig_59_19.4257,29252,Escherichia_coli,0
45,45,ENN,SKESA,Contig_60_20.9773,4550,Escherichia_coli,0
46,46,ENN,SKESA,Contig_61_20.9686,2632,Salmonella_enterica,0
47,47,ENN,SKESA,Contig_62_19.138,2687,Escherichia_coli,0
48,48,ENN,SKESA,Contig_63_13.6015,34198,Pseudomonas_aeruginosa,0
49,49,ENN,SKESA,Contig_64_13.6334,73553,Pseudomonas_aeruginosa,0
50,50,ENN,SKESA,Contig_66_49.059,7874,Lactobacillus_fermentum,0
51,51,ENN,SKESA,Contig_67_22.8155,2183,Escherichia_coli,0
52,52,ENN,SKESA,Contig_68_22.3831,2176,Salmonella_enterica,0
53,53,ENN,SKESA,Contig_70_20.403,10608,Salmonella_enterica,0
54,54,ENN,SKESA,Contig_71_19.7418,29868,Salmonella_enterica,0
55,55,ENN,SKESA,Contig_75_33.7778,9001,Staphylococcus_aureus,0
56,56,ENN,SKESA,Contig_76_20.7865,2076,Escherichia_coli,0
57,57,ENN,SKESA,Contig_77_19.5373,48629,Salmonella_enterica,0
58,58,ENN,SKESA,Contig_78_13.7128,171241,Pseudomonas_aeruginosa,0
59,59,ENN,SKESA,Contig_79_33.6385,15919,Staphylococcus_aureus,0
60,60,ENN,SKESA,Contig_80_34.3291,53136,Staphylococcus_aureus,0
61,61,ENN,SKESA,Contig_82_32.9179,15699,Enterococcus_faecalis,0
62,62,ENN,SKESA,Contig_83_21.3675,2638,Escherichia_coli,0
63,63,ENN,SKESA,Contig_84_13.5034,76481,Pseudomonas_aeruginosa,0
64,64,ENN,SKESA,Contig_85_20.3632,20775,Salmonella_enterica,0
65,65,ENN,SKESA,Contig_86_32.6428,68370,Enterococcus_faecalis,0
66,66,ENN,SKESA,Contig_90_13.6791,80976,Pseudomonas_aeruginosa,0
67,67,ENN,SKESA,Contig_91_22.7811,395598,Bacillus_subtilis,0
68,68,ENN,SKESA,Contig_92_49.5908,20967,Lactobacillus_fermentum,0
69,69,ENN,SKESA,Contig_93_53.5446,11123,Lactobacillus_fermentum,0
