,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ENN,MetaHipMer2,Contig0,95701,Escherichia_coli,0
1,1,ENN,MetaHipMer2,Contig1,136737,Listeria_monocytogenes,0
2,2,ENN,MetaHipMer2,Contig2,60072,Escherichia_coli,0
3,3,ENN,MetaHipMer2,Contig3,94165,Salmonella_enterica,0
4,4,ENN,MetaHipMer2,Contig4,82320,Enterococcus_faecalis,0
5,5,ENN,MetaHipMer2,Contig5,24256,Pseudomonas_aeruginosa,0
6,6,ENN,MetaHipMer2,Contig6,102049,Escherichia_coli,0
7,7,ENN,MetaHipMer2,Contig7,59568,Escherichia_coli,0
8,8,ENN,MetaHipMer2,Contig8,13193,Escherichia_coli,0
9,9,ENN,MetaHipMer2,Contig9,9105,Salmonella_enterica,0
10,10,ENN,MetaHipMer2,Contig10,41231,Escherichia_coli,0
11,11,ENN,MetaHipMer2,Contig11,15925,Lactobacillus_fermentum,0
12,12,ENN,MetaHipMer2,Contig12,6334,Staphylococcus_aureus_plasmid1,0
13,13,ENN,MetaHipMer2,Contig13,23658,Staphylococcus_aureus,0
14,14,ENN,MetaHipMer2,Contig14,84240,Enterococcus_faecalis,0
15,15,ENN,MetaHipMer2,Contig15,12501,Enterococcus_faecalis,0
16,16,ENN,MetaHipMer2,Contig17,1334,Escherichia_coli,0
17,17,ENN,MetaHipMer2,Contig19,4592,Pseudomonas_aeruginosa,0
18,18,ENN,MetaHipMer2,Contig21,12861,Staphylococcus_aureus,0
19,19,ENN,MetaHipMer2,Contig22,2939,Lactobacillus_fermentum,0
20,20,ENN,MetaHipMer2,Contig23,4509,Escherichia_coli,0
21,21,ENN,MetaHipMer2,Contig25,3753,Salmonella_enterica,0
22,22,ENN,MetaHipMer2,Contig30,1638,Staphylococcus_aureus,0
23,23,ENN,MetaHipMer2,Contig37,1533,Lactobacillus_fermentum,0
24,24,ENN,MetaHipMer2,Contig41,1093,Lactobacillus_fermentum,0
25,25,ENN,MetaHipMer2,Contig46,1046,Escherichia_coli,0
26,26,ENN,MetaHipMer2,Contig118,23328,Bacillus_subtilis,0
27,27,ENN,MetaHipMer2,Contig119,6508,Staphylococcus_aureus,0
28,28,ENN,MetaHipMer2,Contig120,351138,Listeria_monocytogenes,0
29,29,ENN,MetaHipMer2,Contig121,41929,Enterococcus_faecalis,0
30,30,ENN,MetaHipMer2,Contig122,44045,Salmonella_enterica,0
31,31,ENN,MetaHipMer2,Contig123,86530,Salmonella_enterica,0
32,32,ENN,MetaHipMer2,Contig124,34906,Salmonella_enterica,0
33,33,ENN,MetaHipMer2,Contig125,149725,Staphylococcus_aureus,0
34,34,ENN,MetaHipMer2,Contig126,44950,Salmonella_enterica,0
35,35,ENN,MetaHipMer2,Contig127,32584,Enterococcus_faecalis,0
36,36,ENN,MetaHipMer2,Contig128,12873,Salmonella_enterica,0
37,37,ENN,MetaHipMer2,Contig129,106644,Escherichia_coli,0
38,38,ENN,MetaHipMer2,Contig130,14271,Pseudomonas_aeruginosa,0
39,39,ENN,MetaHipMer2,Contig131,15155,Escherichia_coli,0
40,40,ENN,MetaHipMer2,Contig132,26418,Staphylococcus_aureus,0
41,41,ENN,MetaHipMer2,Contig133,34951,Escherichia_coli,0
42,42,ENN,MetaHipMer2,Contig134,29303,Enterococcus_faecalis,0
43,43,ENN,MetaHipMer2,Contig135,76571,Escherichia_coli,0
44,44,ENN,MetaHipMer2,Contig136,58958,Salmonella_enterica,0
45,45,ENN,MetaHipMer2,Contig137,14707,Lactobacillus_fermentum,0
46,46,ENN,MetaHipMer2,Contig138,16972,Escherichia_coli,0
47,47,ENN,MetaHipMer2,Contig139,16206,Enterococcus_faecalis,0
48,48,ENN,MetaHipMer2,Contig140,10806,Salmonella_enterica,0
49,49,ENN,MetaHipMer2,Contig141,28446,Lactobacillus_fermentum,0
50,50,ENN,MetaHipMer2,Contig144,13870,Escherichia_coli,0
51,51,ENN,MetaHipMer2,Contig146,2845,Salmonella_enterica,0
52,52,ENN,MetaHipMer2,Contig147,2213,Staphylococcus_aureus_plasmid2,0
53,53,ENN,MetaHipMer2,Contig148,3380,Lactobacillus_fermentum,0
54,54,ENN,MetaHipMer2,Contig152,2652,Salmonella_enterica,0
55,55,ENN,MetaHipMer2,Contig157,3258,Salmonella_enterica,0
56,56,ENN,MetaHipMer2,Contig267,5104,Escherichia_coli,0
57,57,ENN,MetaHipMer2,Contig268,92591,Enterococcus_faecalis,0
58,58,ENN,MetaHipMer2,Contig269,13775,Enterococcus_faecalis,0
59,59,ENN,MetaHipMer2,Contig270,9932,Salmonella_enterica,0
60,60,ENN,MetaHipMer2,Contig271,45440,Lactobacillus_fermentum,0
61,61,ENN,MetaHipMer2,Contig272,108139,Staphylococcus_aureus,0
62,62,ENN,MetaHipMer2,Contig273,38871,Staphylococcus_aureus,0
63,63,ENN,MetaHipMer2,Contig274,32050,Salmonella_enterica,0
64,64,ENN,MetaHipMer2,Contig275,39717,Staphylococcus_aureus,0
65,65,ENN,MetaHipMer2,Contig276,39119,Escherichia_coli,0
66,66,ENN,MetaHipMer2,Contig277,263362,Bacillus_subtilis,0
67,67,ENN,MetaHipMer2,Contig278,56444,Pseudomonas_aeruginosa,0
68,68,ENN,MetaHipMer2,Contig279,170743,Bacillus_subtilis,0
69,69,ENN,MetaHipMer2,Contig280,82958,Escherichia_coli,0
70,70,ENN,MetaHipMer2,Contig281,56794,Escherichia_coli,0
71,71,ENN,MetaHipMer2,Contig282,16614,Enterococcus_faecalis,0
72,72,ENN,MetaHipMer2,Contig283,15446,Escherichia_coli,0
73,73,ENN,MetaHipMer2,Contig284,9233,Escherichia_coli,0
