,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
1,1,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
2,2,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
3,3,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
4,4,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
5,5,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
6,6,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
7,7,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
8,8,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
9,9,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
10,10,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
11,11,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
12,12,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
13,13,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
14,14,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
15,15,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
16,16,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
17,17,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
18,18,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
19,19,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
20,20,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
21,21,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
22,22,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
23,23,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
24,24,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
25,25,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
26,26,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
27,27,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
28,28,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
29,29,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
30,30,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
31,31,SRR8073716,MEGAHIT,k141_1932,2120,2623620617,0
32,32,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
33,33,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
34,34,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
35,35,SRR8073716,MEGAHIT,k141_1932,2120,2623620618,0
36,36,SRR8073716,MEGAHIT,k141_2702,1869,2615840533B,0
37,37,SRR8073716,MEGAHIT,k141_2702,1869,2615840533B,0
38,38,SRR8073716,MEGAHIT,k141_2702,1869,2615840533B,0
39,39,SRR8073716,MEGAHIT,k141_1359,2230,2623620567,0
40,40,SRR8073716,MEGAHIT,k141_1359,2230,2623620567,0
41,41,SRR8073716,MEGAHIT,k141_1359,2230,2623620567,0
42,42,SRR8073716,MEGAHIT,k141_1545,7466,2623620618,0
43,43,SRR8073716,MEGAHIT,k141_1545,7466,2623620618,0
44,44,SRR8073716,MEGAHIT,k141_1545,7466,2623620618,0
45,45,SRR8073716,MEGAHIT,k141_1737,13587,2623620618,0
46,46,SRR8073716,MEGAHIT,k141_1737,13587,2623620618,0
47,47,SRR8073716,MEGAHIT,k141_1737,13587,2623620618,0
48,48,SRR8073716,MEGAHIT,k141_1737,13587,2623620617,0
49,49,SRR8073716,MEGAHIT,k141_1737,13587,2623620617,0
50,50,SRR8073716,MEGAHIT,k141_1737,13587,2623620617,0
51,51,SRR8073716,MEGAHIT,k141_2318,6414,2615840601,0
52,52,SRR8073716,MEGAHIT,k141_2318,6414,2615840601,0
53,53,SRR8073716,MEGAHIT,k141_2318,6414,2615840601,0
54,54,SRR8073716,MEGAHIT,k141_1159,13186,2615840697,0
55,55,SRR8073716,MEGAHIT,k141_1159,13186,2615840697,0
56,56,SRR8073716,MEGAHIT,k141_1159,13186,2615840697,0
57,57,SRR8073716,MEGAHIT,k141_1160,1695,2615840697,0
58,58,SRR8073716,MEGAHIT,k141_1160,1695,2615840697,0
59,59,SRR8073716,MEGAHIT,k141_1160,1695,2615840697,0
60,60,SRR8073716,MEGAHIT,k141_2319,1695,2615840697,0
61,61,SRR8073716,MEGAHIT,k141_2319,1695,2615840697,0
62,62,SRR8073716,MEGAHIT,k141_2319,1695,2615840697,0
63,63,SRR8073716,MEGAHIT,k141_1742,2722,2616644829,0
64,64,SRR8073716,MEGAHIT,k141_1742,2722,2616644829,0
65,65,SRR8073716,MEGAHIT,k141_1742,2722,2616644829,0
66,66,SRR8073716,MEGAHIT,k141_1360,11227,2623620618,0
67,67,SRR8073716,MEGAHIT,k141_1360,11227,2623620618,0
68,68,SRR8073716,MEGAHIT,k141_1360,11227,2623620618,0
69,69,SRR8073716,MEGAHIT,k141_1360,11227,2623620617,0
70,70,SRR8073716,MEGAHIT,k141_1360,11227,2623620617,0
71,71,SRR8073716,MEGAHIT,k141_1360,11227,2623620617,0
72,72,SRR8073716,MEGAHIT,k141_2320,1627,2623620618,0
73,73,SRR8073716,MEGAHIT,k141_2320,1627,2623620618,0
74,74,SRR8073716,MEGAHIT,k141_2320,1627,2623620618,0
75,75,SRR8073716,MEGAHIT,k141_2320,1627,2623620617,0
76,76,SRR8073716,MEGAHIT,k141_2320,1627,2623620617,0
77,77,SRR8073716,MEGAHIT,k141_2320,1627,2623620617,0
78,78,SRR8073716,MEGAHIT,k141_1746,1528,2616644829,0
79,79,SRR8073716,MEGAHIT,k141_1746,1528,2616644829,0
80,80,SRR8073716,MEGAHIT,k141_1746,1528,2616644829,0
81,81,SRR8073716,MEGAHIT,k141_968,21089,2623620557,0
82,82,SRR8073716,MEGAHIT,k141_968,21089,2623620557,0
83,83,SRR8073716,MEGAHIT,k141_968,21089,2623620557,0
84,84,SRR8073716,MEGAHIT,k141_1363,5374,2615840601,0
85,85,SRR8073716,MEGAHIT,k141_1363,5374,2615840601,0
86,86,SRR8073716,MEGAHIT,k141_1363,5374,2615840601,0
87,87,SRR8073716,MEGAHIT,k141_1363,5374,2615840601,0
88,88,SRR8073716,MEGAHIT,k141_1363,5374,2615840601,0
89,89,SRR8073716,MEGAHIT,k141_1363,5374,2615840601,0
90,90,SRR8073716,MEGAHIT,k141_1938,20101,2615840527,0
91,91,SRR8073716,MEGAHIT,k141_1938,20101,2615840527,0
92,92,SRR8073716,MEGAHIT,k141_1938,20101,2615840527,0
93,93,SRR8073716,MEGAHIT,k141_772,1290,2623620617,0
94,94,SRR8073716,MEGAHIT,k141_772,1290,2623620617,0
95,95,SRR8073716,MEGAHIT,k141_772,1290,2623620617,0
96,96,SRR8073716,MEGAHIT,k141_970,4943,2615840601,0
97,97,SRR8073716,MEGAHIT,k141_970,4943,2615840601,0
