,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,Unicycler,2615840527,3,914476,60
1,Unicycler,2615840527,4,533646,60
2,Unicycler,2615840527,5,510919,54.07322057809829
3,Unicycler,2615840527,14,335780,60
4,Unicycler,2615840527,17,321586,60
5,Unicycler,2615840527,23,263552,60
6,Unicycler,2615840527,37,180616,60
7,Unicycler,2615840527,57,143951,60
8,Unicycler,2615840527,58,140943,60
9,Unicycler,2615840527,71,122067,60
10,Unicycler,2615840527,292,21178,60
11,Unicycler,2615840527,312,19819,60
12,Unicycler,2615840527,337,16774,60
13,Unicycler,2615840527,376,13683,60
14,Unicycler,2615840527,403,11907,60
15,Unicycler,2615840527,578,5283,32.457593559672766
16,Unicycler,2615840527,800,2436,26.08526033577185
17,Unicycler,2615840527,852,2186,15.837753019411933
18,Unicycler,2615840527,1028,1565,22.4027183244314
19,Unicycler,2615840527,1193,1223,60
20,Unicycler,2615840533A,56,149667,60
21,Unicycler,2615840533A,59,135551,60
22,Unicycler,2615840533A,72,121923,60
23,Unicycler,2615840533A,84,110286,60
24,Unicycler,2615840533A,134,64074,60
25,Unicycler,2615840533A,159,48888,60
26,Unicycler,2615840533A,161,48452,60
27,Unicycler,2615840533A,166,47565,60
28,Unicycler,2615840533A,170,45903,34.06568564766584
29,Unicycler,2615840533A,172,45666,60
30,Unicycler,2615840533A,181,41928,60
31,Unicycler,2615840533A,210,35548,60
32,Unicycler,2615840533A,242,28901,60
33,Unicycler,2615840533A,325,18019,60
34,Unicycler,2615840533A,369,14011,60
35,Unicycler,2615840533A,387,12931,60
36,Unicycler,2615840533A,391,12630,60
37,Unicycler,2615840533A,415,11105,60
38,Unicycler,2615840533A,920,1896,60
39,Unicycler,2615840533A,937,1842,8.960737684506874
40,Unicycler,2615840533A,974,1714,60
41,Unicycler,2615840533A,1156,1286,26.321197138685353
42,Unicycler,2615840533A,1276,1093,14.153708715518025
43,Unicycler,2615840533B,7,424885,51.51150144452516
