,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,LNN,Unicycler,Bacillus_subtilis,4045677.0,38257,38453
1,LNN,Unicycler,Bacillus_subtilis,4045677.0,78463,78573
2,LNN,Unicycler,Bacillus_subtilis,4045677.0,194263,234571
3,LNN,Unicycler,Bacillus_subtilis,4045677.0,270966,549255
4,LNN,Unicycler,Bacillus_subtilis,4045677.0,591946,592044
5,LNN,Unicycler,Bacillus_subtilis,4045677.0,693124,1060839
6,LNN,Unicycler,Bacillus_subtilis,4045677.0,1072438,1072532
7,LNN,Unicycler,Bacillus_subtilis,4045677.0,1211761,1211877
8,LNN,Unicycler,Bacillus_subtilis,4045677.0,1273648,1273741
9,LNN,Unicycler,Bacillus_subtilis,4045677.0,1355184,1360026
10,LNN,Unicycler,Bacillus_subtilis,4045677.0,1588701,2046393
11,LNN,Unicycler,Bacillus_subtilis,4045677.0,2289079,2289183
12,LNN,Unicycler,Bacillus_subtilis,4045677.0,2416097,2416477
13,LNN,Unicycler,Bacillus_subtilis,4045677.0,2512922,2513016
14,LNN,Unicycler,Bacillus_subtilis,4045677.0,2606796,2606895
15,LNN,Unicycler,Bacillus_subtilis,4045677.0,2659874,2659984
16,LNN,Unicycler,Bacillus_subtilis,4045677.0,2736910,2814510
17,LNN,Unicycler,Bacillus_subtilis,4045677.0,2869213,3163787
18,LNN,Unicycler,Bacillus_subtilis,4045677.0,3387321,3387493
19,LNN,Unicycler,Bacillus_subtilis,4045677.0,3404389,3892680
20,LNN,Unicycler,Bacillus_subtilis,4045677.0,3898203,3898302
21,LNN,Unicycler,Bacillus_subtilis,4045677.0,4002270,4002369
22,LNN,Unicycler,Listeria_monocytogenes,2992342.0,351048,352415
23,LNN,Unicycler,Listeria_monocytogenes,2992342.0,448661,448734
24,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1082796,1083115
25,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1086709,1088108
26,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1228468,1229859
27,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1366399,1377511
28,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1610198,1610706
29,LNN,Unicycler,Listeria_monocytogenes,2992342.0,1613010,1615655
30,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2158451,2164536
31,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2495416,2496008
32,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2498259,2499032
33,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2500262,2502581
34,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2757011,2762164
35,LNN,Unicycler,Listeria_monocytogenes,2992342.0,2861691,2868212
36,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,36648,37576
37,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,332056,333255
38,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,421127,426881
39,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,429918,431079
40,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,495243,501428
41,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,577719,578323
42,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,631454,631775
43,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,926912,927055
44,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,945810,946674
45,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1161933,1162101
46,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1163124,1164623
47,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1205290,1205392
48,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1867254,1867356
49,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1889447,1891023
50,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1893650,1895148
51,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,1896159,1896327
52,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2233822,2233862
53,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2291185,2291311
54,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2429649,2430936
55,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2475945,2476050
56,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2687407,2688011
57,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2714694,2717377
58,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2718469,2720329
59,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2732502,2735549
60,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2737483,2737626
61,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2758618,2759439
62,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2828930,2829368
63,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2835405,2836949
64,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2840156,2841540
65,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2842573,2842687
66,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2849139,2849925
67,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2851686,2854870
68,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,2945758,2946071
69,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3028730,3029912
70,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3342938,3343867
71,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3367926,3368031
72,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3400438,3401907
73,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3423810,3424335
74,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3425789,3429168
75,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3553266,3554037
76,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3609160,3609294
77,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3928013,3928334
78,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,3978791,3979475
79,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4367409,4367552
80,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4829457,4830694
81,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4892272,4898026
82,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4936049,4936610
83,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4940148,4940892
84,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,4942058,4943018
85,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5201371,5202235
86,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5207548,5208530
87,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5395719,5398787
88,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5454162,5458937
89,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5480796,5482598
90,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5484449,5490203
91,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,5609150,5610084
92,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6079323,6080560
93,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6170563,6171049
94,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6277235,6277263
95,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6331835,6332656
96,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6547384,6551107
97,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6614466,6614604
98,LNN,Unicycler,Pseudomonas_aeruginosa,6792330.0,6618810,6618936
