Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9829400617004274,38
Enterococcus_faecalis,0.975716175486541,53
Escherichia_coli_plasmid,0.9846555219213323,4
Escherichia_coli,0.9487572380605838,422
Lactobacillus_fermentum,0.9382816547028787,88
Listeria_monocytogenes,0.986481491754619,27
Pseudomonas_aeruginosa,0.985854633093504,162
Salmonella_enterica,0.9601434614368077,421
Staphylococcus_aureus,0.981045542485968,76
Staphylococcus_aureus_plasmid1,0.9998421966230078,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
