,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MetaHipMer2,Bacillus_subtilis,Contig0,343202,60
1,MetaHipMer2,Bacillus_subtilis,Contig3,257264,60
2,MetaHipMer2,Bacillus_subtilis,Contig24,37892,60
3,MetaHipMer2,Bacillus_subtilis,Contig155,23328,60
4,MetaHipMer2,Bacillus_subtilis,Contig180,17011,60
5,MetaHipMer2,Bacillus_subtilis,Contig304,263362,60
6,MetaHipMer2,Bacillus_subtilis,Contig305,170743,60
7,MetaHipMer2,Bacillus_subtilis,Contig315,15641,60
8,MetaHipMer2,Bacillus_subtilis,Contig476,137586,60
9,MetaHipMer2,Bacillus_subtilis,Contig676,315132,60
10,MetaHipMer2,Bacillus_subtilis,Contig686,59824,60
11,MetaHipMer2,Bacillus_subtilis,Contig847,29778,60
12,MetaHipMer2,Bacillus_subtilis,Contig1213,55294,60
13,MetaHipMer2,Bacillus_subtilis,Contig1218,122497,60
14,MetaHipMer2,Bacillus_subtilis,Contig1221,252367,60
15,MetaHipMer2,Bacillus_subtilis,Contig1376,10271,60
16,MetaHipMer2,Bacillus_subtilis,Contig1570,83899,60
17,MetaHipMer2,Bacillus_subtilis,Contig1757,156038,60
18,MetaHipMer2,Bacillus_subtilis,Contig1758,212623,60
19,MetaHipMer2,Bacillus_subtilis,Contig1762,372558,60
20,MetaHipMer2,Bacillus_subtilis,Contig2177,38456,60
21,MetaHipMer2,Bacillus_subtilis,Contig2183,137373,60
22,MetaHipMer2,Bacillus_subtilis,Contig2184,294463,60
23,MetaHipMer2,Bacillus_subtilis,Contig2370,132202,60
24,MetaHipMer2,Bacillus_subtilis,Contig2371,395796,60
25,MetaHipMer2,Bacillus_subtilis,Contig2417,2636,60
26,MetaHipMer2,Bacillus_subtilis,Contig2807,38288,60
27,MetaHipMer2,Enterococcus_faecalis,Contig5,82320,60
28,MetaHipMer2,Enterococcus_faecalis,Contig14,57039,60
29,MetaHipMer2,Enterococcus_faecalis,Contig15,84240,60
30,MetaHipMer2,Enterococcus_faecalis,Contig16,12501,60
31,MetaHipMer2,Enterococcus_faecalis,Contig17,68816,60
32,MetaHipMer2,Enterococcus_faecalis,Contig159,41929,60
33,MetaHipMer2,Enterococcus_faecalis,Contig166,32584,60
34,MetaHipMer2,Enterococcus_faecalis,Contig173,29303,60
35,MetaHipMer2,Enterococcus_faecalis,Contig179,16206,60
36,MetaHipMer2,Enterococcus_faecalis,Contig296,92591,60
37,MetaHipMer2,Enterococcus_faecalis,Contig297,13775,60
38,MetaHipMer2,Enterococcus_faecalis,Contig308,16614,60
39,MetaHipMer2,Enterococcus_faecalis,Contig480,13442,60
40,MetaHipMer2,Enterococcus_faecalis,Contig680,73411,60
41,MetaHipMer2,Enterococcus_faecalis,Contig702,38790,60
42,MetaHipMer2,Enterococcus_faecalis,Contig857,63176,60
43,MetaHipMer2,Enterococcus_faecalis,Contig864,194540,60
44,MetaHipMer2,Enterococcus_faecalis,Contig868,8901,60
45,MetaHipMer2,Enterococcus_faecalis,Contig1242,22968,60
46,MetaHipMer2,Enterococcus_faecalis,Contig1254,1040,60
47,MetaHipMer2,Enterococcus_faecalis,Contig1369,132426,60
48,MetaHipMer2,Enterococcus_faecalis,Contig1372,63311,60
49,MetaHipMer2,Enterococcus_faecalis,Contig1391,68756,60
50,MetaHipMer2,Enterococcus_faecalis,Contig1416,1512,60
51,MetaHipMer2,Enterococcus_faecalis,Contig1568,386278,60
52,MetaHipMer2,Enterococcus_faecalis,Contig1589,30254,60
53,MetaHipMer2,Enterococcus_faecalis,Contig1775,25009,60
54,MetaHipMer2,Enterococcus_faecalis,Contig1829,1157,60
55,MetaHipMer2,Enterococcus_faecalis,Contig1983,61570,60
56,MetaHipMer2,Enterococcus_faecalis,Contig1985,23338,60
57,MetaHipMer2,Enterococcus_faecalis,Contig2172,184432,60
58,MetaHipMer2,Enterococcus_faecalis,Contig2173,43441,60
59,MetaHipMer2,Enterococcus_faecalis,Contig2175,128290,45.06132813806318
60,MetaHipMer2,Enterococcus_faecalis,Contig2197,19517,60
61,MetaHipMer2,Enterococcus_faecalis,Contig2205,19774,60
62,MetaHipMer2,Enterococcus_faecalis,Contig2378,46715,60
63,MetaHipMer2,Enterococcus_faecalis,Contig2381,127737,60
64,MetaHipMer2,Enterococcus_faecalis,Contig2393,30569,60
65,MetaHipMer2,Enterococcus_faecalis,Contig2595,118895,60
66,MetaHipMer2,Enterococcus_faecalis,Contig2596,179784,60
67,MetaHipMer2,Enterococcus_faecalis,Contig2606,39675,60
68,MetaHipMer2,Enterococcus_faecalis,Contig2614,62429,60
69,MetaHipMer2,Enterococcus_faecalis,Contig2626,3170,60
70,MetaHipMer2,Enterococcus_faecalis,Contig2637,13280,60
71,MetaHipMer2,Enterococcus_faecalis,Contig2832,1399,60
