,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,SRR8073716,metaSPAdes,NODE_1_length_1237485_cov_398.292350,1237485,2615840527,0
1,1,SRR8073716,metaSPAdes,NODE_1_length_1237485_cov_398.292350,1237485,2615840527,0
2,2,SRR8073716,metaSPAdes,NODE_1_length_1237485_cov_398.292350,1237485,2615840527,0
3,3,SRR8073716,metaSPAdes,NODE_2_length_1059355_cov_375.529367,1059355,2615840527,0
4,4,SRR8073716,metaSPAdes,NODE_2_length_1059355_cov_375.529367,1059355,2615840527,0
5,5,SRR8073716,metaSPAdes,NODE_3_length_1004432_cov_19.915585,1004432,2615840646,0
6,6,SRR8073716,metaSPAdes,NODE_3_length_1004432_cov_19.915585,1004432,2615840646,0
7,7,SRR8073716,metaSPAdes,NODE_3_length_1004432_cov_19.915585,1004432,2615840646,0
8,8,SRR8073716,metaSPAdes,NODE_4_length_579890_cov_19.001494,579890,2615840646,0
9,9,SRR8073716,metaSPAdes,NODE_4_length_579890_cov_19.001494,579890,2615840646,0
10,10,SRR8073716,metaSPAdes,NODE_4_length_579890_cov_19.001494,579890,2615840646,0
11,11,SRR8073716,metaSPAdes,NODE_5_length_470611_cov_20.330877,470611,2615840646,0
12,12,SRR8073716,metaSPAdes,NODE_5_length_470611_cov_20.330877,470611,2615840646,0
13,13,SRR8073716,metaSPAdes,NODE_5_length_470611_cov_20.330877,470611,2615840646,0
14,14,SRR8073716,metaSPAdes,NODE_6_length_465809_cov_19.387290,465809,2615840646,0
15,15,SRR8073716,metaSPAdes,NODE_6_length_465809_cov_19.387290,465809,2615840646,0
16,16,SRR8073716,metaSPAdes,NODE_6_length_465809_cov_19.387290,465809,2615840646,0
17,17,SRR8073716,metaSPAdes,NODE_7_length_424885_cov_48.147414,424885,2615840533B,0
18,18,SRR8073716,metaSPAdes,NODE_7_length_424885_cov_48.147414,424885,2615840533B,0
19,19,SRR8073716,metaSPAdes,NODE_7_length_424885_cov_48.147414,424885,2615840533B,0
20,20,SRR8073716,metaSPAdes,NODE_8_length_374739_cov_20.148037,374739,2615840646,0
21,21,SRR8073716,metaSPAdes,NODE_8_length_374739_cov_20.148037,374739,2615840646,0
22,22,SRR8073716,metaSPAdes,NODE_8_length_374739_cov_20.148037,374739,2615840646,0
23,23,SRR8073716,metaSPAdes,NODE_9_length_359351_cov_48.184277,359351,2615840533B,0
24,24,SRR8073716,metaSPAdes,NODE_9_length_359351_cov_48.184277,359351,2615840533B,0
25,25,SRR8073716,metaSPAdes,NODE_9_length_359351_cov_48.184277,359351,2615840533B,0
26,26,SRR8073716,metaSPAdes,NODE_10_length_354337_cov_86.699499,354337,2616644829,0
27,27,SRR8073716,metaSPAdes,NODE_10_length_354337_cov_86.699499,354337,2616644829,0
28,28,SRR8073716,metaSPAdes,NODE_10_length_354337_cov_86.699499,354337,2616644829,0
29,29,SRR8073716,metaSPAdes,NODE_11_length_344635_cov_19.598859,344635,2615840646,0
30,30,SRR8073716,metaSPAdes,NODE_11_length_344635_cov_19.598859,344635,2615840646,0
31,31,SRR8073716,metaSPAdes,NODE_11_length_344635_cov_19.598859,344635,2615840646,0
