,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EHS,MEGAHIT,k141_4,1061,Listeria_monocytogenes,0
1,1,EHS,MEGAHIT,k141_682,31750,Escherichia_coli,0
2,2,EHS,MEGAHIT,k141_683,1149,Escherichia_coli,0
3,3,EHS,MEGAHIT,k141_5,37577,Lactobacillus_fermentum,0
4,4,EHS,MEGAHIT,k141_1022,46493,Staphylococcus_aureus,0
5,5,EHS,MEGAHIT,k141_1024,5570,Salmonella_enterica,0
6,6,EHS,MEGAHIT,k141_686,20985,Lactobacillus_fermentum,0
7,7,EHS,MEGAHIT,k141_695,34893,Staphylococcus_aureus,0
8,8,EHS,MEGAHIT,k141_703,1232,Escherichia_coli,0
9,9,EHS,MEGAHIT,k141_1025,45786,Staphylococcus_aureus,0
10,10,EHS,MEGAHIT,k141_342,114884,Lactobacillus_fermentum,0
11,11,EHS,MEGAHIT,k141_1026,16204,Staphylococcus_aureus,0
12,12,EHS,MEGAHIT,k141_1028,4229,Staphylococcus_aureus,0
13,13,EHS,MEGAHIT,k141_1029,40564,Lactobacillus_fermentum,0
14,14,EHS,MEGAHIT,k141_1030,3466,Lactobacillus_fermentum,0
15,15,EHS,MEGAHIT,k141_1031,10178,Salmonella_enterica,0
16,16,EHS,MEGAHIT,k141_11,138591,Escherichia_coli,0
17,17,EHS,MEGAHIT,k141_11,138591,Escherichia_coli,0
18,18,EHS,MEGAHIT,k141_12,35463,Salmonella_enterica,0
19,19,EHS,MEGAHIT,k141_13,12729,Escherichia_coli,0
20,20,EHS,MEGAHIT,k141_17,3877,Listeria_monocytogenes,0
21,21,EHS,MEGAHIT,k141_18,1513,Listeria_monocytogenes,0
22,22,EHS,MEGAHIT,k141_343,173345,Salmonella_enterica,0
23,23,EHS,MEGAHIT,k141_21,68788,Salmonella_enterica,0
24,24,EHS,MEGAHIT,k141_22,39838,Enterococcus_faecalis,0
25,25,EHS,MEGAHIT,k141_344,73102,Escherichia_coli,0
26,26,EHS,MEGAHIT,k141_1045,204706,Pseudomonas_aeruginosa,0
27,27,EHS,MEGAHIT,k141_1051,56854,Pseudomonas_aeruginosa,0
28,28,EHS,MEGAHIT,k141_347,174189,Staphylococcus_aureus,0
29,29,EHS,MEGAHIT,k141_704,415801,Salmonella_enterica,0
30,30,EHS,MEGAHIT,k141_24,246446,Staphylococcus_aureus,0
31,31,EHS,MEGAHIT,k141_24,246446,Staphylococcus_aureus,0
32,32,EHS,MEGAHIT,k141_25,4402,Escherichia_coli,0
33,33,EHS,MEGAHIT,k141_705,38301,Pseudomonas_aeruginosa,0
34,34,EHS,MEGAHIT,k141_706,16773,Salmonella_enterica,0
35,35,EHS,MEGAHIT,k141_708,2582,Escherichia_coli,0
36,36,EHS,MEGAHIT,k141_348,105123,Staphylococcus_aureus,0
37,37,EHS,MEGAHIT,k141_351,1314,Pseudomonas_aeruginosa,0
38,38,EHS,MEGAHIT,k141_711,5671,Lactobacillus_fermentum,0
39,39,EHS,MEGAHIT,k141_712,3793,Lactobacillus_fermentum,0
40,40,EHS,MEGAHIT,k141_358,33303,Enterococcus_faecalis,0
41,41,EHS,MEGAHIT,k141_29,156535,Bacillus_subtilis,0
42,42,EHS,MEGAHIT,k141_1052,225445,Salmonella_enterica,0
43,43,EHS,MEGAHIT,k141_31,41758,Lactobacillus_fermentum,0
44,44,EHS,MEGAHIT,k141_34,2431,Escherichia_coli,0
