,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EMS,MINIA,0,48641,Staphylococcus_aureus,0
1,1,EMS,MINIA,1,32741,Lactobacillus_fermentum,0
2,2,EMS,MINIA,5,9198,Staphylococcus_aureus,0
3,3,EMS,MINIA,7,13423,Lactobacillus_fermentum,0
4,4,EMS,MINIA,10,6633,Enterococcus_faecalis,0
5,5,EMS,MINIA,11,11775,Lactobacillus_fermentum,0
6,6,EMS,MINIA,12,19442,Enterococcus_faecalis,0
7,7,EMS,MINIA,17,1652,Lactobacillus_fermentum,0
8,8,EMS,MINIA,18,15308,Staphylococcus_aureus,0
9,9,EMS,MINIA,19,12091,Lactobacillus_fermentum,0
10,10,EMS,MINIA,20,36832,Lactobacillus_fermentum,0
11,11,EMS,MINIA,21,4340,Lactobacillus_fermentum,0
12,12,EMS,MINIA,22,20954,Lactobacillus_fermentum,0
13,13,EMS,MINIA,23,20520,Lactobacillus_fermentum,0
14,14,EMS,MINIA,24,7425,Lactobacillus_fermentum,0
15,15,EMS,MINIA,26,49846,Lactobacillus_fermentum,0
16,16,EMS,MINIA,27,1343,Lactobacillus_fermentum,0
17,17,EMS,MINIA,29,1071,Lactobacillus_fermentum,0
18,18,EMS,MINIA,30,4448,Lactobacillus_fermentum,0
19,19,EMS,MINIA,31,7780,Lactobacillus_fermentum,0
20,20,EMS,MINIA,33,6745,Lactobacillus_fermentum,0
21,21,EMS,MINIA,34,64777,Listeria_monocytogenes,0
22,22,EMS,MINIA,35,1095,Lactobacillus_fermentum,0
23,23,EMS,MINIA,36,9732,Lactobacillus_fermentum,0
24,24,EMS,MINIA,37,58693,Enterococcus_faecalis,0
25,25,EMS,MINIA,38,66009,Lactobacillus_fermentum,0
26,26,EMS,MINIA,39,1702,Lactobacillus_fermentum,0
27,27,EMS,MINIA,41,6409,Lactobacillus_fermentum,0
28,28,EMS,MINIA,42,6948,Lactobacillus_fermentum,0
29,29,EMS,MINIA,43,8605,Lactobacillus_fermentum,0
30,30,EMS,MINIA,44,24857,Lactobacillus_fermentum,0
31,31,EMS,MINIA,48,6996,Lactobacillus_fermentum,0
32,32,EMS,MINIA,51,2864,Lactobacillus_fermentum,0
33,33,EMS,MINIA,53,1120,Lactobacillus_fermentum,0
34,34,EMS,MINIA,54,31961,Staphylococcus_aureus,0
35,35,EMS,MINIA,55,10234,Lactobacillus_fermentum,0
36,36,EMS,MINIA,56,9743,Listeria_monocytogenes,0
37,37,EMS,MINIA,58,54391,Staphylococcus_aureus,0
38,38,EMS,MINIA,59,32898,Enterococcus_faecalis,0
39,39,EMS,MINIA,60,4979,Lactobacillus_fermentum,0
40,40,EMS,MINIA,61,18726,Lactobacillus_fermentum,0
41,41,EMS,MINIA,62,47539,Enterococcus_faecalis,0
42,42,EMS,MINIA,65,3037,Lactobacillus_fermentum,0
43,43,EMS,MINIA,66,32443,Staphylococcus_aureus,0
44,44,EMS,MINIA,70,6598,Lactobacillus_fermentum,0
45,45,EMS,MINIA,71,14571,Lactobacillus_fermentum,0
46,46,EMS,MINIA,72,12701,Lactobacillus_fermentum,0
47,47,EMS,MINIA,73,6307,Staphylococcus_aureus_plasmid1,0
48,48,EMS,MINIA,75,26282,Enterococcus_faecalis,0
49,49,EMS,MINIA,81,1980,Lactobacillus_fermentum,0
50,50,EMS,MINIA,82,2693,Lactobacillus_fermentum,0
51,51,EMS,MINIA,85,9276,Lactobacillus_fermentum,0
52,52,EMS,MINIA,86,9271,Lactobacillus_fermentum,0
53,53,EMS,MINIA,87,24917,Staphylococcus_aureus,0
54,54,EMS,MINIA,88,9335,Lactobacillus_fermentum,0
55,55,EMS,MINIA,89,2025,Lactobacillus_fermentum,0
56,56,EMS,MINIA,91,12686,Lactobacillus_fermentum,0
57,57,EMS,MINIA,92,1378,Lactobacillus_fermentum,0
58,58,EMS,MINIA,94,27368,Lactobacillus_fermentum,0
59,59,EMS,MINIA,97,20819,Staphylococcus_aureus,0
60,60,EMS,MINIA,98,6704,Lactobacillus_fermentum,0
61,61,EMS,MINIA,103,4640,Lactobacillus_fermentum,0
62,62,EMS,MINIA,104,13798,Lactobacillus_fermentum,0
63,63,EMS,MINIA,105,6403,Lactobacillus_fermentum,0
64,64,EMS,MINIA,106,20227,Lactobacillus_fermentum,0
65,65,EMS,MINIA,108,2215,Escherichia_coli,0
66,66,EMS,MINIA,115,1916,Pseudomonas_aeruginosa,0
67,67,EMS,MINIA,125,3461,Lactobacillus_fermentum,0
68,68,EMS,MINIA,127,12294,Lactobacillus_fermentum,0
69,69,EMS,MINIA,128,2921,Lactobacillus_fermentum,0
70,70,EMS,MINIA,130,32803,Enterococcus_faecalis,0
71,71,EMS,MINIA,132,2843,Lactobacillus_fermentum,0
72,72,EMS,MINIA,133,7820,Lactobacillus_fermentum,0
73,73,EMS,MINIA,134,3249,Lactobacillus_fermentum,0
74,74,EMS,MINIA,135,10984,Staphylococcus_aureus,0
75,75,EMS,MINIA,137,14174,Lactobacillus_fermentum,0
76,76,EMS,MINIA,138,5661,Staphylococcus_aureus,0
77,77,EMS,MINIA,139,1293,Lactobacillus_fermentum,0
78,78,EMS,MINIA,142,54587,Listeria_monocytogenes,0
79,79,EMS,MINIA,144,2566,Salmonella_enterica,0
80,80,EMS,MINIA,145,8209,Lactobacillus_fermentum,0
81,81,EMS,MINIA,146,3257,Lactobacillus_fermentum,0
82,82,EMS,MINIA,148,25661,Lactobacillus_fermentum,0
83,83,EMS,MINIA,153,1783,Lactobacillus_fermentum,0
84,84,EMS,MINIA,155,33800,Lactobacillus_fermentum,0
85,85,EMS,MINIA,157,14310,Lactobacillus_fermentum,0
86,86,EMS,MINIA,159,65134,Staphylococcus_aureus,0
87,87,EMS,MINIA,164,59082,Enterococcus_faecalis,0
88,88,EMS,MINIA,168,8993,Lactobacillus_fermentum,0
89,89,EMS,MINIA,170,28264,Lactobacillus_fermentum,0
90,90,EMS,MINIA,174,1920,Lactobacillus_fermentum,0
91,91,EMS,MINIA,178,51876,Staphylococcus_aureus,0
92,92,EMS,MINIA,179,4475,Lactobacillus_fermentum,0
93,93,EMS,MINIA,185,35769,Enterococcus_faecalis,0
94,94,EMS,MINIA,187,7471,Lactobacillus_fermentum,0
95,95,EMS,MINIA,188,59845,Listeria_monocytogenes,0
96,96,EMS,MINIA,189,5867,Lactobacillus_fermentum,0
97,97,EMS,MINIA,192,6786,Lactobacillus_fermentum,0
98,98,EMS,MINIA,193,24708,Lactobacillus_fermentum,0
99,99,EMS,MINIA,194,14906,Staphylococcus_aureus,0
100,100,EMS,MINIA,195,11721,Enterococcus_faecalis,0
101,101,EMS,MINIA,197,26629,Staphylococcus_aureus,0
102,102,EMS,MINIA,198,5890,Lactobacillus_fermentum,0
103,103,EMS,MINIA,199,8784,Lactobacillus_fermentum,0
104,104,EMS,MINIA,202,20323,Listeria_monocytogenes,0
105,105,EMS,MINIA,203,11486,Lactobacillus_fermentum,0
106,106,EMS,MINIA,207,1079,Escherichia_coli,0
107,107,EMS,MINIA,209,34640,Staphylococcus_aureus,0
108,108,EMS,MINIA,211,7125,Lactobacillus_fermentum,0
109,109,EMS,MINIA,212,1698,Salmonella_enterica,0
110,110,EMS,MINIA,213,19680,Enterococcus_faecalis,0
111,111,EMS,MINIA,214,58845,Enterococcus_faecalis,0
112,112,EMS,MINIA,216,32297,Staphylococcus_aureus,0
113,113,EMS,MINIA,217,8267,Lactobacillus_fermentum,0
114,114,EMS,MINIA,218,21030,Lactobacillus_fermentum,0
115,115,EMS,MINIA,220,6890,Lactobacillus_fermentum,0
116,116,EMS,MINIA,221,11431,Lactobacillus_fermentum,0
117,117,EMS,MINIA,225,10997,Staphylococcus_aureus,0
118,118,EMS,MINIA,228,1400,Lactobacillus_fermentum,0
119,119,EMS,MINIA,230,14845,Staphylococcus_aureus,0
120,120,EMS,MINIA,236,30203,Listeria_monocytogenes,0
121,121,EMS,MINIA,237,14277,Enterococcus_faecalis,0
122,122,EMS,MINIA,238,24744,Staphylococcus_aureus,0
123,123,EMS,MINIA,242,29167,Enterococcus_faecalis,0
124,124,EMS,MINIA,245,50336,Staphylococcus_aureus,0
125,125,EMS,MINIA,249,1618,Lactobacillus_fermentum,0
126,126,EMS,MINIA,251,31764,Lactobacillus_fermentum,0
127,127,EMS,MINIA,254,32376,Staphylococcus_aureus,0
128,128,EMS,MINIA,256,27395,Listeria_monocytogenes,0
129,129,EMS,MINIA,269,18111,Bacillus_subtilis,0
130,130,EMS,MINIA,280,1209,Bacillus_subtilis,0
131,131,EMS,MINIA,282,11390,Lactobacillus_fermentum,0
132,132,EMS,MINIA,286,7145,Lactobacillus_fermentum,0
133,133,EMS,MINIA,287,2179,Lactobacillus_fermentum,0
134,134,EMS,MINIA,288,33943,Staphylococcus_aureus,0
135,135,EMS,MINIA,289,14406,Lactobacillus_fermentum,0
136,136,EMS,MINIA,291,54570,Listeria_monocytogenes,0
137,137,EMS,MINIA,292,49176,Enterococcus_faecalis,0
138,138,EMS,MINIA,295,9559,Lactobacillus_fermentum,0
139,139,EMS,MINIA,296,3158,Lactobacillus_fermentum,0
140,140,EMS,MINIA,297,3564,Lactobacillus_fermentum,0
141,141,EMS,MINIA,303,3943,Lactobacillus_fermentum,0
142,142,EMS,MINIA,304,30453,Enterococcus_faecalis,0
143,143,EMS,MINIA,310,9416,Lactobacillus_fermentum,0
144,144,EMS,MINIA,311,1477,Lactobacillus_fermentum,0
145,145,EMS,MINIA,312,11504,Lactobacillus_fermentum,0
146,146,EMS,MINIA,315,1511,Lactobacillus_fermentum,0
147,147,EMS,MINIA,316,26365,Enterococcus_faecalis,0
148,148,EMS,MINIA,319,2177,Lactobacillus_fermentum,0
149,149,EMS,MINIA,320,1766,Lactobacillus_fermentum,0
150,150,EMS,MINIA,322,13227,Staphylococcus_aureus,0
151,151,EMS,MINIA,323,25660,Staphylococcus_aureus,0
152,152,EMS,MINIA,324,11549,Lactobacillus_fermentum,0
153,153,EMS,MINIA,325,30496,Lactobacillus_fermentum,0
154,154,EMS,MINIA,326,2687,Lactobacillus_fermentum,0
155,155,EMS,MINIA,336,90652,Staphylococcus_aureus,0
156,156,EMS,MINIA,337,6466,Lactobacillus_fermentum,0
157,157,EMS,MINIA,346,2560,Lactobacillus_fermentum,0
158,158,EMS,MINIA,353,26836,Lactobacillus_fermentum,0
159,159,EMS,MINIA,355,3586,Lactobacillus_fermentum,0
160,160,EMS,MINIA,360,10966,Lactobacillus_fermentum,0
161,161,EMS,MINIA,361,3677,Lactobacillus_fermentum,0
162,162,EMS,MINIA,362,3832,Lactobacillus_fermentum,0
163,163,EMS,MINIA,366,1299,Lactobacillus_fermentum,0
164,164,EMS,MINIA,369,19222,Listeria_monocytogenes,0
165,165,EMS,MINIA,370,80235,Enterococcus_faecalis,0
166,166,EMS,MINIA,371,4552,Pseudomonas_aeruginosa,0
167,167,EMS,MINIA,372,38557,Enterococcus_faecalis,0
168,168,EMS,MINIA,374,33629,Staphylococcus_aureus,0
169,169,EMS,MINIA,376,3245,Lactobacillus_fermentum,0
170,170,EMS,MINIA,381,2930,Lactobacillus_fermentum,0
171,171,EMS,MINIA,382,8709,Lactobacillus_fermentum,0
172,172,EMS,MINIA,384,20100,Lactobacillus_fermentum,0
173,173,EMS,MINIA,388,2785,Lactobacillus_fermentum,0
174,174,EMS,MINIA,389,9098,Lactobacillus_fermentum,0
175,175,EMS,MINIA,391,12199,Lactobacillus_fermentum,0
176,176,EMS,MINIA,392,9103,Lactobacillus_fermentum,0
177,177,EMS,MINIA,393,22913,Staphylococcus_aureus,0
178,178,EMS,MINIA,394,19307,Staphylococcus_aureus,0
179,179,EMS,MINIA,395,25152,Lactobacillus_fermentum,0
180,180,EMS,MINIA,403,7427,Lactobacillus_fermentum,0
181,181,EMS,MINIA,406,19690,Enterococcus_faecalis,0
182,182,EMS,MINIA,409,3627,Lactobacillus_fermentum,0
183,183,EMS,MINIA,410,4298,Listeria_monocytogenes,0
184,184,EMS,MINIA,414,21529,Enterococcus_faecalis,0
185,185,EMS,MINIA,415,6875,Lactobacillus_fermentum,0
186,186,EMS,MINIA,417,22204,Enterococcus_faecalis,0
187,187,EMS,MINIA,421,1764,Lactobacillus_fermentum,0
188,188,EMS,MINIA,422,22986,Staphylococcus_aureus,0
189,189,EMS,MINIA,423,4682,Staphylococcus_aureus,0
190,190,EMS,MINIA,424,60508,Enterococcus_faecalis,0
191,191,EMS,MINIA,428,1001,Lactobacillus_fermentum,0
192,192,EMS,MINIA,429,29781,Listeria_monocytogenes,0
193,193,EMS,MINIA,438,18983,Bacillus_subtilis,0
194,194,EMS,MINIA,439,29376,Staphylococcus_aureus,0
195,195,EMS,MINIA,448,30412,Lactobacillus_fermentum,0
196,196,EMS,MINIA,449,10912,Lactobacillus_fermentum,0
197,197,EMS,MINIA,450,14834,Enterococcus_faecalis,0
198,198,EMS,MINIA,453,27809,Staphylococcus_aureus,0
199,199,EMS,MINIA,454,4744,Lactobacillus_fermentum,0
200,200,EMS,MINIA,463,46258,Staphylococcus_aureus,0
201,201,EMS,MINIA,464,1105,Lactobacillus_fermentum,0
202,202,EMS,MINIA,469,4882,Lactobacillus_fermentum,0
203,203,EMS,MINIA,473,50907,Bacillus_subtilis,0
204,204,EMS,MINIA,476,10444,Staphylococcus_aureus,0
205,205,EMS,MINIA,477,30086,Staphylococcus_aureus,0
206,206,EMS,MINIA,481,1336,Lactobacillus_fermentum,0
207,207,EMS,MINIA,483,1830,Enterococcus_faecalis,0
208,208,EMS,MINIA,513,1823,Listeria_monocytogenes,0
209,209,EMS,MINIA,514,8179,Lactobacillus_fermentum,0
210,210,EMS,MINIA,517,2082,Lactobacillus_fermentum,0
211,211,EMS,MINIA,521,8737,Lactobacillus_fermentum,0
212,212,EMS,MINIA,526,3221,Lactobacillus_fermentum,0
213,213,EMS,MINIA,527,10007,Lactobacillus_fermentum,0
214,214,EMS,MINIA,532,2132,Lactobacillus_fermentum,0
215,215,EMS,MINIA,536,33649,Salmonella_enterica,0
216,216,EMS,MINIA,539,33967,Staphylococcus_aureus,0
217,217,EMS,MINIA,541,9529,Lactobacillus_fermentum,0
218,218,EMS,MINIA,542,87316,Listeria_monocytogenes,0
219,219,EMS,MINIA,544,4584,Lactobacillus_fermentum,0
220,220,EMS,MINIA,545,1754,Lactobacillus_fermentum,0
221,221,EMS,MINIA,546,5237,Lactobacillus_fermentum,0
222,222,EMS,MINIA,547,2849,Lactobacillus_fermentum,0
223,223,EMS,MINIA,549,4867,Listeria_monocytogenes,0
224,224,EMS,MINIA,550,15189,Lactobacillus_fermentum,0
225,225,EMS,MINIA,553,46963,Listeria_monocytogenes,0
226,226,EMS,MINIA,554,46114,Staphylococcus_aureus,0
227,227,EMS,MINIA,561,37019,Enterococcus_faecalis,0
228,228,EMS,MINIA,562,15930,Staphylococcus_aureus,0
229,229,EMS,MINIA,565,34354,Enterococcus_faecalis,0
230,230,EMS,MINIA,569,8400,Lactobacillus_fermentum,0
231,231,EMS,MINIA,572,20263,Staphylococcus_aureus,0
232,232,EMS,MINIA,574,23353,Enterococcus_faecalis,0
233,233,EMS,MINIA,576,6044,Lactobacillus_fermentum,0
234,234,EMS,MINIA,583,7740,Staphylococcus_aureus,0
235,235,EMS,MINIA,585,62152,Staphylococcus_aureus,0
236,236,EMS,MINIA,586,10836,Lactobacillus_fermentum,0
237,237,EMS,MINIA,589,7940,Lactobacillus_fermentum,0
238,238,EMS,MINIA,590,2613,Lactobacillus_fermentum,0
239,239,EMS,MINIA,591,7325,Lactobacillus_fermentum,0
240,240,EMS,MINIA,592,29915,Staphylococcus_aureus,0
241,241,EMS,MINIA,598,28180,Listeria_monocytogenes,0
242,242,EMS,MINIA,601,3087,Lactobacillus_fermentum,0
243,243,EMS,MINIA,602,6649,Lactobacillus_fermentum,0
244,244,EMS,MINIA,607,5149,Lactobacillus_fermentum,0
245,245,EMS,MINIA,612,73760,Bacillus_subtilis,0
246,246,EMS,MINIA,615,5817,Lactobacillus_fermentum,0
247,247,EMS,MINIA,616,11209,Lactobacillus_fermentum,0
248,248,EMS,MINIA,621,11293,Lactobacillus_fermentum,0
249,249,EMS,MINIA,628,80538,Listeria_monocytogenes,0
250,250,EMS,MINIA,633,7461,Staphylococcus_aureus,0
251,251,EMS,MINIA,635,46840,Enterococcus_faecalis,0
252,252,EMS,MINIA,637,14020,Staphylococcus_aureus,0
253,253,EMS,MINIA,642,26164,Listeria_monocytogenes,0
254,254,EMS,MINIA,643,8959,Salmonella_enterica,0
255,255,EMS,MINIA,647,9798,Enterococcus_faecalis,0
256,256,EMS,MINIA,648,6733,Listeria_monocytogenes,0
257,257,EMS,MINIA,649,24005,Enterococcus_faecalis,0
258,258,EMS,MINIA,650,9749,Lactobacillus_fermentum,0
259,259,EMS,MINIA,654,90282,Listeria_monocytogenes,0
260,260,EMS,MINIA,666,36936,Listeria_monocytogenes,0
261,261,EMS,MINIA,668,46239,Enterococcus_faecalis,0
262,262,EMS,MINIA,677,8662,Listeria_monocytogenes,0
263,263,EMS,MINIA,682,54893,Enterococcus_faecalis,0
264,264,EMS,MINIA,683,40626,Enterococcus_faecalis,0
265,265,EMS,MINIA,685,98666,Bacillus_subtilis,0
266,266,EMS,MINIA,686,6576,Bacillus_subtilis,0
267,267,EMS,MINIA,690,7843,Lactobacillus_fermentum,0
268,268,EMS,MINIA,696,2803,Lactobacillus_fermentum,0
269,269,EMS,MINIA,697,1591,Lactobacillus_fermentum,0
270,270,EMS,MINIA,701,2152,Staphylococcus_aureus,0
271,271,EMS,MINIA,706,11917,Staphylococcus_aureus,0
272,272,EMS,MINIA,714,5752,Lactobacillus_fermentum,0
273,273,EMS,MINIA,728,4668,Staphylococcus_aureus,0
274,274,EMS,MINIA,729,5557,Lactobacillus_fermentum,0
275,275,EMS,MINIA,730,9773,Enterococcus_faecalis,0
276,276,EMS,MINIA,732,11036,Lactobacillus_fermentum,0
277,277,EMS,MINIA,737,2331,Lactobacillus_fermentum,0
278,278,EMS,MINIA,739,10443,Staphylococcus_aureus,0
279,279,EMS,MINIA,741,3815,Lactobacillus_fermentum,0
280,280,EMS,MINIA,742,29165,Staphylococcus_aureus,0
281,281,EMS,MINIA,743,30357,Staphylococcus_aureus,0
282,282,EMS,MINIA,745,3146,Lactobacillus_fermentum,0
283,283,EMS,MINIA,747,8867,Lactobacillus_fermentum,0
284,284,EMS,MINIA,755,24019,Staphylococcus_aureus,0
285,285,EMS,MINIA,757,6511,Lactobacillus_fermentum,0
286,286,EMS,MINIA,761,3002,Salmonella_enterica,0
287,287,EMS,MINIA,763,10373,Enterococcus_faecalis,0
288,288,EMS,MINIA,765,14818,Listeria_monocytogenes,0
289,289,EMS,MINIA,766,13060,Enterococcus_faecalis,0
290,290,EMS,MINIA,768,13456,Lactobacillus_fermentum,0
291,291,EMS,MINIA,769,11372,Lactobacillus_fermentum,0
292,292,EMS,MINIA,770,161812,Listeria_monocytogenes,0
293,293,EMS,MINIA,776,17258,Listeria_monocytogenes,0
294,294,EMS,MINIA,777,40136,Enterococcus_faecalis,0
295,295,EMS,MINIA,778,2697,Listeria_monocytogenes,0
296,296,EMS,MINIA,779,3023,Lactobacillus_fermentum,0
297,297,EMS,MINIA,789,11120,Lactobacillus_fermentum,0
298,298,EMS,MINIA,790,11491,Staphylococcus_aureus,0
299,299,EMS,MINIA,791,1872,Lactobacillus_fermentum,0
300,300,EMS,MINIA,792,17841,Staphylococcus_aureus,0
301,301,EMS,MINIA,794,4092,Lactobacillus_fermentum,0
302,302,EMS,MINIA,796,4086,Staphylococcus_aureus,0
303,303,EMS,MINIA,798,9080,Lactobacillus_fermentum,0
304,304,EMS,MINIA,807,54115,Listeria_monocytogenes,0
305,305,EMS,MINIA,810,3805,Lactobacillus_fermentum,0
306,306,EMS,MINIA,812,3229,Lactobacillus_fermentum,0
307,307,EMS,MINIA,813,8428,Enterococcus_faecalis,0
308,308,EMS,MINIA,814,12798,Enterococcus_faecalis,0
309,309,EMS,MINIA,817,32429,Staphylococcus_aureus,0
310,310,EMS,MINIA,818,2245,Lactobacillus_fermentum,0
311,311,EMS,MINIA,825,1823,Salmonella_enterica,0
312,312,EMS,MINIA,827,16237,Staphylococcus_aureus,0
313,313,EMS,MINIA,830,19955,Staphylococcus_aureus,0
314,314,EMS,MINIA,831,8033,Listeria_monocytogenes,0
315,315,EMS,MINIA,835,4409,Escherichia_coli,0
316,316,EMS,MINIA,837,3494,Lactobacillus_fermentum,0
317,317,EMS,MINIA,839,2978,Lactobacillus_fermentum,0
318,318,EMS,MINIA,849,1651,Lactobacillus_fermentum,0
319,319,EMS,MINIA,852,23437,Staphylococcus_aureus,0
320,320,EMS,MINIA,859,9862,Enterococcus_faecalis,0
321,321,EMS,MINIA,862,2319,Staphylococcus_aureus,0
322,322,EMS,MINIA,864,15565,Listeria_monocytogenes,0
323,323,EMS,MINIA,874,4442,Escherichia_coli,0
324,324,EMS,MINIA,876,28569,Listeria_monocytogenes,0
325,325,EMS,MINIA,879,40051,Bacillus_subtilis,0
326,326,EMS,MINIA,891,1260,Escherichia_coli,0
327,327,EMS,MINIA,909,1678,Salmonella_enterica,0
328,328,EMS,MINIA,911,24055,Staphylococcus_aureus,0
329,329,EMS,MINIA,915,1846,Pseudomonas_aeruginosa,0
330,330,EMS,MINIA,919,3395,Staphylococcus_aureus,0
331,331,EMS,MINIA,921,69010,Bacillus_subtilis,0
332,332,EMS,MINIA,925,34801,Listeria_monocytogenes,0
333,333,EMS,MINIA,941,130628,Enterococcus_faecalis,0
334,334,EMS,MINIA,944,7930,Lactobacillus_fermentum,0
335,335,EMS,MINIA,945,25107,Enterococcus_faecalis,0
336,336,EMS,MINIA,947,3234,Lactobacillus_fermentum,0
337,337,EMS,MINIA,948,11122,Lactobacillus_fermentum,0
338,338,EMS,MINIA,952,4426,Enterococcus_faecalis,0
339,339,EMS,MINIA,958,25557,Enterococcus_faecalis,0
340,340,EMS,MINIA,964,29647,Staphylococcus_aureus,0
341,341,EMS,MINIA,965,2483,Lactobacillus_fermentum,0
342,342,EMS,MINIA,966,34850,Enterococcus_faecalis,0
343,343,EMS,MINIA,967,34423,Enterococcus_faecalis,0
344,344,EMS,MINIA,968,6240,Enterococcus_faecalis,0
345,345,EMS,MINIA,970,2582,Lactobacillus_fermentum,0
346,346,EMS,MINIA,973,2656,Lactobacillus_fermentum,0
347,347,EMS,MINIA,975,3440,Lactobacillus_fermentum,0
348,348,EMS,MINIA,976,2821,Lactobacillus_fermentum,0
349,349,EMS,MINIA,977,5414,Lactobacillus_fermentum,0
350,350,EMS,MINIA,980,6904,Enterococcus_faecalis,0
351,351,EMS,MINIA,981,10225,Lactobacillus_fermentum,0
352,352,EMS,MINIA,986,1751,Lactobacillus_fermentum,0
353,353,EMS,MINIA,991,3024,Lactobacillus_fermentum,0
354,354,EMS,MINIA,992,1312,Salmonella_enterica,0
355,355,EMS,MINIA,996,7428,Lactobacillus_fermentum,0
356,356,EMS,MINIA,999,4390,Lactobacillus_fermentum,0
357,357,EMS,MINIA,1002,2403,Escherichia_coli,0
358,358,EMS,MINIA,1012,1552,Listeria_monocytogenes,0
359,359,EMS,MINIA,1014,24123,Listeria_monocytogenes,0
360,360,EMS,MINIA,1019,30356,Enterococcus_faecalis,0
361,361,EMS,MINIA,1020,1696,Lactobacillus_fermentum,0
362,362,EMS,MINIA,1021,45704,Staphylococcus_aureus,0
363,363,EMS,MINIA,1025,1649,Lactobacillus_fermentum,0
364,364,EMS,MINIA,1038,97170,Listeria_monocytogenes,0
365,365,EMS,MINIA,1041,5378,Staphylococcus_aureus,0
366,366,EMS,MINIA,1042,43776,Staphylococcus_aureus,0
