,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ENN,SPAdes,Bacillus_subtilis,4045677.0,209052,210232
1,ENN,SPAdes,Bacillus_subtilis,4045677.0,233473,234549
2,ENN,SPAdes,Bacillus_subtilis,4045677.0,371738,372871
3,ENN,SPAdes,Bacillus_subtilis,4045677.0,642278,642654
4,ENN,SPAdes,Bacillus_subtilis,4045677.0,645527,645738
5,ENN,SPAdes,Bacillus_subtilis,4045677.0,1059655,1060831
6,ENN,SPAdes,Bacillus_subtilis,4045677.0,1355207,1356374
7,ENN,SPAdes,Bacillus_subtilis,4045677.0,1671419,1672602
8,ENN,SPAdes,Bacillus_subtilis,4045677.0,1709662,1716615
9,ENN,SPAdes,Bacillus_subtilis,4045677.0,1754883,1756059
10,ENN,SPAdes,Bacillus_subtilis,4045677.0,2019255,2020052
11,ENN,SPAdes,Bacillus_subtilis,4045677.0,2788923,2790677
12,ENN,SPAdes,Bacillus_subtilis,4045677.0,2792510,2793886
13,ENN,SPAdes,Bacillus_subtilis,4045677.0,2809368,2814497
14,ENN,SPAdes,Bacillus_subtilis,4045677.0,2869711,2880485
15,ENN,SPAdes,Bacillus_subtilis,4045677.0,2940237,2955744
16,ENN,SPAdes,Bacillus_subtilis,4045677.0,2973903,2974213
17,ENN,SPAdes,Bacillus_subtilis,4045677.0,3078156,3078897
18,ENN,SPAdes,Bacillus_subtilis,4045677.0,3404327,3409445
19,ENN,SPAdes,Bacillus_subtilis,4045677.0,3438897,3440075
20,ENN,SPAdes,Bacillus_subtilis,4045677.0,3697097,3701810
21,ENN,SPAdes,Enterococcus_faecalis,2845392.0,539071,539747
22,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1040159,1040874
23,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1088012,1092814
24,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1122030,1123435
25,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1362534,1367333
26,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1403416,1403500
27,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1404595,1404882
28,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1438909,1439754
29,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1577168,1578155
30,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1684900,1686527
31,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1716932,1719180
32,ENN,SPAdes,Enterococcus_faecalis,2845392.0,1805193,1812831
33,ENN,SPAdes,Enterococcus_faecalis,2845392.0,2424668,2430720
34,ENN,SPAdes,Enterococcus_faecalis,2845392.0,2449208,2449923
35,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,18071,18395
36,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,31051,31054
37,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,40499,41162
38,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,56599,56614
39,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,68836,69830
40,ENN,SPAdes,Escherichia_coli_plasmid,110007.0,97264,97468
41,ENN,SPAdes,Escherichia_coli,4765434.0,14501,14863
42,ENN,SPAdes,Escherichia_coli,4765434.0,16057,16760
43,ENN,SPAdes,Escherichia_coli,4765434.0,342145,342632
44,ENN,SPAdes,Escherichia_coli,4765434.0,357991,358648
45,ENN,SPAdes,Escherichia_coli,4765434.0,455691,455881
46,ENN,SPAdes,Escherichia_coli,4765434.0,458462,461056
47,ENN,SPAdes,Escherichia_coli,4765434.0,466947,467403
48,ENN,SPAdes,Escherichia_coli,4765434.0,494747,495266
49,ENN,SPAdes,Escherichia_coli,4765434.0,497634,498609
50,ENN,SPAdes,Escherichia_coli,4765434.0,512985,514397
51,ENN,SPAdes,Escherichia_coli,4765434.0,532622,533284
52,ENN,SPAdes,Escherichia_coli,4765434.0,564958,565163
53,ENN,SPAdes,Escherichia_coli,4765434.0,577818,578477
54,ENN,SPAdes,Escherichia_coli,4765434.0,641397,641473
55,ENN,SPAdes,Escherichia_coli,4765434.0,677251,678489
56,ENN,SPAdes,Escherichia_coli,4765434.0,907448,913736
57,ENN,SPAdes,Escherichia_coli,4765434.0,927519,931314
58,ENN,SPAdes,Escherichia_coli,4765434.0,1021463,1021687
59,ENN,SPAdes,Escherichia_coli,4765434.0,1040899,1041945
60,ENN,SPAdes,Escherichia_coli,4765434.0,1044656,1045664
61,ENN,SPAdes,Escherichia_coli,4765434.0,1102329,1102375
62,ENN,SPAdes,Escherichia_coli,4765434.0,1116673,1117313
63,ENN,SPAdes,Escherichia_coli,4765434.0,1241451,1242049
64,ENN,SPAdes,Escherichia_coli,4765434.0,1261571,1262924
65,ENN,SPAdes,Escherichia_coli,4765434.0,1264007,1266919
66,ENN,SPAdes,Escherichia_coli,4765434.0,1312010,1312768
67,ENN,SPAdes,Escherichia_coli,4765434.0,1377537,1378056
68,ENN,SPAdes,Escherichia_coli,4765434.0,1442322,1442899
69,ENN,SPAdes,Escherichia_coli,4765434.0,1489108,1489918
70,ENN,SPAdes,Escherichia_coli,4765434.0,1521495,1522010
71,ENN,SPAdes,Escherichia_coli,4765434.0,1529328,1530761
72,ENN,SPAdes,Escherichia_coli,4765434.0,1564713,1568691
73,ENN,SPAdes,Escherichia_coli,4765434.0,1570037,1572445
74,ENN,SPAdes,Escherichia_coli,4765434.0,1580842,1581504
75,ENN,SPAdes,Escherichia_coli,4765434.0,1584710,1584857
76,ENN,SPAdes,Escherichia_coli,4765434.0,1718145,1718907
77,ENN,SPAdes,Escherichia_coli,4765434.0,1736378,1737615
78,ENN,SPAdes,Escherichia_coli,4765434.0,1807727,1808387
79,ENN,SPAdes,Escherichia_coli,4765434.0,1814366,1819439
80,ENN,SPAdes,Escherichia_coli,4765434.0,1923493,1924188
81,ENN,SPAdes,Escherichia_coli,4765434.0,1964718,1966599
82,ENN,SPAdes,Escherichia_coli,4765434.0,1968075,1968977
83,ENN,SPAdes,Escherichia_coli,4765434.0,1969980,1973613
84,ENN,SPAdes,Escherichia_coli,4765434.0,2006088,2006693
85,ENN,SPAdes,Escherichia_coli,4765434.0,2092680,2093915
86,ENN,SPAdes,Escherichia_coli,4765434.0,2153902,2155520
