,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EMS,BCALM2,55170,1154,Salmonella_enterica,0
1,1,EMS,BCALM2,55206,1292,Pseudomonas_aeruginosa,0
2,2,EMS,BCALM2,55269,1328,Escherichia_coli,0
3,3,EMS,BCALM2,55302,1190,Bacillus_subtilis,0
4,4,EMS,BCALM2,55361,2338,Pseudomonas_aeruginosa,0
5,5,EMS,BCALM2,55445,1011,Enterococcus_faecalis,0
6,6,EMS,BCALM2,55584,1308,Salmonella_enterica,0
7,7,EMS,BCALM2,55631,1825,Salmonella_enterica,0
8,8,EMS,BCALM2,55687,7630,Pseudomonas_aeruginosa,0
9,9,EMS,BCALM2,55690,1867,Escherichia_coli,0
10,10,EMS,BCALM2,55826,1205,Enterococcus_faecalis,0
11,11,EMS,BCALM2,55827,1785,Escherichia_coli,0
12,12,EMS,BCALM2,55856,1847,Bacillus_subtilis,0
13,13,EMS,BCALM2,55858,1131,Salmonella_enterica,0
14,14,EMS,BCALM2,55885,9750,Pseudomonas_aeruginosa,0
15,15,EMS,BCALM2,55923,1737,Bacillus_subtilis,0
16,16,EMS,BCALM2,55963,2417,Escherichia_coli,0
17,17,EMS,BCALM2,56011,1584,Bacillus_subtilis,0
18,18,EMS,BCALM2,56018,1105,Listeria_monocytogenes,0
19,19,EMS,BCALM2,56059,1681,Bacillus_subtilis,0
20,20,EMS,BCALM2,56074,1029,Bacillus_subtilis,0
21,21,EMS,BCALM2,56142,5455,Pseudomonas_aeruginosa,0
22,22,EMS,BCALM2,56148,4421,Salmonella_enterica,0
23,23,EMS,BCALM2,56150,1116,Salmonella_enterica,0
24,24,EMS,BCALM2,56181,2467,Escherichia_coli,0
25,25,EMS,BCALM2,56234,1086,Bacillus_subtilis,0
26,26,EMS,BCALM2,56345,1450,Enterococcus_faecalis,0
27,27,EMS,BCALM2,56348,1017,Escherichia_coli,0
28,28,EMS,BCALM2,56353,2367,Bacillus_subtilis,0
29,29,EMS,BCALM2,56358,2190,Salmonella_enterica,0
30,30,EMS,BCALM2,56401,1042,Enterococcus_faecalis,0
31,31,EMS,BCALM2,56402,1019,Salmonella_enterica,0
32,32,EMS,BCALM2,56419,2634,Salmonella_enterica,0
33,33,EMS,BCALM2,56499,1131,Listeria_monocytogenes,0
34,34,EMS,BCALM2,56515,1442,Bacillus_subtilis,0
35,35,EMS,BCALM2,56522,2452,Pseudomonas_aeruginosa,0
36,36,EMS,BCALM2,56536,5373,Pseudomonas_aeruginosa,0
37,37,EMS,BCALM2,56608,2643,Escherichia_coli,0
38,38,EMS,BCALM2,56686,4456,Salmonella_enterica,0
39,39,EMS,BCALM2,56725,1330,Salmonella_enterica,0
40,40,EMS,BCALM2,56749,1193,Listeria_monocytogenes,0
41,41,EMS,BCALM2,56770,1037,Escherichia_coli,0
42,42,EMS,BCALM2,56798,5414,Pseudomonas_aeruginosa,0
43,43,EMS,BCALM2,56838,2519,Salmonella_enterica,0
44,44,EMS,BCALM2,56842,2767,Bacillus_subtilis,0
45,45,EMS,BCALM2,56850,2182,Pseudomonas_aeruginosa,0
46,46,EMS,BCALM2,56952,1389,Bacillus_subtilis,0
47,47,EMS,BCALM2,56961,1732,Bacillus_subtilis,0
48,48,EMS,BCALM2,56969,1588,Salmonella_enterica,0
49,49,EMS,BCALM2,56972,1228,Pseudomonas_aeruginosa,0
50,50,EMS,BCALM2,56982,2895,Salmonella_enterica,0
51,51,EMS,BCALM2,57003,2137,Pseudomonas_aeruginosa,0
52,52,EMS,BCALM2,57031,2656,Bacillus_subtilis,0
53,53,EMS,BCALM2,57036,3372,Salmonella_enterica,0
54,54,EMS,BCALM2,57103,2777,Salmonella_enterica,0
55,55,EMS,BCALM2,57168,2155,Salmonella_enterica,0
56,56,EMS,BCALM2,57193,1622,Escherichia_coli,0
57,57,EMS,BCALM2,57244,2188,Listeria_monocytogenes,0
58,58,EMS,BCALM2,57273,3124,Bacillus_subtilis,0
59,59,EMS,BCALM2,57346,4079,Salmonella_enterica,0
60,60,EMS,BCALM2,57373,5418,Pseudomonas_aeruginosa,0
61,61,EMS,BCALM2,57409,1466,Escherichia_coli,0
62,62,EMS,BCALM2,57410,4569,Pseudomonas_aeruginosa,0
63,63,EMS,BCALM2,57415,1433,Bacillus_subtilis,0
64,64,EMS,BCALM2,57429,4417,Escherichia_coli,0
65,65,EMS,BCALM2,57440,2245,Pseudomonas_aeruginosa,0
66,66,EMS,BCALM2,57443,4738,Escherichia_coli,0
67,67,EMS,BCALM2,57470,2292,Bacillus_subtilis,0
68,68,EMS,BCALM2,57477,1021,Listeria_monocytogenes,0
69,69,EMS,BCALM2,57478,1244,Salmonella_enterica,0
70,70,EMS,BCALM2,57580,1204,Escherichia_coli,0
71,71,EMS,BCALM2,57612,1307,Enterococcus_faecalis,0
72,72,EMS,BCALM2,57619,1622,Salmonella_enterica,0
73,73,EMS,BCALM2,57629,2909,Escherichia_coli,0
74,74,EMS,BCALM2,57717,1609,Escherichia_coli,0
75,75,EMS,BCALM2,57758,1316,Escherichia_coli,0
76,76,EMS,BCALM2,57795,1500,Pseudomonas_aeruginosa,0
77,77,EMS,BCALM2,57830,3578,Escherichia_coli,0
78,78,EMS,BCALM2,57842,1225,Salmonella_enterica,0
79,79,EMS,BCALM2,57853,1637,Salmonella_enterica,0
80,80,EMS,BCALM2,57860,2123,Escherichia_coli,0
