,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,Unicycler,Bacillus_subtilis,4,768092,60
1,Unicycler,Bacillus_subtilis,5,552026,60
2,Unicycler,Bacillus_subtilis,10,428897,56.323530085049605
3,Unicycler,Bacillus_subtilis,19,324878,60
4,Unicycler,Bacillus_subtilis,20,314937,60
5,Unicycler,Bacillus_subtilis,23,294290,60
6,Unicycler,Bacillus_subtilis,26,263166,60
7,Unicycler,Bacillus_subtilis,29,257087,60
8,Unicycler,Bacillus_subtilis,31,252455,60
9,Unicycler,Bacillus_subtilis,66,137111,60
10,Unicycler,Bacillus_subtilis,71,122304,60
11,Unicycler,Bacillus_subtilis,112,59631,60
12,Unicycler,Bacillus_subtilis,114,55137,60
13,Unicycler,Bacillus_subtilis,131,38260,60
14,Unicycler,Bacillus_subtilis,134,37699,60
15,Unicycler,Bacillus_subtilis,146,29593,60
16,Unicycler,Bacillus_subtilis,158,23137,60
17,Unicycler,Bacillus_subtilis,180,15446,60
18,Unicycler,Bacillus_subtilis,292,1361,60
19,Unicycler,Enterococcus_faecalis,1,1301952,52.115049860915555
20,Unicycler,Enterococcus_faecalis,15,377104,60
21,Unicycler,Enterococcus_faecalis,34,238501,60
22,Unicycler,Enterococcus_faecalis,35,234974,60
23,Unicycler,Enterococcus_faecalis,45,199433,60
24,Unicycler,Enterococcus_faecalis,58,171239,46.31542691653629
25,Unicycler,Enterococcus_faecalis,83,105394,60
26,Unicycler,Enterococcus_faecalis,95,86023,60
27,Unicycler,Enterococcus_faecalis,138,35550,60
28,Unicycler,Enterococcus_faecalis,145,30475,60
29,Unicycler,Enterococcus_faecalis,147,29107,60
30,Unicycler,Enterococcus_faecalis,257,2056,60
31,Unicycler,Enterococcus_faecalis,279,1514,60
32,Unicycler,Enterococcus_faecalis,297,1315,60
33,Unicycler,Enterococcus_faecalis,299,1295,60
34,Unicycler,Enterococcus_faecalis,312,1124,60
35,Unicycler,Enterococcus_faecalis,313,1111,60
36,Unicycler,Enterococcus_faecalis,322,1048,30.20361282647688
37,Unicycler,Escherichia_coli_plasmid,80,108703,60
38,Unicycler,Escherichia_coli,9,430803,60
39,Unicycler,Escherichia_coli,14,393441,41.799062672616984
40,Unicycler,Escherichia_coli,36,228802,42.45516464078091
41,Unicycler,Escherichia_coli,38,220834,44.40975951973546
42,Unicycler,Escherichia_coli,41,210352,60
43,Unicycler,Escherichia_coli,43,203079,60
44,Unicycler,Escherichia_coli,44,201675,60
45,Unicycler,Escherichia_coli,52,184606,60
46,Unicycler,Escherichia_coli,53,183321,60
47,Unicycler,Escherichia_coli,54,181333,60
48,Unicycler,Escherichia_coli,59,163258,60
49,Unicycler,Escherichia_coli,63,150593,60
50,Unicycler,Escherichia_coli,64,142890,36.36487896353267
51,Unicycler,Escherichia_coli,70,125269,60
52,Unicycler,Escherichia_coli,73,119183,60
53,Unicycler,Escherichia_coli,84,103706,45.38682628878307
54,Unicycler,Escherichia_coli,86,101854,60
55,Unicycler,Escherichia_coli,88,94139,49.737695806649604
56,Unicycler,Escherichia_coli,89,93217,60
57,Unicycler,Escherichia_coli,92,88027,36.89343396052771
58,Unicycler,Escherichia_coli,96,81656,40.66890061748858
59,Unicycler,Escherichia_coli,100,73311,60
60,Unicycler,Escherichia_coli,102,70767,60
61,Unicycler,Escherichia_coli,103,70328,60
62,Unicycler,Escherichia_coli,105,66204,60
63,Unicycler,Escherichia_coli,106,65589,60
64,Unicycler,Escherichia_coli,110,60157,60
65,Unicycler,Escherichia_coli,111,59878,60
66,Unicycler,Escherichia_coli,117,51552,60
67,Unicycler,Escherichia_coli,127,41936,60
68,Unicycler,Escherichia_coli,133,37916,60
69,Unicycler,Escherichia_coli,144,31744,60
70,Unicycler,Escherichia_coli,149,28870,60
71,Unicycler,Escherichia_coli,155,26488,60
72,Unicycler,Escherichia_coli,159,22552,60
73,Unicycler,Escherichia_coli,166,20218,60
74,Unicycler,Escherichia_coli,168,18022,60
75,Unicycler,Escherichia_coli,170,17626,60
76,Unicycler,Escherichia_coli,171,17395,60
77,Unicycler,Escherichia_coli,173,16846,60
78,Unicycler,Escherichia_coli,179,15946,60
79,Unicycler,Escherichia_coli,186,13675,60
80,Unicycler,Escherichia_coli,188,12204,60
81,Unicycler,Escherichia_coli,193,10760,60
82,Unicycler,Escherichia_coli,197,9586,60
83,Unicycler,Escherichia_coli,203,7794,60
84,Unicycler,Escherichia_coli,204,7390,15.61148400481612
85,Unicycler,Escherichia_coli,210,5871,60
86,Unicycler,Escherichia_coli,211,5782,60
87,Unicycler,Escherichia_coli,217,4848,60
88,Unicycler,Escherichia_coli,220,4634,60
89,Unicycler,Escherichia_coli,222,4414,60
90,Unicycler,Escherichia_coli,238,3065,60
91,Unicycler,Escherichia_coli,240,3009,23.322941520618468
92,Unicycler,Escherichia_coli,244,2686,60
93,Unicycler,Escherichia_coli,246,2566,60
94,Unicycler,Escherichia_coli,247,2541,60
95,Unicycler,Escherichia_coli,251,2310,60
96,Unicycler,Escherichia_coli,256,2099,60
97,Unicycler,Escherichia_coli,272,1679,29.240207004740626
98,Unicycler,Escherichia_coli,276,1587,60
99,Unicycler,Escherichia_coli,282,1461,16.73288522100025
100,Unicycler,Escherichia_coli,284,1450,60
101,Unicycler,Escherichia_coli,286,1431,18.768860328069458
102,Unicycler,Escherichia_coli,294,1343,60
103,Unicycler,Escherichia_coli,295,1332,60
104,Unicycler,Escherichia_coli,302,1232,60
105,Unicycler,Escherichia_coli,303,1228,60
106,Unicycler,Escherichia_coli,306,1221,60
107,Unicycler,Escherichia_coli,307,1208,60
108,Unicycler,Escherichia_coli,310,1178,60
109,Unicycler,Escherichia_coli,311,1142,60
110,Unicycler,Escherichia_coli,319,1084,60
111,Unicycler,Lactobacillus_fermentum,72,121680,60
112,Unicycler,Lactobacillus_fermentum,77,114636,60
113,Unicycler,Lactobacillus_fermentum,87,99048,60
114,Unicycler,Lactobacillus_fermentum,94,87192,60
115,Unicycler,Lactobacillus_fermentum,97,81225,60
116,Unicycler,Lactobacillus_fermentum,99,77664,60
117,Unicycler,Lactobacillus_fermentum,101,72589,60
118,Unicycler,Lactobacillus_fermentum,108,63569,60
119,Unicycler,Lactobacillus_fermentum,116,52694,60
120,Unicycler,Lactobacillus_fermentum,120,46652,60
121,Unicycler,Lactobacillus_fermentum,121,45959,60
