,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,GATBMiniaPipeline,Bacillus_subtilis,46,1561,60
1,GATBMiniaPipeline,Bacillus_subtilis,105,59882,60
2,GATBMiniaPipeline,Bacillus_subtilis,168,1260,14.282726871818456
3,GATBMiniaPipeline,Bacillus_subtilis,254,122501,60
4,GATBMiniaPipeline,Bacillus_subtilis,342,37677,60
5,GATBMiniaPipeline,Bacillus_subtilis,393,59828,60
6,GATBMiniaPipeline,Bacillus_subtilis,422,83654,60
7,GATBMiniaPipeline,Bacillus_subtilis,424,17015,60
8,GATBMiniaPipeline,Bacillus_subtilis,463,170315,60
9,GATBMiniaPipeline,Bacillus_subtilis,465,257268,60
10,GATBMiniaPipeline,Bacillus_subtilis,509,10006,60
11,GATBMiniaPipeline,Bacillus_subtilis,574,38460,60
12,GATBMiniaPipeline,Bacillus_subtilis,586,315136,60
13,GATBMiniaPipeline,Bacillus_subtilis,602,252655,60
14,GATBMiniaPipeline,Bacillus_subtilis,609,29552,60
15,GATBMiniaPipeline,Bacillus_subtilis,664,2517,60
16,GATBMiniaPipeline,Bacillus_subtilis,720,312773,60
17,GATBMiniaPipeline,Bacillus_subtilis,735,381556,60
18,GATBMiniaPipeline,Bacillus_subtilis,738,212971,60
19,GATBMiniaPipeline,Bacillus_subtilis,785,23332,60
20,GATBMiniaPipeline,Bacillus_subtilis,861,156127,60
21,GATBMiniaPipeline,Bacillus_subtilis,920,269574,60
22,GATBMiniaPipeline,Bacillus_subtilis,959,55298,60
23,GATBMiniaPipeline,Bacillus_subtilis,1039,15645,60
24,GATBMiniaPipeline,Bacillus_subtilis,1046,137485,60
25,GATBMiniaPipeline,Bacillus_subtilis,1087,263366,60
26,GATBMiniaPipeline,Bacillus_subtilis,1099,395800,60
27,GATBMiniaPipeline,Bacillus_subtilis,1104,294467,60
28,GATBMiniaPipeline,Enterococcus_faecalis,72,1514,60
29,GATBMiniaPipeline,Enterococcus_faecalis,73,29307,60
30,GATBMiniaPipeline,Enterococcus_faecalis,81,22972,60
31,GATBMiniaPipeline,Enterococcus_faecalis,98,1002,60
32,GATBMiniaPipeline,Enterococcus_faecalis,143,62433,60
33,GATBMiniaPipeline,Enterococcus_faecalis,167,84244,60
34,GATBMiniaPipeline,Enterococcus_faecalis,216,1160,60
35,GATBMiniaPipeline,Enterococcus_faecalis,228,1048,60
36,GATBMiniaPipeline,Enterococcus_faecalis,252,13284,60
37,GATBMiniaPipeline,Enterococcus_faecalis,284,41933,60
38,GATBMiniaPipeline,Enterococcus_faecalis,304,38794,60
39,GATBMiniaPipeline,Enterococcus_faecalis,347,63180,60
40,GATBMiniaPipeline,Enterococcus_faecalis,362,1397,31.45196406114152
41,GATBMiniaPipeline,Enterococcus_faecalis,436,25013,60
42,GATBMiniaPipeline,Enterococcus_faecalis,483,118899,60
43,GATBMiniaPipeline,Enterococcus_faecalis,548,114811,60
44,GATBMiniaPipeline,Enterococcus_faecalis,558,61574,60
45,GATBMiniaPipeline,Enterococcus_faecalis,571,16517,60
46,GATBMiniaPipeline,Enterococcus_faecalis,611,43692,60
47,GATBMiniaPipeline,Enterococcus_faecalis,634,63315,60
48,GATBMiniaPipeline,Enterococcus_faecalis,645,19778,60
49,GATBMiniaPipeline,Enterococcus_faecalis,658,179788,60
50,GATBMiniaPipeline,Enterococcus_faecalis,671,1948,60
51,GATBMiniaPipeline,Enterococcus_faecalis,719,8905,60
52,GATBMiniaPipeline,Enterococcus_faecalis,736,1044,60
53,GATBMiniaPipeline,Enterococcus_faecalis,752,12505,60
54,GATBMiniaPipeline,Enterococcus_faecalis,788,30258,60
55,GATBMiniaPipeline,Enterococcus_faecalis,826,30646,60
56,GATBMiniaPipeline,Enterococcus_faecalis,836,128464,60
57,GATBMiniaPipeline,Enterococcus_faecalis,864,224968,60
58,GATBMiniaPipeline,Enterococcus_faecalis,906,16210,60
59,GATBMiniaPipeline,Enterococcus_faecalis,947,46719,60
60,GATBMiniaPipeline,Enterococcus_faecalis,953,23342,60
61,GATBMiniaPipeline,Enterococcus_faecalis,957,68760,60
62,GATBMiniaPipeline,Enterococcus_faecalis,958,39679,60
63,GATBMiniaPipeline,Enterococcus_faecalis,960,3174,60
64,GATBMiniaPipeline,Enterococcus_faecalis,962,13779,60
65,GATBMiniaPipeline,Enterococcus_faecalis,1001,184436,60
66,GATBMiniaPipeline,Enterococcus_faecalis,1022,19521,60
67,GATBMiniaPipeline,Enterococcus_faecalis,1030,13446,60
68,GATBMiniaPipeline,Enterococcus_faecalis,1040,267876,60
69,GATBMiniaPipeline,Enterococcus_faecalis,1085,68820,60
70,GATBMiniaPipeline,Enterococcus_faecalis,1093,443332,60
71,GATBMiniaPipeline,Enterococcus_faecalis,1095,127741,60
72,GATBMiniaPipeline,Escherichia_coli_plasmid,211,26528,60
73,GATBMiniaPipeline,Escherichia_coli_plasmid,832,28767,60
74,GATBMiniaPipeline,Escherichia_coli_plasmid,988,53135,60
75,GATBMiniaPipeline,Escherichia_coli,4,1413,31.501421618485814
76,GATBMiniaPipeline,Escherichia_coli,10,3261,60
77,GATBMiniaPipeline,Escherichia_coli,21,7280,60
78,GATBMiniaPipeline,Escherichia_coli,30,29584,60
79,GATBMiniaPipeline,Escherichia_coli,32,1609,60
80,GATBMiniaPipeline,Escherichia_coli,34,12422,60
