,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LHS,Unicycler,1,1301952,Enterococcus_faecalis,0
1,1,LHS,Unicycler,2,1176458,Staphylococcus_aureus,0
2,2,LHS,Unicycler,3,847534,Pseudomonas_aeruginosa,0
3,3,LHS,Unicycler,4,768092,Bacillus_subtilis,0
4,4,LHS,Unicycler,5,552026,Bacillus_subtilis,0
5,5,LHS,Unicycler,6,542139,Pseudomonas_aeruginosa,0
6,6,LHS,Unicycler,7,514771,Salmonella_enterica,0
7,7,LHS,Unicycler,8,465250,Pseudomonas_aeruginosa,0
8,8,LHS,Unicycler,9,430803,Escherichia_coli,0
9,9,LHS,Unicycler,10,428897,Bacillus_subtilis,0
10,10,LHS,Unicycler,11,424497,Pseudomonas_aeruginosa,0
11,11,LHS,Unicycler,12,411415,Pseudomonas_aeruginosa,0
12,12,LHS,Unicycler,13,394628,Staphylococcus_aureus,0
13,13,LHS,Unicycler,14,393441,Escherichia_coli,0
14,14,LHS,Unicycler,15,377104,Enterococcus_faecalis,0
15,15,LHS,Unicycler,16,353869,Salmonella_enterica,0
16,16,LHS,Unicycler,17,342800,Pseudomonas_aeruginosa,0
17,17,LHS,Unicycler,18,331075,Pseudomonas_aeruginosa,0
18,18,LHS,Unicycler,19,324878,Bacillus_subtilis,0
19,19,LHS,Unicycler,20,314937,Bacillus_subtilis,0
20,20,LHS,Unicycler,21,309523,Pseudomonas_aeruginosa,0
21,21,LHS,Unicycler,22,301917,Salmonella_enterica,0
22,22,LHS,Unicycler,23,294290,Bacillus_subtilis,0
23,23,LHS,Unicycler,24,283759,Pseudomonas_aeruginosa,0
24,24,LHS,Unicycler,25,265480,Staphylococcus_aureus,0
25,25,LHS,Unicycler,26,263166,Bacillus_subtilis,0
26,26,LHS,Unicycler,27,261963,Pseudomonas_aeruginosa,0
27,27,LHS,Unicycler,28,260669,Pseudomonas_aeruginosa,0
28,28,LHS,Unicycler,29,257087,Bacillus_subtilis,0
29,29,LHS,Unicycler,30,252940,Pseudomonas_aeruginosa,0
30,30,LHS,Unicycler,31,252455,Bacillus_subtilis,0
31,31,LHS,Unicycler,32,242300,Salmonella_enterica,0
32,32,LHS,Unicycler,33,239075,Pseudomonas_aeruginosa,0
33,33,LHS,Unicycler,34,238501,Enterococcus_faecalis,0
34,34,LHS,Unicycler,35,234974,Enterococcus_faecalis,0
35,35,LHS,Unicycler,36,228802,Escherichia_coli,0
36,36,LHS,Unicycler,37,223960,Salmonella_enterica,0
37,37,LHS,Unicycler,38,220834,Escherichia_coli,0
38,38,LHS,Unicycler,39,213484,Salmonella_enterica,0
39,39,LHS,Unicycler,40,213028,Staphylococcus_aureus,0
40,40,LHS,Unicycler,41,210352,Escherichia_coli,0
41,41,LHS,Unicycler,42,208685,Salmonella_enterica,0
42,42,LHS,Unicycler,43,203079,Escherichia_coli,0
43,43,LHS,Unicycler,44,201675,Escherichia_coli,0
44,44,LHS,Unicycler,45,199433,Enterococcus_faecalis,0
45,45,LHS,Unicycler,46,198542,Salmonella_enterica,0
46,46,LHS,Unicycler,47,196676,Pseudomonas_aeruginosa,0
47,47,LHS,Unicycler,48,191216,Pseudomonas_aeruginosa,0
48,48,LHS,Unicycler,49,190506,Salmonella_enterica,0
49,49,LHS,Unicycler,50,187186,Pseudomonas_aeruginosa,0
50,50,LHS,Unicycler,51,187160,Salmonella_enterica,0
51,51,LHS,Unicycler,52,184606,Escherichia_coli,0
52,52,LHS,Unicycler,53,183321,Escherichia_coli,0
53,53,LHS,Unicycler,54,181333,Escherichia_coli,0
54,54,LHS,Unicycler,55,177561,Salmonella_enterica,0
55,55,LHS,Unicycler,56,177302,Pseudomonas_aeruginosa,0
56,56,LHS,Unicycler,57,173653,Pseudomonas_aeruginosa,0
57,57,LHS,Unicycler,58,171239,Enterococcus_faecalis,0
58,58,LHS,Unicycler,59,163258,Escherichia_coli,0
59,59,LHS,Unicycler,60,161931,Salmonella_enterica,0
60,60,LHS,Unicycler,61,157802,Salmonella_enterica,0
61,61,LHS,Unicycler,62,153573,Salmonella_enterica,0
62,62,LHS,Unicycler,63,150593,Escherichia_coli,0
63,63,LHS,Unicycler,64,142890,Escherichia_coli,0
64,64,LHS,Unicycler,65,140790,Salmonella_enterica,0
65,65,LHS,Unicycler,66,137111,Bacillus_subtilis,0
66,66,LHS,Unicycler,67,136977,Salmonella_enterica,0
67,67,LHS,Unicycler,68,133624,Salmonella_enterica,0
68,68,LHS,Unicycler,69,126378,Staphylococcus_aureus,0
69,69,LHS,Unicycler,70,125269,Escherichia_coli,0
70,70,LHS,Unicycler,71,122304,Bacillus_subtilis,0
71,71,LHS,Unicycler,72,121680,Lactobacillus_fermentum,0
72,72,LHS,Unicycler,73,119183,Escherichia_coli,0
73,73,LHS,Unicycler,74,119042,Salmonella_enterica,0
74,74,LHS,Unicycler,75,118948,Pseudomonas_aeruginosa,0
75,75,LHS,Unicycler,76,118679,Pseudomonas_aeruginosa,0
76,76,LHS,Unicycler,77,114636,Lactobacillus_fermentum,0
77,77,LHS,Unicycler,78,113849,Staphylococcus_aureus,0
78,78,LHS,Unicycler,79,112459,Staphylococcus_aureus,0
79,79,LHS,Unicycler,80,108703,Escherichia_coli_plasmid,0
80,80,LHS,Unicycler,81,108180,Staphylococcus_aureus,0
81,81,LHS,Unicycler,82,106763,Pseudomonas_aeruginosa,0
82,82,LHS,Unicycler,83,105394,Enterococcus_faecalis,0
83,83,LHS,Unicycler,84,103706,Escherichia_coli,0
84,84,LHS,Unicycler,85,103614,Salmonella_enterica,0
85,85,LHS,Unicycler,86,101854,Escherichia_coli,0
86,86,LHS,Unicycler,87,99048,Lactobacillus_fermentum,0
87,87,LHS,Unicycler,88,94139,Escherichia_coli,0
88,88,LHS,Unicycler,89,93217,Escherichia_coli,0
89,89,LHS,Unicycler,90,90199,Pseudomonas_aeruginosa,0
90,90,LHS,Unicycler,91,89345,Salmonella_enterica,0
91,91,LHS,Unicycler,92,88027,Escherichia_coli,0
92,92,LHS,Unicycler,93,87873,Pseudomonas_aeruginosa,0
93,93,LHS,Unicycler,94,87192,Lactobacillus_fermentum,0
94,94,LHS,Unicycler,95,86023,Enterococcus_faecalis,0
95,95,LHS,Unicycler,96,81656,Escherichia_coli,0
96,96,LHS,Unicycler,97,81225,Lactobacillus_fermentum,0
97,97,LHS,Unicycler,98,80611,Salmonella_enterica,0
98,98,LHS,Unicycler,99,77664,Lactobacillus_fermentum,0
99,99,LHS,Unicycler,100,73311,Escherichia_coli,0
100,100,LHS,Unicycler,101,72589,Lactobacillus_fermentum,0
101,101,LHS,Unicycler,102,70767,Escherichia_coli,0
102,102,LHS,Unicycler,103,70328,Escherichia_coli,0
103,103,LHS,Unicycler,104,68363,Pseudomonas_aeruginosa,0
104,104,LHS,Unicycler,105,66204,Escherichia_coli,0
105,105,LHS,Unicycler,106,65589,Escherichia_coli,0
106,106,LHS,Unicycler,107,64338,Salmonella_enterica,0
107,107,LHS,Unicycler,108,63569,Lactobacillus_fermentum,0
108,108,LHS,Unicycler,109,61579,Pseudomonas_aeruginosa,0
109,109,LHS,Unicycler,110,60157,Escherichia_coli,0
110,110,LHS,Unicycler,111,59878,Escherichia_coli,0
111,111,LHS,Unicycler,112,59631,Bacillus_subtilis,0
112,112,LHS,Unicycler,113,56147,Pseudomonas_aeruginosa,0
113,113,LHS,Unicycler,114,55137,Bacillus_subtilis,0
114,114,LHS,Unicycler,115,52969,Salmonella_enterica,0
115,115,LHS,Unicycler,116,52694,Lactobacillus_fermentum,0
116,116,LHS,Unicycler,117,51552,Escherichia_coli,0
117,117,LHS,Unicycler,118,51534,Salmonella_enterica,0
118,118,LHS,Unicycler,119,48951,Staphylococcus_aureus,0
119,119,LHS,Unicycler,120,46652,Lactobacillus_fermentum,0
120,120,LHS,Unicycler,121,45959,Lactobacillus_fermentum,0
121,121,LHS,Unicycler,122,44841,Lactobacillus_fermentum,0
122,122,LHS,Unicycler,123,44756,Salmonella_enterica,0
123,123,LHS,Unicycler,124,44615,Salmonella_enterica,0
124,124,LHS,Unicycler,125,44315,Lactobacillus_fermentum,0
125,125,LHS,Unicycler,126,43687,Lactobacillus_fermentum,0
126,126,LHS,Unicycler,127,41936,Escherichia_coli,0
127,127,LHS,Unicycler,128,41022,Staphylococcus_aureus,0
128,128,LHS,Unicycler,129,40168,Lactobacillus_fermentum,0
129,129,LHS,Unicycler,130,39848,Lactobacillus_fermentum,0
130,130,LHS,Unicycler,131,38260,Bacillus_subtilis,0
131,131,LHS,Unicycler,132,38096,Staphylococcus_aureus,0
132,132,LHS,Unicycler,133,37916,Escherichia_coli,0
133,133,LHS,Unicycler,134,37699,Bacillus_subtilis,0
134,134,LHS,Unicycler,135,37270,Lactobacillus_fermentum,0
135,135,LHS,Unicycler,136,37090,Lactobacillus_fermentum,0
136,136,LHS,Unicycler,137,36752,Salmonella_enterica,0
137,137,LHS,Unicycler,138,35550,Enterococcus_faecalis,0
138,138,LHS,Unicycler,139,34650,Lactobacillus_fermentum,0
139,139,LHS,Unicycler,140,33651,Lactobacillus_fermentum,0
140,140,LHS,Unicycler,141,32262,Lactobacillus_fermentum,0
141,141,LHS,Unicycler,142,32235,Lactobacillus_fermentum,0
142,142,LHS,Unicycler,143,31856,Salmonella_enterica,0
143,143,LHS,Unicycler,144,31744,Escherichia_coli,0
144,144,LHS,Unicycler,145,30475,Enterococcus_faecalis,0
145,145,LHS,Unicycler,146,29593,Bacillus_subtilis,0
146,146,LHS,Unicycler,147,29107,Enterococcus_faecalis,0
147,147,LHS,Unicycler,148,29056,Lactobacillus_fermentum,0
148,148,LHS,Unicycler,149,28870,Escherichia_coli,0
149,149,LHS,Unicycler,150,28865,Lactobacillus_fermentum,0
150,150,LHS,Unicycler,151,28252,Lactobacillus_fermentum,0
151,151,LHS,Unicycler,152,27917,Salmonella_enterica,0
152,152,LHS,Unicycler,153,27904,Lactobacillus_fermentum,0
153,153,LHS,Unicycler,154,27552,Salmonella_enterica,0
154,154,LHS,Unicycler,155,26488,Escherichia_coli,0
155,155,LHS,Unicycler,156,24131,Lactobacillus_fermentum,0
156,156,LHS,Unicycler,157,23265,Lactobacillus_fermentum,0
157,157,LHS,Unicycler,158,23137,Bacillus_subtilis,0
158,158,LHS,Unicycler,159,22552,Escherichia_coli,0
159,159,LHS,Unicycler,160,21904,Pseudomonas_aeruginosa,0
160,160,LHS,Unicycler,161,21860,Pseudomonas_aeruginosa,0
161,161,LHS,Unicycler,162,21022,Salmonella_enterica,0
162,162,LHS,Unicycler,163,20705,Lactobacillus_fermentum,0
163,163,LHS,Unicycler,164,20452,Salmonella_enterica,0
164,164,LHS,Unicycler,165,20283,Lactobacillus_fermentum,0
165,165,LHS,Unicycler,166,20218,Escherichia_coli,0
166,166,LHS,Unicycler,167,18870,Lactobacillus_fermentum,0
167,167,LHS,Unicycler,168,18022,Escherichia_coli,0
168,168,LHS,Unicycler,169,17955,Lactobacillus_fermentum,0
169,169,LHS,Unicycler,170,17626,Escherichia_coli,0
170,170,LHS,Unicycler,171,17395,Escherichia_coli,0
171,171,LHS,Unicycler,172,17271,Salmonella_enterica,0
172,172,LHS,Unicycler,173,16846,Escherichia_coli,0
173,173,LHS,Unicycler,174,16658,Lactobacillus_fermentum,0
174,174,LHS,Unicycler,175,16453,Lactobacillus_fermentum,0
175,175,LHS,Unicycler,176,16323,Salmonella_enterica,0
176,176,LHS,Unicycler,177,16053,Staphylococcus_aureus,0
177,177,LHS,Unicycler,178,16004,Lactobacillus_fermentum,0
178,178,LHS,Unicycler,179,15946,Escherichia_coli,0
179,179,LHS,Unicycler,180,15446,Bacillus_subtilis,0
180,180,LHS,Unicycler,181,14587,Lactobacillus_fermentum,0
