,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,351048,352415
1,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,448661,448743
2,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,494562,494607
3,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,940833,940875
4,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,977241,977287
5,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1012522,1012565
6,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1061839,1061887
7,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1080798,1083115
8,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1085179,1085231
9,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1086709,1088108
10,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1131808,1131848
11,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1177767,1177812
12,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1216103,1216152
13,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1228468,1229426
14,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1230458,1230969
15,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1366399,1377511
16,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1386156,1386205
17,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1423687,1423716
18,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1430327,1430365
19,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1467014,1467229
20,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1478760,1478795
21,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1530726,1530755
22,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1536402,1536436
23,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1540793,1540833
24,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1579957,1580002
25,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1597811,1597850
26,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1610198,1615607
27,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1627567,1627600
28,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1654704,1654733
29,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1810693,1810726
30,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1814290,1814364
31,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1868421,1868497
32,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1869960,1870000
33,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1895660,1895701
34,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1918492,1918525
35,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,1933935,1933970
36,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2134504,2134552
37,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2135661,2135688
38,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2151942,2151975
39,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2158451,2164536
40,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2199974,2200009
41,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2214346,2214386
42,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2228954,2229001
43,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2389546,2389581
44,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2428618,2428661
45,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2456704,2456736
46,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2495416,2496008
47,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2498222,2499032
48,ERR2935805,Unicycler,Listeria_monocytogenes,2992342.0,2500262,2500623
