,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2984773,MINIA,0,13365,Salmonella_enterica,0
1,1,ERR2984773,MINIA,1,9118,Bacillus_subtilis,0
2,2,ERR2984773,MINIA,2,2748,Staphylococcus_aureus,0
3,3,ERR2984773,MINIA,4,43050,Enterococcus_faecalis,0
4,4,ERR2984773,MINIA,5,10972,Unmapped,0
5,5,ERR2984773,MINIA,6,13783,Lactobacillus_fermentum,0
6,6,ERR2984773,MINIA,7,3723,Lactobacillus_fermentum,0
7,7,ERR2984773,MINIA,8,32297,Staphylococcus_aureus,0
8,8,ERR2984773,MINIA,9,32691,Pseudomonas_aeruginosa,0
9,9,ERR2984773,MINIA,10,4090,Lactobacillus_fermentum,0
10,10,ERR2984773,MINIA,11,10999,Staphylococcus_aureus,0
11,11,ERR2984773,MINIA,12,17214,Salmonella_enterica,0
12,12,ERR2984773,MINIA,14,22996,Bacillus_subtilis,0
13,13,ERR2984773,MINIA,15,5993,Salmonella_enterica,0
14,14,ERR2984773,MINIA,16,1483,Bacillus_subtilis,0
15,15,ERR2984773,MINIA,17,32539,Pseudomonas_aeruginosa,0
16,16,ERR2984773,MINIA,18,34487,Bacillus_subtilis,0
17,17,ERR2984773,MINIA,20,102497,Bacillus_subtilis,0
18,18,ERR2984773,MINIA,21,6396,Lactobacillus_fermentum,0
19,19,ERR2984773,MINIA,22,103892,Bacillus_subtilis,0
20,20,ERR2984773,MINIA,23,10658,Pseudomonas_aeruginosa,0
21,21,ERR2984773,MINIA,24,28310,Pseudomonas_aeruginosa,0
22,22,ERR2984773,MINIA,25,47537,Bacillus_subtilis,0
23,23,ERR2984773,MINIA,26,2205,Escherichia_coli,0
24,24,ERR2984773,MINIA,27,30338,Lactobacillus_fermentum,0
25,25,ERR2984773,MINIA,28,46258,Staphylococcus_aureus,0
26,26,ERR2984773,MINIA,29,24906,Escherichia_coli_plasmid,0
27,27,ERR2984773,MINIA,30,29795,Bacillus_subtilis,0
28,28,ERR2984773,MINIA,31,3572,Escherichia_coli,0
29,29,ERR2984773,MINIA,32,1510,Listeria_monocytogenes,0
30,30,ERR2984773,MINIA,33,11775,Lactobacillus_fermentum,0
31,31,ERR2984773,MINIA,34,32803,Enterococcus_faecalis,0
32,32,ERR2984773,MINIA,35,27805,Lactobacillus_fermentum,0
33,33,ERR2984773,MINIA,36,28605,Staphylococcus_aureus,0
34,34,ERR2984773,MINIA,37,20793,Enterococcus_faecalis,0
35,35,ERR2984773,MINIA,38,8709,Lactobacillus_fermentum,0
36,36,ERR2984773,MINIA,39,43246,Staphylococcus_aureus,0
37,37,ERR2984773,MINIA,40,2518,Escherichia_coli,0
38,38,ERR2984773,MINIA,41,20366,Enterococcus_faecalis,0
39,39,ERR2984773,MINIA,42,6216,Lactobacillus_fermentum,0
40,40,ERR2984773,MINIA,43,25097,Lactobacillus_fermentum,0
41,41,ERR2984773,MINIA,44,4439,Listeria_monocytogenes,0
42,42,ERR2984773,MINIA,45,9018,Listeria_monocytogenes,0
43,43,ERR2984773,MINIA,46,37776,Listeria_monocytogenes,0
44,44,ERR2984773,MINIA,47,12376,Pseudomonas_aeruginosa,0
45,45,ERR2984773,MINIA,48,1183,Escherichia_coli,0
46,46,ERR2984773,MINIA,49,34987,Pseudomonas_aeruginosa,0
47,47,ERR2984773,MINIA,50,16858,Enterococcus_faecalis,0
48,48,ERR2984773,MINIA,52,16481,Pseudomonas_aeruginosa,0
49,49,ERR2984773,MINIA,53,18950,Staphylococcus_aureus,0
50,50,ERR2984773,MINIA,54,16647,Salmonella_enterica,0
51,51,ERR2984773,MINIA,55,11122,Lactobacillus_fermentum,0
