,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LNN,BCALM2,1922,3635,Pseudomonas_aeruginosa,0
1,1,LNN,BCALM2,2060,4064,Pseudomonas_aeruginosa,0
2,2,LNN,BCALM2,2121,3790,Bacillus_subtilis,0
3,3,LNN,BCALM2,2152,4602,Bacillus_subtilis,0
4,4,LNN,BCALM2,2186,1493,Pseudomonas_aeruginosa,0
5,5,LNN,BCALM2,2187,2466,Pseudomonas_aeruginosa,0
6,6,LNN,BCALM2,2203,5421,Listeria_monocytogenes,0
7,7,LNN,BCALM2,2351,13728,Bacillus_subtilis,0
8,8,LNN,BCALM2,2393,11489,Bacillus_subtilis,0
9,9,LNN,BCALM2,2462,1357,Pseudomonas_aeruginosa,0
10,10,LNN,BCALM2,2699,35092,Pseudomonas_aeruginosa,0
11,11,LNN,BCALM2,2713,43688,Pseudomonas_aeruginosa,0
12,12,LNN,BCALM2,2725,25644,Bacillus_subtilis,0
13,13,LNN,BCALM2,2728,32779,Pseudomonas_aeruginosa,0
14,14,LNN,BCALM2,2733,4513,Pseudomonas_aeruginosa,0
15,15,LNN,BCALM2,2761,3051,Pseudomonas_aeruginosa,0
16,16,LNN,BCALM2,2777,19328,Pseudomonas_aeruginosa,0
17,17,LNN,BCALM2,2848,38451,Listeria_monocytogenes,0
18,18,LNN,BCALM2,2900,21863,Pseudomonas_aeruginosa,0
19,19,LNN,BCALM2,2903,3522,Pseudomonas_aeruginosa,0
20,20,LNN,BCALM2,3035,20001,Pseudomonas_aeruginosa,0
21,21,LNN,BCALM2,3269,3197,Pseudomonas_aeruginosa,0
22,22,LNN,BCALM2,3299,1269,Pseudomonas_aeruginosa,0
23,23,LNN,BCALM2,3428,22993,Bacillus_subtilis,0
24,24,LNN,BCALM2,3435,2958,Pseudomonas_aeruginosa,0
25,25,LNN,BCALM2,3504,28526,Bacillus_subtilis,0
26,26,LNN,BCALM2,3514,16548,Listeria_monocytogenes,0
27,27,LNN,BCALM2,3521,10802,Pseudomonas_aeruginosa,0
28,28,LNN,BCALM2,3621,38175,Pseudomonas_aeruginosa,0
29,29,LNN,BCALM2,3667,68481,Listeria_monocytogenes,0
30,30,LNN,BCALM2,3707,17415,Pseudomonas_aeruginosa,0
31,31,LNN,BCALM2,3884,2226,Pseudomonas_aeruginosa,0
32,32,LNN,BCALM2,3895,61075,Listeria_monocytogenes,0
33,33,LNN,BCALM2,3918,14292,Pseudomonas_aeruginosa,0
34,34,LNN,BCALM2,3921,2576,Pseudomonas_aeruginosa,0
35,35,LNN,BCALM2,3926,89946,Pseudomonas_aeruginosa,0
36,36,LNN,BCALM2,3934,34260,Pseudomonas_aeruginosa,0
37,37,LNN,BCALM2,3951,1228,Pseudomonas_aeruginosa,0
38,38,LNN,BCALM2,4008,3669,Pseudomonas_aeruginosa,0
39,39,LNN,BCALM2,4019,1126,Bacillus_subtilis,0
40,40,LNN,BCALM2,4029,22601,Bacillus_subtilis,0
41,41,LNN,BCALM2,4030,2207,Pseudomonas_aeruginosa,0
42,42,LNN,BCALM2,4071,18690,Pseudomonas_aeruginosa,0
43,43,LNN,BCALM2,4174,36934,Listeria_monocytogenes,0
44,44,LNN,BCALM2,4179,13922,Pseudomonas_aeruginosa,0
45,45,LNN,BCALM2,4404,17403,Pseudomonas_aeruginosa,0
46,46,LNN,BCALM2,4415,1635,Pseudomonas_aeruginosa,0
47,47,LNN,BCALM2,4736,4106,Bacillus_subtilis,0
48,48,LNN,BCALM2,4776,1485,Listeria_monocytogenes,0
49,49,LNN,BCALM2,4786,5916,Bacillus_subtilis,0
50,50,LNN,BCALM2,4789,1262,Pseudomonas_aeruginosa,0
51,51,LNN,BCALM2,4989,12086,Pseudomonas_aeruginosa,0
52,52,LNN,BCALM2,5124,4907,Pseudomonas_aeruginosa,0
53,53,LNN,BCALM2,5147,6498,Pseudomonas_aeruginosa,0
54,54,LNN,BCALM2,5249,15912,Pseudomonas_aeruginosa,0
55,55,LNN,BCALM2,5310,20154,Pseudomonas_aeruginosa,0
56,56,LNN,BCALM2,5319,5653,Pseudomonas_aeruginosa,0
57,57,LNN,BCALM2,5341,1236,Pseudomonas_aeruginosa,0
58,58,LNN,BCALM2,5475,17967,Pseudomonas_aeruginosa,0
59,59,LNN,BCALM2,5510,16097,Pseudomonas_aeruginosa,0
60,60,LNN,BCALM2,5526,5253,Bacillus_subtilis,0
61,61,LNN,BCALM2,5533,6816,Pseudomonas_aeruginosa,0
62,62,LNN,BCALM2,5653,40479,Pseudomonas_aeruginosa,0
63,63,LNN,BCALM2,5656,9592,Bacillus_subtilis,0
64,64,LNN,BCALM2,5761,5199,Bacillus_subtilis,0
65,65,LNN,BCALM2,5802,17800,Pseudomonas_aeruginosa,0
66,66,LNN,BCALM2,5807,14641,Pseudomonas_aeruginosa,0
67,67,LNN,BCALM2,5851,10786,Pseudomonas_aeruginosa,0
68,68,LNN,BCALM2,5904,1136,Pseudomonas_aeruginosa,0
69,69,LNN,BCALM2,6039,1442,Pseudomonas_aeruginosa,0
70,70,LNN,BCALM2,6068,2791,Listeria_monocytogenes,0
71,71,LNN,BCALM2,6109,2935,Pseudomonas_aeruginosa,0
72,72,LNN,BCALM2,6177,51186,Pseudomonas_aeruginosa,0
73,73,LNN,BCALM2,6220,9365,Pseudomonas_aeruginosa,0
74,74,LNN,BCALM2,6300,8447,Pseudomonas_aeruginosa,0
75,75,LNN,BCALM2,6406,19276,Pseudomonas_aeruginosa,0
76,76,LNN,BCALM2,6461,17522,Bacillus_subtilis,0
77,77,LNN,BCALM2,6497,14819,Pseudomonas_aeruginosa,0
78,78,LNN,BCALM2,6579,25476,Pseudomonas_aeruginosa,0
79,79,LNN,BCALM2,6605,1102,Pseudomonas_aeruginosa,0
80,80,LNN,BCALM2,6614,9415,Listeria_monocytogenes,0
81,81,LNN,BCALM2,6633,44582,Pseudomonas_aeruginosa,0
82,82,LNN,BCALM2,6635,7506,Bacillus_subtilis,0
83,83,LNN,BCALM2,6670,32673,Bacillus_subtilis,0
84,84,LNN,BCALM2,6700,5874,Pseudomonas_aeruginosa,0
85,85,LNN,BCALM2,6803,32498,Bacillus_subtilis,0
86,86,LNN,BCALM2,6904,1296,Pseudomonas_aeruginosa,0
87,87,LNN,BCALM2,6905,1140,Bacillus_subtilis,0
88,88,LNN,BCALM2,6953,2971,Pseudomonas_aeruginosa,0
89,89,LNN,BCALM2,7081,32062,Bacillus_subtilis,0
90,90,LNN,BCALM2,7086,19109,Pseudomonas_aeruginosa,0
91,91,LNN,BCALM2,7098,3791,Bacillus_subtilis,0
92,92,LNN,BCALM2,7148,24109,Bacillus_subtilis,0
93,93,LNN,BCALM2,7202,3157,Pseudomonas_aeruginosa,0
94,94,LNN,BCALM2,7246,39453,Bacillus_subtilis,0
95,95,LNN,BCALM2,7264,19284,Pseudomonas_aeruginosa,0
96,96,LNN,BCALM2,7302,27035,Pseudomonas_aeruginosa,0
97,97,LNN,BCALM2,7345,12407,Pseudomonas_aeruginosa,0
98,98,LNN,BCALM2,7393,29074,Pseudomonas_aeruginosa,0
99,99,LNN,BCALM2,7469,2881,Pseudomonas_aeruginosa,0
100,100,LNN,BCALM2,7519,4969,Pseudomonas_aeruginosa,0
101,101,LNN,BCALM2,7567,6905,Pseudomonas_aeruginosa,0
102,102,LNN,BCALM2,7638,41223,Bacillus_subtilis,0
103,103,LNN,BCALM2,7648,13004,Bacillus_subtilis,0
104,104,LNN,BCALM2,7715,15994,Pseudomonas_aeruginosa,0
105,105,LNN,BCALM2,7747,10952,Pseudomonas_aeruginosa,0
106,106,LNN,BCALM2,7761,13381,Bacillus_subtilis,0
107,107,LNN,BCALM2,7774,4709,Pseudomonas_aeruginosa,0
108,108,LNN,BCALM2,7789,14969,Pseudomonas_aeruginosa,0
109,109,LNN,BCALM2,7945,26164,Listeria_monocytogenes,0
110,110,LNN,BCALM2,7985,2246,Listeria_monocytogenes,0
111,111,LNN,BCALM2,8213,18007,Pseudomonas_aeruginosa,0
112,112,LNN,BCALM2,8236,7857,Bacillus_subtilis,0
113,113,LNN,BCALM2,8241,1756,Pseudomonas_aeruginosa,0
114,114,LNN,BCALM2,8250,34627,Bacillus_subtilis,0
115,115,LNN,BCALM2,8280,3463,Pseudomonas_aeruginosa,0
116,116,LNN,BCALM2,8326,28437,Pseudomonas_aeruginosa,0
117,117,LNN,BCALM2,8348,30990,Bacillus_subtilis,0
118,118,LNN,BCALM2,8351,35599,Bacillus_subtilis,0
119,119,LNN,BCALM2,8486,4516,Listeria_monocytogenes,0
120,120,LNN,BCALM2,8609,2175,Pseudomonas_aeruginosa,0
121,121,LNN,BCALM2,8610,5924,Bacillus_subtilis,0
122,122,LNN,BCALM2,8674,17249,Bacillus_subtilis,0
123,123,LNN,BCALM2,8750,1871,Bacillus_subtilis,0
124,124,LNN,BCALM2,8822,27289,Pseudomonas_aeruginosa,0
125,125,LNN,BCALM2,8825,12070,Pseudomonas_aeruginosa,0
126,126,LNN,BCALM2,8902,30939,Bacillus_subtilis,0
127,127,LNN,BCALM2,8953,1588,Pseudomonas_aeruginosa,0
128,128,LNN,BCALM2,9001,5724,Pseudomonas_aeruginosa,0
129,129,LNN,BCALM2,9066,2743,Pseudomonas_aeruginosa,0
130,130,LNN,BCALM2,9099,13221,Pseudomonas_aeruginosa,0
131,131,LNN,BCALM2,9117,20236,Bacillus_subtilis,0
132,132,LNN,BCALM2,9226,2680,Pseudomonas_aeruginosa,0
133,133,LNN,BCALM2,9267,118128,Listeria_monocytogenes,0
134,134,LNN,BCALM2,9370,5752,Pseudomonas_aeruginosa,0
135,135,LNN,BCALM2,9431,2362,Bacillus_subtilis,0
136,136,LNN,BCALM2,9454,49680,Bacillus_subtilis,0
137,137,LNN,BCALM2,9469,17820,Listeria_monocytogenes,0
138,138,LNN,BCALM2,9502,3537,Pseudomonas_aeruginosa,0
139,139,LNN,BCALM2,9687,31251,Listeria_monocytogenes,0
140,140,LNN,BCALM2,9831,14358,Pseudomonas_aeruginosa,0
141,141,LNN,BCALM2,9863,2507,Pseudomonas_aeruginosa,0
142,142,LNN,BCALM2,9889,2600,Bacillus_subtilis,0
143,143,LNN,BCALM2,9898,33543,Pseudomonas_aeruginosa,0
144,144,LNN,BCALM2,9920,30383,Listeria_monocytogenes,0
145,145,LNN,BCALM2,9988,22276,Pseudomonas_aeruginosa,0
146,146,LNN,BCALM2,10076,22765,Pseudomonas_aeruginosa,0
147,147,LNN,BCALM2,10103,6443,Pseudomonas_aeruginosa,0
148,148,LNN,BCALM2,10110,2481,Pseudomonas_aeruginosa,0
149,149,LNN,BCALM2,10245,22810,Bacillus_subtilis,0
150,150,LNN,BCALM2,10320,6914,Pseudomonas_aeruginosa,0
151,151,LNN,BCALM2,10322,71013,Pseudomonas_aeruginosa,0
152,152,LNN,BCALM2,10344,5948,Bacillus_subtilis,0
153,153,LNN,BCALM2,10424,11197,Bacillus_subtilis,0
154,154,LNN,BCALM2,10584,88534,Bacillus_subtilis,0
155,155,LNN,BCALM2,10640,2963,Bacillus_subtilis,0
156,156,LNN,BCALM2,10718,10224,Bacillus_subtilis,0
