,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EMS,SKESA,Contig_1_130.327,2976,Lactobacillus_fermentum,0
1,1,EMS,SKESA,Contig_3_129.73,99044,Lactobacillus_fermentum,0
2,2,EMS,SKESA,Contig_4_20.2252,5406,Escherichia_coli,0
3,3,EMS,SKESA,Contig_6_30.1803,59626,Bacillus_subtilis,0
4,4,EMS,SKESA,Contig_7_20.836,49726,Salmonella_enterica,0
5,5,EMS,SKESA,Contig_9_10.2338,23678,Pseudomonas_aeruginosa,0
6,6,EMS,SKESA,Contig_12_29.4412,342794,Bacillus_subtilis,0
7,7,EMS,SKESA,Contig_13_31.759,37694,Bacillus_subtilis,0
8,8,EMS,SKESA,Contig_14_23.3119,16321,Salmonella_enterica,0
9,9,EMS,SKESA,Contig_15_63.691,28576,Staphylococcus_aureus,0
10,10,EMS,SKESA,Contig_18_10.3643,15569,Pseudomonas_aeruginosa,0
11,11,EMS,SKESA,Contig_19_66.1156,73147,Staphylococcus_aureus,0
12,12,EMS,SKESA,Contig_21_21.0727,41493,Salmonella_enterica,0
13,13,EMS,SKESA,Contig_23_132.761,87188,Lactobacillus_fermentum,0
14,14,EMS,SKESA,Contig_24_59.6643,39477,Enterococcus_faecalis,0
15,15,EMS,SKESA,Contig_25_129.421,52688,Lactobacillus_fermentum,0
16,16,EMS,SKESA,Contig_26_21.6512,26886,Salmonella_enterica,0
17,17,EMS,SKESA,Contig_27_21.4868,47919,Salmonella_enterica,0
18,18,EMS,SKESA,Contig_29_22.021,31774,Escherichia_coli,0
19,19,EMS,SKESA,Contig_30_28.0652,1968,Salmonella_enterica,0
20,20,EMS,SKESA,Contig_31_29.5205,1920,Escherichia_coli,0
21,21,EMS,SKESA,Contig_32_20.0105,2308,Escherichia_coli,0
22,22,EMS,SKESA,Contig_34_22.1418,4779,Escherichia_coli,0
23,23,EMS,SKESA,Contig_37_20.4278,31466,Escherichia_coli,0
24,24,EMS,SKESA,Contig_38_63.6691,34213,Staphylococcus_aureus,0
25,25,EMS,SKESA,Contig_39_22.1885,58043,Salmonella_enterica,0
26,26,EMS,SKESA,Contig_41_65.0711,34463,Staphylococcus_aureus,0
27,27,EMS,SKESA,Contig_42_21.4278,17642,Escherichia_coli,0
28,28,EMS,SKESA,Contig_43_135.451,14397,Lactobacillus_fermentum,0
29,29,EMS,SKESA,Contig_44_132.609,11776,Lactobacillus_fermentum,0
30,30,EMS,SKESA,Contig_45_29.1149,263164,Bacillus_subtilis,0
31,31,EMS,SKESA,Contig_46_64.0764,129523,Staphylococcus_aureus,0
32,32,EMS,SKESA,Contig_47_10.187,26915,Pseudomonas_aeruginosa,0
33,33,EMS,SKESA,Contig_48_63.2048,1929,Escherichia_coli,0
