,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,SRR11487941,MEGAHIT,CP009072.1,5130767.0,13484,13638
1,SRR11487941,MEGAHIT,CP009072.1,5130767.0,19237,19692
2,SRR11487941,MEGAHIT,CP009072.1,5130767.0,41163,41172
3,SRR11487941,MEGAHIT,CP009072.1,5130767.0,50540,50938
4,SRR11487941,MEGAHIT,CP009072.1,5130767.0,73428,74379
5,SRR11487941,MEGAHIT,CP009072.1,5130767.0,78989,80075
6,SRR11487941,MEGAHIT,CP009072.1,5130767.0,106619,119077
7,SRR11487941,MEGAHIT,CP009072.1,5130767.0,170062,171541
8,SRR11487941,MEGAHIT,CP009072.1,5130767.0,193301,193460
9,SRR11487941,MEGAHIT,CP009072.1,5130767.0,272227,279577
10,SRR11487941,MEGAHIT,CP009072.1,5130767.0,284790,285909
11,SRR11487941,MEGAHIT,CP009072.1,5130767.0,288088,300376
12,SRR11487941,MEGAHIT,CP009072.1,5130767.0,316463,316536
13,SRR11487941,MEGAHIT,CP009072.1,5130767.0,335406,335560
14,SRR11487941,MEGAHIT,CP009072.1,5130767.0,343321,343625
15,SRR11487941,MEGAHIT,CP009072.1,5130767.0,359876,360063
16,SRR11487941,MEGAHIT,CP009072.1,5130767.0,368380,369758
17,SRR11487941,MEGAHIT,CP009072.1,5130767.0,380597,380728
18,SRR11487941,MEGAHIT,CP009072.1,5130767.0,382260,382271
19,SRR11487941,MEGAHIT,CP009072.1,5130767.0,412991,421224
20,SRR11487941,MEGAHIT,CP009072.1,5130767.0,427761,445820
21,SRR11487941,MEGAHIT,CP009072.1,5130767.0,471786,477461
22,SRR11487941,MEGAHIT,CP009072.1,5130767.0,534049,535127
23,SRR11487941,MEGAHIT,CP009072.1,5130767.0,574638,582279
24,SRR11487941,MEGAHIT,CP009072.1,5130767.0,621340,623179
25,SRR11487941,MEGAHIT,CP009072.1,5130767.0,630367,630397
26,SRR11487941,MEGAHIT,CP009072.1,5130767.0,630841,645180
27,SRR11487941,MEGAHIT,CP009072.1,5130767.0,664521,664564
28,SRR11487941,MEGAHIT,CP009072.1,5130767.0,667834,668181
29,SRR11487941,MEGAHIT,CP009072.1,5130767.0,671829,673058
30,SRR11487941,MEGAHIT,CP009072.1,5130767.0,680869,696549
31,SRR11487941,MEGAHIT,CP009072.1,5130767.0,698289,727998
32,SRR11487941,MEGAHIT,CP009072.1,5130767.0,786171,786521
33,SRR11487941,MEGAHIT,CP009072.1,5130767.0,790173,791405
34,SRR11487941,MEGAHIT,CP009072.1,5130767.0,856178,856805
35,SRR11487941,MEGAHIT,CP009072.1,5130767.0,890998,921925
36,SRR11487941,MEGAHIT,CP009072.1,5130767.0,935891,936109
37,SRR11487941,MEGAHIT,CP009072.1,5130767.0,945950,955057
38,SRR11487941,MEGAHIT,CP009072.1,5130767.0,973465,995656
39,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1000354,1003223
40,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1025029,1025227
41,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1090902,1102880
42,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1115595,1116204
43,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1121433,1127256
44,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1137493,1137758
45,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1184784,1194755
46,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1253782,1253813
47,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1297952,1298094
48,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1324904,1325770
49,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1329418,1329766
50,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1339402,1354339
51,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1390637,1390656
52,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1477309,1477476
53,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1478117,1478154
54,SRR11487941,MEGAHIT,CP009072.1,5130767.0,1492028,1492150
