Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9769989052512101,116
Enterococcus_faecalis,0.9611350562593836,162
Escherichia_coli_plasmid,0.9522575836083158,6
Escherichia_coli,0.9026332124209463,1001
Lactobacillus_fermentum,0.918484590357696,228
Listeria_monocytogenes,0.9748782057665868,128
Pseudomonas_aeruginosa,0.9882249537345801,50
Salmonella_enterica,0.9123100266274713,981
Staphylococcus_aureus,0.9566419496980263,169
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
