,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,IDBA-UD,Bacillus_subtilis,contig-100_5,294217,60
1,IDBA-UD,Bacillus_subtilis,contig-100_10,214055,60
2,IDBA-UD,Bacillus_subtilis,contig-100_20,167738,60
3,IDBA-UD,Bacillus_subtilis,contig-100_21,165553,60
4,IDBA-UD,Bacillus_subtilis,contig-100_22,164319,60
5,IDBA-UD,Bacillus_subtilis,contig-100_24,158397,60
6,IDBA-UD,Bacillus_subtilis,contig-100_25,156216,60
7,IDBA-UD,Bacillus_subtilis,contig-100_28,138414,60
8,IDBA-UD,Bacillus_subtilis,contig-100_29,137375,60
9,IDBA-UD,Bacillus_subtilis,contig-100_33,132062,60
10,IDBA-UD,Bacillus_subtilis,contig-100_40,122499,60
11,IDBA-UD,Bacillus_subtilis,contig-100_42,120791,60
12,IDBA-UD,Bacillus_subtilis,contig-100_44,114257,60
13,IDBA-UD,Bacillus_subtilis,contig-100_49,109843,60
14,IDBA-UD,Bacillus_subtilis,contig-100_51,107662,60
15,IDBA-UD,Bacillus_subtilis,contig-100_54,101752,60
16,IDBA-UD,Bacillus_subtilis,contig-100_55,101414,60
17,IDBA-UD,Bacillus_subtilis,contig-100_61,98887,60
18,IDBA-UD,Bacillus_subtilis,contig-100_69,93488,49.707558689660544
19,IDBA-UD,Bacillus_subtilis,contig-100_76,87966,60
20,IDBA-UD,Bacillus_subtilis,contig-100_77,87597,60
21,IDBA-UD,Bacillus_subtilis,contig-100_80,87237,60
22,IDBA-UD,Bacillus_subtilis,contig-100_83,83066,60
23,IDBA-UD,Bacillus_subtilis,contig-100_87,79023,60
24,IDBA-UD,Bacillus_subtilis,contig-100_89,74639,60
25,IDBA-UD,Bacillus_subtilis,contig-100_102,69056,60
26,IDBA-UD,Bacillus_subtilis,contig-100_122,60399,60
27,IDBA-UD,Bacillus_subtilis,contig-100_128,57086,60
28,IDBA-UD,Bacillus_subtilis,contig-100_133,55365,60
29,IDBA-UD,Bacillus_subtilis,contig-100_151,51822,60
30,IDBA-UD,Bacillus_subtilis,contig-100_169,47434,60
31,IDBA-UD,Bacillus_subtilis,contig-100_173,46836,60
32,IDBA-UD,Bacillus_subtilis,contig-100_212,38351,60
33,IDBA-UD,Bacillus_subtilis,contig-100_214,38231,60
34,IDBA-UD,Bacillus_subtilis,contig-100_218,37683,60
35,IDBA-UD,Bacillus_subtilis,contig-100_233,35384,60
36,IDBA-UD,Bacillus_subtilis,contig-100_271,29856,60
37,IDBA-UD,Bacillus_subtilis,contig-100_272,29780,60
38,IDBA-UD,Bacillus_subtilis,contig-100_291,28180,60
39,IDBA-UD,Bacillus_subtilis,contig-100_335,23330,60
40,IDBA-UD,Bacillus_subtilis,contig-100_340,23062,60
41,IDBA-UD,Bacillus_subtilis,contig-100_407,18068,60
42,IDBA-UD,Bacillus_subtilis,contig-100_419,17013,60
43,IDBA-UD,Bacillus_subtilis,contig-100_446,15643,60
44,IDBA-UD,Bacillus_subtilis,contig-100_527,12452,60
45,IDBA-UD,Bacillus_subtilis,contig-100_539,11900,60
46,IDBA-UD,Bacillus_subtilis,contig-100_561,10863,31.908517395224465
47,IDBA-UD,Bacillus_subtilis,contig-100_562,10833,60
48,IDBA-UD,Bacillus_subtilis,contig-100_750,5937,60
49,IDBA-UD,Bacillus_subtilis,contig-100_978,2812,60
50,IDBA-UD,Bacillus_subtilis,contig-100_1120,1559,60
51,IDBA-UD,Bacillus_subtilis,contig-100_1164,1331,14.520801975389572
52,IDBA-UD,Bacillus_subtilis,contig-100_1239,1029,23.134453704264093
53,IDBA-UD,Enterococcus_faecalis,contig-100_3,443329,60
54,IDBA-UD,Enterococcus_faecalis,contig-100_6,267874,60
55,IDBA-UD,Enterococcus_faecalis,contig-100_13,195054,60
56,IDBA-UD,Enterococcus_faecalis,contig-100_16,184434,60
57,IDBA-UD,Enterococcus_faecalis,contig-100_43,118897,60
58,IDBA-UD,Enterococcus_faecalis,contig-100_45,113206,60
59,IDBA-UD,Enterococcus_faecalis,contig-100_47,111759,60
60,IDBA-UD,Enterococcus_faecalis,contig-100_65,96171,60
61,IDBA-UD,Enterococcus_faecalis,contig-100_67,94357,60
62,IDBA-UD,Enterococcus_faecalis,contig-100_88,78576,60
63,IDBA-UD,Enterococcus_faecalis,contig-100_100,69129,60
64,IDBA-UD,Enterococcus_faecalis,contig-100_105,68758,60
65,IDBA-UD,Enterococcus_faecalis,contig-100_106,68351,60
66,IDBA-UD,Enterococcus_faecalis,contig-100_115,63313,60
67,IDBA-UD,Enterococcus_faecalis,contig-100_116,62442,60
68,IDBA-UD,Enterococcus_faecalis,contig-100_125,59294,60
69,IDBA-UD,Enterococcus_faecalis,contig-100_132,55514,60
70,IDBA-UD,Enterococcus_faecalis,contig-100_156,50166,60
71,IDBA-UD,Enterococcus_faecalis,contig-100_159,49699,60
72,IDBA-UD,Enterococcus_faecalis,contig-100_188,43690,60
73,IDBA-UD,Enterococcus_faecalis,contig-100_195,41891,60
74,IDBA-UD,Enterococcus_faecalis,contig-100_209,38792,60
75,IDBA-UD,Enterococcus_faecalis,contig-100_256,31648,60
76,IDBA-UD,Enterococcus_faecalis,contig-100_264,30444,60
77,IDBA-UD,Enterococcus_faecalis,contig-100_267,30256,60
78,IDBA-UD,Enterococcus_faecalis,contig-100_277,29305,60
79,IDBA-UD,Enterococcus_faecalis,contig-100_298,27094,60
80,IDBA-UD,Enterococcus_faecalis,contig-100_317,24708,60
81,IDBA-UD,Enterococcus_faecalis,contig-100_341,22870,60
82,IDBA-UD,Enterococcus_faecalis,contig-100_361,21272,31.51717065267832
83,IDBA-UD,Enterococcus_faecalis,contig-100_377,19776,60
84,IDBA-UD,Enterococcus_faecalis,contig-100_382,19263,60
85,IDBA-UD,Enterococcus_faecalis,contig-100_427,16621,60
86,IDBA-UD,Enterococcus_faecalis,contig-100_436,16208,60
87,IDBA-UD,Enterococcus_faecalis,contig-100_456,15112,60
88,IDBA-UD,Enterococcus_faecalis,contig-100_497,13777,60
89,IDBA-UD,Enterococcus_faecalis,contig-100_511,13030,60
90,IDBA-UD,Enterococcus_faecalis,contig-100_520,12689,60
91,IDBA-UD,Enterococcus_faecalis,contig-100_526,12503,60
92,IDBA-UD,Enterococcus_faecalis,contig-100_596,9871,60
93,IDBA-UD,Enterococcus_faecalis,contig-100_630,8903,60
94,IDBA-UD,Enterococcus_faecalis,contig-100_730,6339,60
95,IDBA-UD,Enterococcus_faecalis,contig-100_804,5039,60
96,IDBA-UD,Enterococcus_faecalis,contig-100_831,4521,15.653293955948957
97,IDBA-UD,Enterococcus_faecalis,contig-100_949,3072,60
98,IDBA-UD,Enterococcus_faecalis,contig-100_1035,2150,60
99,IDBA-UD,Enterococcus_faecalis,contig-100_1081,1795,60
100,IDBA-UD,Enterococcus_faecalis,contig-100_1133,1514,60
101,IDBA-UD,Enterococcus_faecalis,contig-100_1143,1464,60
102,IDBA-UD,Enterococcus_faecalis,contig-100_1232,1042,60
103,IDBA-UD,Enterococcus_faecalis,contig-100_1251,1000,60
104,IDBA-UD,Escherichia_coli_plasmid,contig-100_144,53127,60
105,IDBA-UD,Escherichia_coli_plasmid,contig-100_290,28269,60
106,IDBA-UD,Escherichia_coli_plasmid,contig-100_303,26526,60
107,IDBA-UD,Escherichia_coli,contig-100_73,90369,60
108,IDBA-UD,Escherichia_coli,contig-100_96,71378,60
109,IDBA-UD,Escherichia_coli,contig-100_104,68827,60
110,IDBA-UD,Escherichia_coli,contig-100_114,63699,60
111,IDBA-UD,Escherichia_coli,contig-100_123,60074,60
112,IDBA-UD,Escherichia_coli,contig-100_129,56114,60
113,IDBA-UD,Escherichia_coli,contig-100_131,55742,60
114,IDBA-UD,Escherichia_coli,contig-100_135,55270,60
115,IDBA-UD,Escherichia_coli,contig-100_136,55264,60
116,IDBA-UD,Escherichia_coli,contig-100_138,54258,10.083073150520832
117,IDBA-UD,Escherichia_coli,contig-100_154,50812,60
118,IDBA-UD,Escherichia_coli,contig-100_165,48126,29.748095906257703
119,IDBA-UD,Escherichia_coli,contig-100_174,46628,60
120,IDBA-UD,Escherichia_coli,contig-100_177,46234,60
121,IDBA-UD,Escherichia_coli,contig-100_184,44863,60
122,IDBA-UD,Escherichia_coli,contig-100_187,44377,60
123,IDBA-UD,Escherichia_coli,contig-100_192,42301,60
124,IDBA-UD,Escherichia_coli,contig-100_193,42032,60
125,IDBA-UD,Escherichia_coli,contig-100_200,40508,60
126,IDBA-UD,Escherichia_coli,contig-100_204,39926,60
127,IDBA-UD,Escherichia_coli,contig-100_210,38469,60
128,IDBA-UD,Escherichia_coli,contig-100_211,38379,60
129,IDBA-UD,Escherichia_coli,contig-100_216,38042,60
130,IDBA-UD,Escherichia_coli,contig-100_228,36656,60
131,IDBA-UD,Escherichia_coli,contig-100_230,36110,60
132,IDBA-UD,Escherichia_coli,contig-100_237,34852,60
133,IDBA-UD,Escherichia_coli,contig-100_242,33991,60
134,IDBA-UD,Escherichia_coli,contig-100_247,33376,60
135,IDBA-UD,Escherichia_coli,contig-100_249,33063,60
136,IDBA-UD,Escherichia_coli,contig-100_250,32605,60
137,IDBA-UD,Escherichia_coli,contig-100_257,31615,60
138,IDBA-UD,Escherichia_coli,contig-100_275,29542,60
139,IDBA-UD,Escherichia_coli,contig-100_279,29239,41.64932519615288
140,IDBA-UD,Escherichia_coli,contig-100_282,29003,60
141,IDBA-UD,Escherichia_coli,contig-100_284,28558,1.7224564221139818
142,IDBA-UD,Escherichia_coli,contig-100_287,28360,60
143,IDBA-UD,Escherichia_coli,contig-100_296,27520,60
144,IDBA-UD,Escherichia_coli,contig-100_300,26722,44.26868959659201
