,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,GATBMiniaPipeline,Bacillus_subtilis,110,4119,60
1,GATBMiniaPipeline,Bacillus_subtilis,168,6324,60
2,GATBMiniaPipeline,Bacillus_subtilis,169,1018,60
3,GATBMiniaPipeline,Bacillus_subtilis,191,2265,60
4,GATBMiniaPipeline,Bacillus_subtilis,241,4360,60
5,GATBMiniaPipeline,Bacillus_subtilis,257,32127,60
6,GATBMiniaPipeline,Bacillus_subtilis,273,13448,60
7,GATBMiniaPipeline,Bacillus_subtilis,280,9103,60
8,GATBMiniaPipeline,Bacillus_subtilis,410,26925,60
9,GATBMiniaPipeline,Bacillus_subtilis,411,31513,60
10,GATBMiniaPipeline,Bacillus_subtilis,436,4207,60
11,GATBMiniaPipeline,Bacillus_subtilis,443,1218,30.856472882968276
12,GATBMiniaPipeline,Bacillus_subtilis,493,29751,60
13,GATBMiniaPipeline,Bacillus_subtilis,508,34516,60
14,GATBMiniaPipeline,Bacillus_subtilis,520,38171,35.4034085254282
15,GATBMiniaPipeline,Bacillus_subtilis,559,11427,29.118041917023714
16,GATBMiniaPipeline,Bacillus_subtilis,567,31451,60
17,GATBMiniaPipeline,Bacillus_subtilis,595,22601,60
18,GATBMiniaPipeline,Bacillus_subtilis,628,3507,60
19,GATBMiniaPipeline,Bacillus_subtilis,629,15002,60
20,GATBMiniaPipeline,Bacillus_subtilis,644,10111,60
21,GATBMiniaPipeline,Bacillus_subtilis,645,25004,60
22,GATBMiniaPipeline,Bacillus_subtilis,661,21028,29.610701323287838
23,GATBMiniaPipeline,Bacillus_subtilis,681,24937,60
24,GATBMiniaPipeline,Bacillus_subtilis,729,17903,29.97653306562496
25,GATBMiniaPipeline,Bacillus_subtilis,777,2441,60
26,GATBMiniaPipeline,Bacillus_subtilis,793,6584,60
27,GATBMiniaPipeline,Bacillus_subtilis,827,2200,60
28,GATBMiniaPipeline,Bacillus_subtilis,831,5880,60
29,GATBMiniaPipeline,Bacillus_subtilis,846,18956,60
30,GATBMiniaPipeline,Bacillus_subtilis,854,28985,60
31,GATBMiniaPipeline,Bacillus_subtilis,901,34339,60
32,GATBMiniaPipeline,Bacillus_subtilis,1031,33406,60
33,GATBMiniaPipeline,Bacillus_subtilis,1079,2034,27.062909572587735
34,GATBMiniaPipeline,Bacillus_subtilis,1130,15855,28.022262376910724
35,GATBMiniaPipeline,Bacillus_subtilis,1153,6806,60
36,GATBMiniaPipeline,Bacillus_subtilis,1192,53636,33.677285460869406
37,GATBMiniaPipeline,Bacillus_subtilis,1249,17506,60
38,GATBMiniaPipeline,Bacillus_subtilis,1253,52518,35.16188196195197
39,GATBMiniaPipeline,Bacillus_subtilis,1281,8643,60
40,GATBMiniaPipeline,Bacillus_subtilis,1297,23224,60
41,GATBMiniaPipeline,Bacillus_subtilis,1315,9854,60
42,GATBMiniaPipeline,Bacillus_subtilis,1317,15425,60
43,GATBMiniaPipeline,Bacillus_subtilis,1345,3622,30.81827191258405
44,GATBMiniaPipeline,Bacillus_subtilis,1349,26848,60
45,GATBMiniaPipeline,Bacillus_subtilis,1357,61185,60
46,GATBMiniaPipeline,Bacillus_subtilis,1360,103952,60
47,GATBMiniaPipeline,Bacillus_subtilis,1412,11335,60
48,GATBMiniaPipeline,Bacillus_subtilis,1425,5673,60
49,GATBMiniaPipeline,Bacillus_subtilis,1483,44007,60
50,GATBMiniaPipeline,Bacillus_subtilis,1498,4337,60
51,GATBMiniaPipeline,Bacillus_subtilis,1528,30028,60
52,GATBMiniaPipeline,Bacillus_subtilis,1541,9609,60
53,GATBMiniaPipeline,Bacillus_subtilis,1542,6882,60
54,GATBMiniaPipeline,Bacillus_subtilis,1546,39327,60
55,GATBMiniaPipeline,Bacillus_subtilis,1547,14073,36.71265432947252
56,GATBMiniaPipeline,Bacillus_subtilis,1629,55933,60
57,GATBMiniaPipeline,Bacillus_subtilis,1635,17660,60
58,GATBMiniaPipeline,Bacillus_subtilis,1643,5965,60
59,GATBMiniaPipeline,Bacillus_subtilis,1669,29943,60
60,GATBMiniaPipeline,Bacillus_subtilis,1680,22135,31.409595436589566
61,GATBMiniaPipeline,Bacillus_subtilis,1692,17447,60
62,GATBMiniaPipeline,Bacillus_subtilis,1721,20059,60
63,GATBMiniaPipeline,Bacillus_subtilis,1763,32353,31.297033160299826
64,GATBMiniaPipeline,Bacillus_subtilis,1765,18342,60
65,GATBMiniaPipeline,Bacillus_subtilis,1769,52808,60
66,GATBMiniaPipeline,Bacillus_subtilis,1786,55075,60
67,GATBMiniaPipeline,Bacillus_subtilis,1834,32953,60
68,GATBMiniaPipeline,Bacillus_subtilis,1923,34792,35.41479394657207
69,GATBMiniaPipeline,Bacillus_subtilis,1931,15160,60
70,GATBMiniaPipeline,Bacillus_subtilis,1941,15570,60
71,GATBMiniaPipeline,Bacillus_subtilis,1986,39705,60
72,GATBMiniaPipeline,Bacillus_subtilis,1993,3029,60
73,GATBMiniaPipeline,Bacillus_subtilis,2002,27661,60
74,GATBMiniaPipeline,Bacillus_subtilis,2023,2615,60
75,GATBMiniaPipeline,Bacillus_subtilis,2075,12544,60
76,GATBMiniaPipeline,Bacillus_subtilis,2078,6399,60
77,GATBMiniaPipeline,Bacillus_subtilis,2109,22559,60
78,GATBMiniaPipeline,Bacillus_subtilis,2149,17159,60
79,GATBMiniaPipeline,Bacillus_subtilis,2160,23181,60
80,GATBMiniaPipeline,Bacillus_subtilis,2218,66251,60
81,GATBMiniaPipeline,Bacillus_subtilis,2227,7249,28.188854145940105
82,GATBMiniaPipeline,Bacillus_subtilis,2243,1210,60
83,GATBMiniaPipeline,Bacillus_subtilis,2280,22307,60
84,GATBMiniaPipeline,Bacillus_subtilis,2295,9085,60
85,GATBMiniaPipeline,Bacillus_subtilis,2335,12129,60
86,GATBMiniaPipeline,Bacillus_subtilis,2341,5443,28.90740294302832
87,GATBMiniaPipeline,Bacillus_subtilis,2351,65005,60
88,GATBMiniaPipeline,Bacillus_subtilis,2358,8421,60
89,GATBMiniaPipeline,Bacillus_subtilis,2360,34876,60
90,GATBMiniaPipeline,Bacillus_subtilis,2491,24860,60
91,GATBMiniaPipeline,Bacillus_subtilis,2522,19703,60
