,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,ABySS,Bacillus_subtilis,45,126242,60
1,ABySS,Bacillus_subtilis,39389,343199,60
2,ABySS,Bacillus_subtilis,44079,60785,47.837964210327
3,ABySS,Bacillus_subtilis,44080,35589,60
4,ABySS,Bacillus_subtilis,44081,123426,37.4898397374635
5,ABySS,Bacillus_subtilis,44082,60592,60
6,ABySS,Bacillus_subtilis,44083,56111,60
7,ABySS,Bacillus_subtilis,44084,16476,60
8,ABySS,Bacillus_subtilis,44085,38797,45.887981448248055
9,ABySS,Bacillus_subtilis,44086,264108,40.60053720445574
10,ABySS,Bacillus_subtilis,44087,197276,60
11,ABySS,Bacillus_subtilis,44088,24044,60
12,ABySS,Bacillus_subtilis,44089,30528,60
13,ABySS,Bacillus_subtilis,44090,253277,60
14,ABySS,Bacillus_subtilis,44091,102545,50.109144894186066
15,ABySS,Bacillus_subtilis,44092,39035,60
16,ABySS,Bacillus_subtilis,44093,209593,60
17,ABySS,Bacillus_subtilis,44094,230952,60
18,ABySS,Bacillus_subtilis,44095,372851,60
19,ABySS,Bacillus_subtilis,44097,60642,44.81743520419842
20,ABySS,Bacillus_subtilis,44098,295233,60
21,ABySS,Bacillus_subtilis,44366,255341,60
22,ABySS,Bacillus_subtilis,44367,270030,54.31412016423752
23,ABySS,Bacillus_subtilis,44368,84881,36.27780491769418
24,ABySS,Bacillus_subtilis,44369,11453,27.57889265054914
25,ABySS,Bacillus_subtilis,45001,429894,60
26,ABySS,Enterococcus_faecalis,44187,539107,60
27,ABySS,Enterococcus_faecalis,44189,2598,60
28,ABySS,Enterococcus_faecalis,44190,216065,60
29,ABySS,Enterococcus_faecalis,44191,372807,55.714840582707204
30,ABySS,Enterococcus_faecalis,44192,181626,44.14079978445499
31,ABySS,Enterococcus_faecalis,44193,31864,42.02270297736937
32,ABySS,Enterococcus_faecalis,44196,31696,60
33,ABySS,Enterococcus_faecalis,44197,241090,60
34,ABySS,Enterococcus_faecalis,44198,164488,60
35,ABySS,Enterococcus_faecalis,44199,37303,45.717437602543434
36,ABySS,Enterococcus_faecalis,44201,34755,60
37,ABySS,Enterococcus_faecalis,44203,1504,60
38,ABySS,Enterococcus_faecalis,44465,87271,49.408699523858004
