,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,LHS,Unicycler,Bacillus_subtilis,4045677.0,79715,82026
1,LHS,Unicycler,Bacillus_subtilis,4045677.0,116029,116086
2,LHS,Unicycler,Bacillus_subtilis,4045677.0,121296,121395
3,LHS,Unicycler,Bacillus_subtilis,4045677.0,130940,131038
4,LHS,Unicycler,Bacillus_subtilis,4045677.0,179604,179713
5,LHS,Unicycler,Bacillus_subtilis,4045677.0,209016,210244
6,LHS,Unicycler,Bacillus_subtilis,4045677.0,223437,223541
7,LHS,Unicycler,Bacillus_subtilis,4045677.0,227929,227998
8,LHS,Unicycler,Bacillus_subtilis,4045677.0,233461,234496
9,LHS,Unicycler,Bacillus_subtilis,4045677.0,243282,243372
10,LHS,Unicycler,Bacillus_subtilis,4045677.0,271465,274638
11,LHS,Unicycler,Bacillus_subtilis,4045677.0,325841,325941
12,LHS,Unicycler,Bacillus_subtilis,4045677.0,334787,334836
13,LHS,Unicycler,Bacillus_subtilis,4045677.0,352864,352951
14,LHS,Unicycler,Bacillus_subtilis,4045677.0,357087,359901
15,LHS,Unicycler,Bacillus_subtilis,4045677.0,365681,365780
16,LHS,Unicycler,Bacillus_subtilis,4045677.0,370732,372854
17,LHS,Unicycler,Bacillus_subtilis,4045677.0,383053,383127
18,LHS,Unicycler,Bacillus_subtilis,4045677.0,402122,402228
19,LHS,Unicycler,Bacillus_subtilis,4045677.0,428886,428975
20,LHS,Unicycler,Bacillus_subtilis,4045677.0,433111,433205
21,LHS,Unicycler,Bacillus_subtilis,4045677.0,492271,492774
22,LHS,Unicycler,Bacillus_subtilis,4045677.0,505687,506203
23,LHS,Unicycler,Bacillus_subtilis,4045677.0,529762,531998
24,LHS,Unicycler,Bacillus_subtilis,4045677.0,553352,553443
25,LHS,Unicycler,Bacillus_subtilis,4045677.0,557375,557460
26,LHS,Unicycler,Bacillus_subtilis,4045677.0,582708,582843
27,LHS,Unicycler,Bacillus_subtilis,4045677.0,598950,599020
28,LHS,Unicycler,Bacillus_subtilis,4045677.0,613289,613387
29,LHS,Unicycler,Bacillus_subtilis,4045677.0,639803,642650
30,LHS,Unicycler,Bacillus_subtilis,4045677.0,666754,666848
31,LHS,Unicycler,Bacillus_subtilis,4045677.0,696394,696508
32,LHS,Unicycler,Bacillus_subtilis,4045677.0,700630,700721
33,LHS,Unicycler,Bacillus_subtilis,4045677.0,706494,706598
34,LHS,Unicycler,Bacillus_subtilis,4045677.0,729526,729644
35,LHS,Unicycler,Bacillus_subtilis,4045677.0,741106,741197
36,LHS,Unicycler,Bacillus_subtilis,4045677.0,755490,755579
37,LHS,Unicycler,Bacillus_subtilis,4045677.0,785527,785651
38,LHS,Unicycler,Bacillus_subtilis,4045677.0,796683,796968
39,LHS,Unicycler,Bacillus_subtilis,4045677.0,802048,808254
40,LHS,Unicycler,Bacillus_subtilis,4045677.0,827555,831447
41,LHS,Unicycler,Bacillus_subtilis,4045677.0,837247,837318
42,LHS,Unicycler,Bacillus_subtilis,4045677.0,843789,843877
43,LHS,Unicycler,Bacillus_subtilis,4045677.0,889715,889789
44,LHS,Unicycler,Bacillus_subtilis,4045677.0,930165,935675
45,LHS,Unicycler,Bacillus_subtilis,4045677.0,950630,950717
46,LHS,Unicycler,Bacillus_subtilis,4045677.0,992961,993051
47,LHS,Unicycler,Bacillus_subtilis,4045677.0,1007417,1007511
48,LHS,Unicycler,Bacillus_subtilis,4045677.0,1015407,1015506
49,LHS,Unicycler,Bacillus_subtilis,4045677.0,1026288,1026376
50,LHS,Unicycler,Bacillus_subtilis,4045677.0,1032152,1032241
51,LHS,Unicycler,Bacillus_subtilis,4045677.0,1059727,1060861
52,LHS,Unicycler,Bacillus_subtilis,4045677.0,1067508,1069712
53,LHS,Unicycler,Bacillus_subtilis,4045677.0,1074149,1074252
54,LHS,Unicycler,Bacillus_subtilis,4045677.0,1090169,1090261
55,LHS,Unicycler,Bacillus_subtilis,4045677.0,1146838,1146911
56,LHS,Unicycler,Bacillus_subtilis,4045677.0,1161705,1162539
57,LHS,Unicycler,Bacillus_subtilis,4045677.0,1174491,1174623
58,LHS,Unicycler,Bacillus_subtilis,4045677.0,1196643,1196751
59,LHS,Unicycler,Bacillus_subtilis,4045677.0,1207399,1207493
60,LHS,Unicycler,Bacillus_subtilis,4045677.0,1219473,1219562
61,LHS,Unicycler,Bacillus_subtilis,4045677.0,1261617,1261633
62,LHS,Unicycler,Bacillus_subtilis,4045677.0,1264921,1269937
63,LHS,Unicycler,Bacillus_subtilis,4045677.0,1285472,1285519
64,LHS,Unicycler,Bacillus_subtilis,4045677.0,1304813,1304882
65,LHS,Unicycler,Bacillus_subtilis,4045677.0,1354302,1356429
66,LHS,Unicycler,Bacillus_subtilis,4045677.0,1372602,1372697
67,LHS,Unicycler,Bacillus_subtilis,4045677.0,1388326,1388425
68,LHS,Unicycler,Bacillus_subtilis,4045677.0,1396483,1396572
69,LHS,Unicycler,Bacillus_subtilis,4045677.0,1401790,1401883
70,LHS,Unicycler,Bacillus_subtilis,4045677.0,1411449,1411538
71,LHS,Unicycler,Bacillus_subtilis,4045677.0,1418480,1418569
72,LHS,Unicycler,Bacillus_subtilis,4045677.0,1476061,1476156
73,LHS,Unicycler,Bacillus_subtilis,4045677.0,1538041,1538237
74,LHS,Unicycler,Bacillus_subtilis,4045677.0,1591113,1591234
75,LHS,Unicycler,Bacillus_subtilis,4045677.0,1616082,1616126
76,LHS,Unicycler,Bacillus_subtilis,4045677.0,1624876,1624968
77,LHS,Unicycler,Bacillus_subtilis,4045677.0,1659771,1659883
78,LHS,Unicycler,Bacillus_subtilis,4045677.0,1671413,1672612
79,LHS,Unicycler,Bacillus_subtilis,4045677.0,1677537,1677623
80,LHS,Unicycler,Bacillus_subtilis,4045677.0,1700877,1701763
81,LHS,Unicycler,Bacillus_subtilis,4045677.0,1708119,1720888
