,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EMS,SPAdes,NODE_1_length_847727_cov_17.649843,847727,Pseudomonas_aeruginosa,0
1,1,EMS,SPAdes,NODE_2_length_660392_cov_29.971090,660392,Bacillus_subtilis,0
2,2,EMS,SPAdes,NODE_3_length_632683_cov_39.989834,632683,Listeria_monocytogenes,0
3,3,EMS,SPAdes,NODE_4_length_543049_cov_39.943244,543049,Listeria_monocytogenes,0
4,4,EMS,SPAdes,NODE_5_length_542077_cov_17.691339,542077,Pseudomonas_aeruginosa,0
5,5,EMS,SPAdes,NODE_6_length_539316_cov_41.974321,539316,Enterococcus_faecalis,0
6,6,EMS,SPAdes,NODE_7_length_530150_cov_25.205966,530150,Salmonella_enterica,0
7,7,EMS,SPAdes,NODE_8_length_506803_cov_44.157890,506803,Staphylococcus_aureus,0
8,8,EMS,SPAdes,NODE_9_length_465404_cov_17.604641,465404,Pseudomonas_aeruginosa,0
9,9,EMS,SPAdes,NODE_10_length_452204_cov_25.241472,452204,Escherichia_coli,0
10,10,EMS,SPAdes,NODE_11_length_448684_cov_40.005789,448684,Listeria_monocytogenes,0
11,11,EMS,SPAdes,NODE_12_length_431062_cov_29.623799,431062,Bacillus_subtilis,0
12,12,EMS,SPAdes,NODE_13_length_425679_cov_17.647532,425679,Pseudomonas_aeruginosa,0
13,13,EMS,SPAdes,NODE_14_length_417688_cov_44.460740,417688,Staphylococcus_aureus,0
14,14,EMS,SPAdes,NODE_15_length_379030_cov_44.212741,379030,Staphylococcus_aureus,0
15,15,EMS,SPAdes,NODE_16_length_379014_cov_44.391416,379014,Staphylococcus_aureus,0
16,16,EMS,SPAdes,NODE_17_length_372537_cov_29.635835,372537,Bacillus_subtilis,0
17,17,EMS,SPAdes,NODE_18_length_369089_cov_27.162030,369089,Salmonella_enterica,0
18,18,EMS,SPAdes,NODE_19_length_354025_cov_25.503102,354025,Salmonella_enterica,0
19,19,EMS,SPAdes,NODE_20_length_342805_cov_29.595481,342805,Bacillus_subtilis,0
20,20,EMS,SPAdes,NODE_21_length_336424_cov_42.076481,336424,Enterococcus_faecalis,0
21,21,EMS,SPAdes,NODE_22_length_328689_cov_26.994452,328689,Escherichia_coli,0
22,22,EMS,SPAdes,NODE_23_length_315091_cov_29.563070,315091,Bacillus_subtilis,0
23,23,EMS,SPAdes,NODE_24_length_308058_cov_29.456505,308058,Bacillus_subtilis,0
24,24,EMS,SPAdes,NODE_25_length_294635_cov_17.477743,294635,Pseudomonas_aeruginosa,0
25,25,EMS,SPAdes,NODE_26_length_294421_cov_29.506537,294421,Bacillus_subtilis,0
26,26,EMS,SPAdes,NODE_27_length_281158_cov_42.156620,281158,Enterococcus_faecalis,0
27,27,EMS,SPAdes,NODE_28_length_280950_cov_44.924995,280950,Staphylococcus_aureus,0
28,28,EMS,SPAdes,NODE_29_length_278483_cov_40.177309,278483,Listeria_monocytogenes,0
29,29,EMS,SPAdes,NODE_30_length_258508_cov_17.673541,258508,Pseudomonas_aeruginosa,0
30,30,EMS,SPAdes,NODE_31_length_257913_cov_17.762651,257913,Pseudomonas_aeruginosa,0
31,31,EMS,SPAdes,NODE_32_length_257220_cov_29.832121,257220,Bacillus_subtilis,0
32,32,EMS,SPAdes,NODE_33_length_256369_cov_17.750991,256369,Pseudomonas_aeruginosa,0
33,33,EMS,SPAdes,NODE_34_length_254585_cov_39.769056,254585,Listeria_monocytogenes,0
34,34,EMS,SPAdes,NODE_35_length_253640_cov_29.598167,253640,Bacillus_subtilis,0
35,35,EMS,SPAdes,NODE_36_length_253094_cov_17.717351,253094,Pseudomonas_aeruginosa,0
36,36,EMS,SPAdes,NODE_37_length_242521_cov_25.065232,242521,Salmonella_enterica,0
37,37,EMS,SPAdes,NODE_38_length_239229_cov_17.679300,239229,Pseudomonas_aeruginosa,0
38,38,EMS,SPAdes,NODE_39_length_238915_cov_42.145982,238915,Enterococcus_faecalis,0
39,39,EMS,SPAdes,NODE_40_length_235086_cov_42.065432,235086,Enterococcus_faecalis,0
40,40,EMS,SPAdes,NODE_41_length_229008_cov_25.300859,229008,Escherichia_coli,0
41,41,EMS,SPAdes,NODE_42_length_228213_cov_25.307716,228213,Salmonella_enterica,0
42,42,EMS,SPAdes,NODE_43_length_224277_cov_25.141744,224277,Salmonella_enterica,0
43,43,EMS,SPAdes,NODE_44_length_216605_cov_17.442077,216605,Pseudomonas_aeruginosa,0
44,44,EMS,SPAdes,NODE_45_length_213961_cov_40.000799,213961,Listeria_monocytogenes,0
45,45,EMS,SPAdes,NODE_46_length_210808_cov_17.629243,210808,Pseudomonas_aeruginosa,0
46,46,EMS,SPAdes,NODE_47_length_208993_cov_29.620953,208993,Bacillus_subtilis,0
47,47,EMS,SPAdes,NODE_48_length_204578_cov_17.666613,204578,Pseudomonas_aeruginosa,0
48,48,EMS,SPAdes,NODE_49_length_196857_cov_17.541747,196857,Pseudomonas_aeruginosa,0
49,49,EMS,SPAdes,NODE_50_length_196634_cov_24.981863,196634,Salmonella_enterica,0
50,50,EMS,SPAdes,NODE_51_length_195442_cov_40.115865,195442,Listeria_monocytogenes,0
51,51,EMS,SPAdes,NODE_52_length_191370_cov_17.485846,191370,Pseudomonas_aeruginosa,0
52,52,EMS,SPAdes,NODE_53_length_190129_cov_17.782770,190129,Pseudomonas_aeruginosa,0
53,53,EMS,SPAdes,NODE_54_length_187650_cov_17.493962,187650,Pseudomonas_aeruginosa,0
54,54,EMS,SPAdes,NODE_55_length_187174_cov_25.274483,187174,Salmonella_enterica,0
55,55,EMS,SPAdes,NODE_56_length_182502_cov_26.752803,182502,Escherichia_coli,0
56,56,EMS,SPAdes,NODE_57_length_179498_cov_42.135675,179498,Enterococcus_faecalis,0
57,57,EMS,SPAdes,NODE_58_length_177711_cov_25.385607,177711,Salmonella_enterica,0
58,58,EMS,SPAdes,NODE_59_length_168933_cov_24.980232,168933,Escherichia_coli,0
59,59,EMS,SPAdes,NODE_60_length_164404_cov_25.290336,164404,Salmonella_enterica,0
60,60,EMS,SPAdes,NODE_61_length_157954_cov_25.401521,157954,Salmonella_enterica,0
61,61,EMS,SPAdes,NODE_62_length_157606_cov_42.198237,157606,Enterococcus_faecalis,0
62,62,EMS,SPAdes,NODE_63_length_153724_cov_25.414352,153724,Salmonella_enterica,0
63,63,EMS,SPAdes,NODE_64_length_151119_cov_43.611995,151119,Staphylococcus_aureus,0
64,64,EMS,SPAdes,NODE_65_length_147633_cov_25.270684,147633,Escherichia_coli,0
65,65,EMS,SPAdes,NODE_66_length_142684_cov_25.592706,142684,Salmonella_enterica,0
66,66,EMS,SPAdes,NODE_67_length_138003_cov_25.240165,138003,Salmonella_enterica,0
67,67,EMS,SPAdes,NODE_68_length_137954_cov_42.769838,137954,Enterococcus_faecalis,0
68,68,EMS,SPAdes,NODE_69_length_137234_cov_29.735617,137234,Bacillus_subtilis,0
69,69,EMS,SPAdes,NODE_70_length_131758_cov_25.453103,131758,Escherichia_coli,0
70,70,EMS,SPAdes,NODE_70_length_131758_cov_25.453103,131758,Escherichia_coli,0
71,71,EMS,SPAdes,NODE_71_length_130094_cov_25.559573,130094,Salmonella_enterica,0
72,72,EMS,SPAdes,NODE_72_length_128418_cov_42.108944,128418,Enterococcus_faecalis,0
73,73,EMS,SPAdes,NODE_73_length_125612_cov_40.730020,125612,Listeria_monocytogenes,0
74,74,EMS,SPAdes,NODE_74_length_124225_cov_25.209967,124225,Escherichia_coli,0
75,75,EMS,SPAdes,NODE_75_length_122457_cov_29.522381,122457,Bacillus_subtilis,0
76,76,EMS,SPAdes,NODE_76_length_121905_cov_62.883385,121905,Lactobacillus_fermentum,0
77,77,EMS,SPAdes,NODE_77_length_120218_cov_17.580892,120218,Pseudomonas_aeruginosa,0
78,78,EMS,SPAdes,NODE_78_length_118833_cov_17.568022,118833,Pseudomonas_aeruginosa,0
79,79,EMS,SPAdes,NODE_79_length_116171_cov_25.125157,116171,Escherichia_coli,0
80,80,EMS,SPAdes,NODE_80_length_114611_cov_62.471938,114611,Lactobacillus_fermentum,0
81,81,EMS,SPAdes,NODE_81_length_114565_cov_44.233509,114565,Staphylococcus_aureus,0
82,82,EMS,SPAdes,NODE_82_length_114004_cov_44.402767,114004,Staphylococcus_aureus,0
83,83,EMS,SPAdes,NODE_83_length_112818_cov_25.372801,112818,Escherichia_coli,0
84,84,EMS,SPAdes,NODE_84_length_112416_cov_25.030363,112416,Salmonella_enterica,0
85,85,EMS,SPAdes,NODE_85_length_111131_cov_25.537774,111131,Escherichia_coli,0
86,86,EMS,SPAdes,NODE_86_length_111099_cov_24.952865,111099,Escherichia_coli,0
87,87,EMS,SPAdes,NODE_87_length_107983_cov_43.871045,107983,Staphylococcus_aureus,0
88,88,EMS,SPAdes,NODE_88_length_106917_cov_17.436363,106917,Pseudomonas_aeruginosa,0
89,89,EMS,SPAdes,NODE_89_length_105278_cov_25.620602,105278,Salmonella_enterica,0
90,90,EMS,SPAdes,NODE_90_length_104360_cov_25.800830,104360,Salmonella_enterica,0
91,91,EMS,SPAdes,NODE_91_length_103678_cov_25.313935,103678,Salmonella_enterica,0
92,92,EMS,SPAdes,NODE_92_length_102174_cov_25.002458,102174,Escherichia_coli,0
93,93,EMS,SPAdes,NODE_93_length_99682_cov_39.958868,99682,Listeria_monocytogenes,0
94,94,EMS,SPAdes,NODE_94_length_99202_cov_62.742840,99202,Lactobacillus_fermentum,0
95,95,EMS,SPAdes,NODE_95_length_98819_cov_25.107928,98819,Escherichia_coli,0
96,96,EMS,SPAdes,NODE_96_length_96999_cov_24.796455,96999,Escherichia_coli,0
97,97,EMS,SPAdes,NODE_97_length_95593_cov_42.946962,95593,Enterococcus_faecalis,0
98,98,EMS,SPAdes,NODE_98_length_95374_cov_17.596661,95374,Pseudomonas_aeruginosa,0
99,99,EMS,SPAdes,NODE_99_length_94293_cov_25.235034,94293,Escherichia_coli,0
100,100,EMS,SPAdes,NODE_100_length_94252_cov_24.868702,94252,Salmonella_enterica,0
101,101,EMS,SPAdes,NODE_101_length_93862_cov_25.121437,93862,Escherichia_coli,0
102,102,EMS,SPAdes,NODE_102_length_93371_cov_24.933340,93371,Escherichia_coli,0
103,103,EMS,SPAdes,NODE_103_length_91125_cov_17.908367,91125,Pseudomonas_aeruginosa,0
104,104,EMS,SPAdes,NODE_104_length_89799_cov_25.453757,89799,Salmonella_enterica,0
105,105,EMS,SPAdes,NODE_105_length_89377_cov_25.620571,89377,Escherichia_coli,0
106,106,EMS,SPAdes,NODE_106_length_88185_cov_25.093011,88185,Escherichia_coli,0
107,107,EMS,SPAdes,NODE_107_length_88027_cov_17.676657,88027,Pseudomonas_aeruginosa,0
108,108,EMS,SPAdes,NODE_108_length_87429_cov_63.500698,87429,Lactobacillus_fermentum,0
109,109,EMS,SPAdes,NODE_109_length_86500_cov_17.544346,86500,Pseudomonas_aeruginosa,0
110,110,EMS,SPAdes,NODE_110_length_86429_cov_42.385040,86429,Enterococcus_faecalis,0
111,111,EMS,SPAdes,NODE_111_length_86032_cov_25.536955,86032,Escherichia_coli,0
112,112,EMS,SPAdes,NODE_112_length_82906_cov_17.596204,82906,Pseudomonas_aeruginosa,0
113,113,EMS,SPAdes,NODE_113_length_82429_cov_25.606968,82429,Escherichia_coli,0
114,114,EMS,SPAdes,NODE_114_length_81847_cov_17.447083,81847,Pseudomonas_aeruginosa,0
115,115,EMS,SPAdes,NODE_115_length_81697_cov_63.351617,81697,Lactobacillus_fermentum,0
116,116,EMS,SPAdes,NODE_116_length_81351_cov_40.209464,81351,Listeria_monocytogenes,0
117,117,EMS,SPAdes,NODE_117_length_81149_cov_25.468571,81149,Salmonella_enterica,0
118,118,EMS,SPAdes,NODE_118_length_80627_cov_18.346058,80627,Pseudomonas_aeruginosa,0
119,119,EMS,SPAdes,NODE_119_length_77872_cov_63.232290,77872,Lactobacillus_fermentum,0
120,120,EMS,SPAdes,NODE_120_length_77395_cov_25.829186,77395,Salmonella_enterica,0
121,121,EMS,SPAdes,NODE_121_length_74840_cov_27.502789,74840,Escherichia_coli,0
122,122,EMS,SPAdes,NODE_122_length_72824_cov_63.252519,72824,Lactobacillus_fermentum,0
123,123,EMS,SPAdes,NODE_123_length_71780_cov_24.954981,71780,Escherichia_coli,0
124,124,EMS,SPAdes,NODE_124_length_70984_cov_25.599743,70984,Escherichia_coli,0
125,125,EMS,SPAdes,NODE_125_length_70482_cov_24.495448,70482,Escherichia_coli,0
126,126,EMS,SPAdes,NODE_126_length_70157_cov_26.948901,70157,Escherichia_coli,0
127,127,EMS,SPAdes,NODE_127_length_68867_cov_1091.718491,68867,Escherichia_coli_plasmid,0
128,128,EMS,SPAdes,NODE_128_length_68544_cov_18.202696,68544,Pseudomonas_aeruginosa,0
129,129,EMS,SPAdes,NODE_129_length_67905_cov_25.151516,67905,Escherichia_coli,0
130,130,EMS,SPAdes,NODE_130_length_67297_cov_25.042696,67297,Salmonella_enterica,0
131,131,EMS,SPAdes,NODE_131_length_66357_cov_25.375890,66357,Escherichia_coli,0
132,132,EMS,SPAdes,NODE_132_length_64296_cov_25.230991,64296,Escherichia_coli,0
133,133,EMS,SPAdes,NODE_133_length_63785_cov_63.111006,63785,Lactobacillus_fermentum,0
134,134,EMS,SPAdes,NODE_134_length_61733_cov_17.740852,61733,Pseudomonas_aeruginosa,0
135,135,EMS,SPAdes,NODE_135_length_61551_cov_42.262127,61551,Enterococcus_faecalis,0
136,136,EMS,SPAdes,NODE_136_length_60430_cov_25.254320,60430,Escherichia_coli,0
137,137,EMS,SPAdes,NODE_137_length_59786_cov_29.786381,59786,Bacillus_subtilis,0
